rank,rikishi,heya,w,l
Y1e,Hakuho,Miyagino,14,1
Y1w,Asashoryu,Takasago,5,5
O1e,Kotomitsuki,Sadogatake,11,4
O1w,Kotooshu,Sadogatake,8,7
O2e,Kaio,Tomozuna,9,6
O2w,Chiyotaikai,Kokonoe,9,6
S1e,Ama,Isegahama,12,3
S1w,Toyonoshima,Tokitsukaze,6,9
K1e,Baruto,Onoe,8,7
K1w,Asasekiryu,Takasago,4,11
M1e,Kotoshogiku,Sadogatake,6,9
M1w,Miyabiyama,Musashigawa,4,11
M2e,Kisenosato,Naruto,6,9
M2w,Homasho,Shikoroyama,0,0
M3e,Kyokutenho,Oshima,6,9
M3w,Roho,Otake,0,0
M4e,Aminishiki,Isegahama,8,7
M4w,Tochinonada,Kasugano,6,9
M5e,Kakuryu,Izutsu,7,8
M5w,Goeido,Sakaigawa,10,5
M6e,Toyohibiki,Sakaigawa,8,7
M6w,Tochiozan,Kasugano,6,9
M7e,Iwakiyama,Sakaigawa,1,2
M7w,Tokitenku,Tokitsukaze,6,9
M8w,Masatsukasa,Irumagawa,5,10
M9e,Hokutoriki,Hakkaku,8,7
M9w,Wakanosato,Naruto,9,6
M10e,Tochinoshin,Kasugano,8,7
M10w,Futeno,Dewanoumi,11,4
M11e,Yoshikaze,Oguruma,7,8
M11w,Takamisakari,Azumazeki,6,9
M12e,Tamanoshima,Kataonami,7,8
M12w,Dejima,Musashigawa,9,6
M13e,Chiyohakuho,Kokonoe,6,9
M13w,Kitataiki,Kitanoumi,7,8
M14e,Takekaze,Oguruma,9,6
M14w,Kimurayama,Kasugano,7,8
M15e,Tamawashi,Kataonami,4,11
M15w,Kasugao,Kasugayama,2,13
M16e,Kokkai,Oitekaze,8,7
M16w,Kakizoe,Musashigawa,10,5
J1e,Bushuyama,Musashigawa,10,5
J1w,Kitazakura,Kitanoumi,2,13
J2e,Tosanoumi,Isenoumi,8,7
J2w,Tamakasuga,Kataonami,6,8
J3e,Shimotori,Tokitsukaze,8,7
J3w,Kasuganishiki,Kasugano,9,6
J4e,Wakakirin,Oguruma,6,9
J4w,Toyozakura,Michinoku,8,7
J5e,Koryu,Hanakago,10,5
J5w,Kyokunankai,Oshima,7,8
J6e,Hakurozan,Kitanoumi,0,0
J6w,Aran,Mihogaseki,12,3
J7e,Hoshihikari,Hakkaku,9,6
J7w,Mokonami,Tatsunami,5,10
J8e,Kotokasuga,Sadogatake,6,9
J8w,Shirononami,Onoe,6,9
J9e,Sagatsukasa,Irumagawa,6,9
J9w,Ryuo,Miyagino,7,8
J10e,Tosayutaka,Tokitsukaze,11,4
J10w,Ichihara,Kise,6,4
J11e,Hakuba,Michinoku,7,8
J11w,Ushiomaru,Azumazeki,7,8
J12e,Yamamotoyama,Onoe,9,6
J12w,Otsukasa,Irumagawa,9,6
J13e,Kirinowaka,Michinoku,3,12
J13w,Kaiho,Hakkaku,8,7
J14e,Asofuji,Isegahama,7,8
J14w,Wakatenro,Magaki,8,7
Ms1e,Wakakoyu,Onomatsu,5,3
Ms1w,Shotenro,Musashigawa,4,3
Ms2e,Towanoyama,Dewanoumi,3,4
Ms2w,Hoshikaze,Oguruma,1,6
Ms3e,Satoyama,Onoe,2,5
Ms3w,Sakaizawa,Onoe,5,2
Ms4e,Tamaasuka,Kataonami,6,1
Ms4w,Mori,Oitekaze,4,3
Ms5e,Tokusegawa,Kiriyama,3,4
Ms5w,Katayama,Onomatsu,4,3
Ms6e,Yamasaki,Musashigawa,2,5
Ms6w,Kotokuni,Sadogatake,3,4
Ms7e,Daiyubu,Shibatayama,2,5
Ms7w,Fukuoka,Hakkaku,5,2
Ms8e,Kotoyutaka,Sadogatake,5,2
Ms8w,Hokutokuni,Hakkaku,3,4
Ms9e,Takekabuto,Musashigawa,1,6
Ms9w,Daimanazuru,Asahiyama,3,4
Ms10e,Sokokurai,Arashio,4,3
Ms10w,Hochiyama,Sakaigawa,4,3
Ms11e,Dairaido,Takadagawa,5,2
Ms11w,Ryuho,Michinoku,2,5
Ms12e,Rikiryu,Hanakago,3,4
Ms12w,Surugatsukasa,Irumagawa,4,3
Ms13e,Yoshiazuma,Tamanoi,4,3
Ms13w,Yotsuguruma,Isenoumi,7,0
Ms14e,Shoketsu,Hanaregoma,2,5
Ms14w,Shironoryu,Sakaigawa,3,4
Ms15e,Kaonishiki,Azumazeki,5,2
Ms15w,Kazafuzan,Nishikido,4,3
Ms16e,Minami,Onoe,3,4
Ms16w,Mochimaru,Tatsunami,5,2
Ms17e,Nakano,Musashigawa,3,4
Ms17w,Shiratsuka,Kise,5,2
Ms18e,Tamarikido,Kataonami,2,5
Ms18w,Nakanishi,Onomatsu,4,3
Ms19e,Kirinoumi,Michinoku,2,5
Ms19w,Ryugi,Hanaregoma,3,4
Ms20e,Sadanoumi,Sakaigawa,1,6
Ms20w,Jumonji,Michinoku,6,1
Ms21e,Asanotosa,Takasago,2,5
Ms21w,Nakanokuni,Minato,1,6
Ms22e,Daitensho,Takashima,4,3
Ms22w,Kanbayashi,Hakkaku,4,3
Ms23e,Ri,Kasugano,3,4
Ms23w,Katsunofuji,Sakaigawa,3,4
Ms24e,Shimoda,Oitekaze,3,4
Ms24w,Shibuya,Tamanoi,6,1
Ms25e,Sadanofuji,Sakaigawa,5,2
Ms25w,Arawashi,Araiso,2,5
Ms26e,Matsutani,Matsugane,4,3
