rank,rikishi,heya,w,l
Y1e,Takanohana,Futagoyama,13,2
Y1w,Akebono,Azumazeki,12,3
O1e,Wakanohana,Futagoyama,10,5
O1w,Takanonami,Futagoyama,12,3
O2e,Musashimaru,Musashigawa,10,5
S1e,Kaio,Tomozuna,10,5
S1w,Musoyama,Musashigawa,7,8
K1e,Asahiyutaka,Oshima,7,8
K1w,Takatoriki,Futagoyama,10,5
K2w,Daishoho,Tatsunami,2,13
M1e,Tamakasuga,Kataonami,6,9
M1w,Aogiyama,Tokitsukaze,3,12
M2e,Kotonowaka,Sadogatake,9,6
M2w,Kotonishiki,Sadogatake,9,6
M3e,Daishi,Oshiogawa,4,11
M3w,Mitoizumi,Takasago,4,11
M4e,Naminohana,Futagoyama,3,12
M4w,Minatofuji,Minato,5,10
M5e,Tosanoumi,Isenoumi,6,9
M5w,Akinoshima,Futagoyama,10,5
M6e,Misugisato,Futagoyama,4,11
M6w,Terao,Izutsu,5,10
M7e,Kotoinazuma,Sadogatake,8,7
M7w,Asanosho,Wakamatsu,6,9
M8e,Kenko,Takadagawa,9,6
M8w,Konishiki,Takasago,8,7
M9e,Kitakachidoki,Isenoumi,8,7
M9w,Asanowaka,Wakamatsu,8,7
M10e,Kotobeppu,Sadogatake,9,6
M10w,Tochinowaka,Kasugano,7,8
M11e,Shikishima,Tatsutagawa,6,9
M11w,Mainoumi,Dewanoumi,2,1
M12e,Kyokudozan,Oshima,8,7
M12w,Oginishiki,Dewanoumi,8,7
M13e,Ganyu,Kitanoumi,8,7
M13w,Hamanoshima,Mihogaseki,8,7
M14e,Higonoumi,Mihogaseki,9,6
M14w,Rikio,Naruto,9,6
M15e,Kotoryu,Sadogatake,8,7
M15w,Kushimaumi,Dewanoumi,6,9
J1e,Kyokushuzan,Oshima,9,6
J1w,Daihisho,Asahiyama,9,6
J2e,Toyonoumi,Futagoyama,3,12
J2w,Chiyotaikai,Kokonoe,5,10
J3e,Tokitsunada,Tokitsukaze,9,6
J3w,Oginohana,Dewanoumi,8,7
J4e,Kanechika,Kitanoumi,6,9
J4w,Wakanojo,Magaki,6,9
J5e,Daizen,Nishonoseki,11,4
J5w,Gojoro,Magaki,7,8
J6e,Tochiazuma,Tamanoi,10,5
J6w,Kasugafuji,Ajigawa,5,10
J7e,Wakashoyo,Futagoyama,11,4
J7w,Saigo,Nakamura,6,9
J8e,Sunahama,Takasago,7,8
J8w,Zenshinyama,Takadagawa,7,8
J9e,Kotoarashi,Sadogatake,5,10
