rank,rikishi,heya,w,l
Y1e,Hakuho,Miyagino,14,1
Y1w,Harumafuji,Isegahama,9,6
O1e,Kakuryu,Izutsu,9,6
O1w,Kisenosato,Naruto,10,5
O2e,Kotoshogiku,Sadogatake,8,7
O2w,Kotooshu,Sadogatake,9,6
O3e,Baruto,Onoe,1,2
S1e,Myogiryu,Sakaigawa,6,9
S1w,Goeido,Sakaigawa,11,4
K1e,Aminishiki,Isegahama,7,8
K1w,Homasho,Shikoroyama,4,11
M1e,Okinoumi,Hakkaku,2,8
M1w,Tochiozan,Kasugano,10,5
M2e,Shohozan,Matsugane,10,5
M2w,Kaisei,Tomozuna,7,8
M3e,Tochinoshin,Kasugano,5,10
M3w,Takekaze,Oguruma,4,11
M4e,Takayasu,Naruto,5,10
M4w,Masunoyama,Chiganoura,5,10
M5e,Aoiyama,Kasugano,6,3
M5w,Toyohibiki,Sakaigawa,9,6
M6e,Kyokutenho,Tomozuna,10,5
M6w,Toyonoshima,Tokitsukaze,11,4
M7e,Gagamaru,Kise,8,7
M7w,Aran,Mihogaseki,8,7
M8e,Tokitenku,Tokitsukaze,7,8
M8w,Daido,Onomatsu,5,10
M9e,Shotenro,Fujishima,5,10
M9w,Asasekiryu,Takasago,0,3
M10e,Ikioi,Isenoumi,9,6
M10w,Yoshikaze,Oguruma,8,7
M11e,Asahisho,Tomozuna,6,9
M11w,Miyabiyama,Fujishima,5,10
M12e,Kitataiki,Kitanoumi,8,7
M12w,Wakanosato,Naruto,8,7
M13e,Fujiazuma,Tamanoi,8,7
M13w,Wakakoyu,Onomatsu,4,11
M14e,Jokoryu,Kise,6,9
M14w,Chiyonokuni,Kokonoe,5,10
M15e,Yoshiazuma,Tamanoi,3,12
M15w,Chiyotairyu,Kokonoe,10,5
M16e,Tamawashi,Kataonami,9,6
J1e,Tenkaiho,Onoe,5,10
J1w,Takarafuji,Isegahama,9,6
J2e,Kimurayama,Kasugano,6,9
J2w,Tamaasuka,Kataonami,8,7
J3e,Kotoyuki,Sadogatake,9,6
J3w,Tokushoryu,Kise,6,9
J4e,Takanoyama,Naruto,7,8
J4w,Sadanofuji,Sakaigawa,14,1
J5e,Daikiho,Miyagino,9,6
J5w,Kotoyutaka,Sadogatake,4,7
J6e,Chiyootori,Kokonoe,7,2
J6w,Hochiyama,Sakaigawa,5,10
J7e,Tochinowaka,Kasugano,13,2
J7w,Sagatsukasa,Irumagawa,9,6
J8e,Sotairyu,Tokitsukaze,8,7
J8w,Tanzo,Onomatsu,7,8
J9e,Takamisakari,Azumazeki,6,9
J9w,Oiwato,Hakkaku,8,7
