rank,rikishi,heya,w,l
Y1e,Asashoryu,Takasago,9,6
O1e,Kaio,Tomozuna,13,2
O1w,Chiyotaikai,Kokonoe,8,7
O2e,Musoyama,Musashigawa,2,7
O2w,Tochiazuma,Tamanoi,2,2
S1e,Wakanosato,Naruto,10,5
S1w,Miyabiyama,Musashigawa,9,6
K1e,Kyokutenho,Oshima,5,10
K1w,Kotomitsuki,Sadogatake,8,7
M1e,Shimotori,Tokitsukaze,5,10
M1w,Kokkai,Oitekaze,7,8
M2e,Iwakiyama,Sakaigawa,7,8
M2w,Tamanoshima,Kataonami,7,8
M3e,Hakuho,Miyagino,8,7
M3w,Tochinonada,Kasugano,11,4
M4e,Asasekiryu,Takasago,4,11
M4w,Tosanoumi,Isenoumi,7,8
M5e,Toyozakura,Michinoku,5,10
M5w,Dejima,Musashigawa,10,5
M6e,Hokutoriki,Hakkaku,5,10
M6w,Kakizoe,Musashigawa,10,5
M7e,Takamisakari,Azumazeki,7,8
M7w,Takekaze,Oguruma,8,7
M8e,Kotoryu,Sadogatake,7,8
M8w,Tokitsuumi,Tokitsukaze,5,10
M9e,Kotonowaka,Sadogatake,10,5
M9w,Kaiho,Hakkaku,6,9
M10e,Futeno,Dewanoumi,4,11
M10w,Kyokushuzan,Oshima,11,4
M11e,Jumonji,Michinoku,9,6
M11w,Buyuzan,Musashigawa,8,7
M12e,Hayateumi,Oitekaze,8,7
M12w,Takanowaka,Naruto,8,7
M13e,Tochisakae,Kasugano,5,10
M13w,Otsukasa,Irumagawa,3,12
M14e,Kotooshu,Sadogatake,9,6
M14w,Tamakasuga,Kataonami,8,7
M15e,Roho,Otake,10,5
M15w,Toyonoshima,Tokitsukaze,6,9
M16e,Aminishiki,Ajigawa,6,9
M16w,Takanotsuru,Naruto,9,6
M17e,Kitazakura,Kitanoumi,6,9
J1e,Kinkaiyama,Dewanoumi,4,11
J1w,Kasugao,Kasugayama,9,6
J2e,Toki,Takasago,8,7
J2w,Tokitenku,Tokitsukaze,9,6
J3e,Wakanoyama,Musashigawa,5,10
J3w,Hagiwara,Naruto,9,6
J4e,Ama,Ajigawa,11,4
J4w,Kasuganishiki,Kasugano,5,10
J5e,Wakatoba,Oshiogawa,5,10
J5w,Kotoshogiku,Sadogatake,9,6
J6e,Harunoyama,Matsugane,8,7
J6w,Yotsukasa,Irumagawa,8,7
J7e,Bushuyama,Musashigawa,7,8
J7w,Katayama,Onomatsu,6,9
J8e,Ushiomaru,Azumazeki,6,9
J8w,Asanowaka,Takasago,8,7
J9e,Gojoro,Magaki,11,4
J9w,Kobo,Miyagino,10,5
J10e,Daishodai,Oitekaze,9,6
J10w,Juzan,Oshiogawa,1,11
J11e,Hamanishiki,Oitekaze,6,9
J11w,Chiyotenzan,Kokonoe,8,7
J12e,Sumanofuji,Nakamura,5,10
J12w,Asofuji,Ajigawa,6,9
J13e,Kaido,Tomozuna,10,5
J13w,Wakakirin,Oshiogawa,10,5
J14e,Hakurozan,Hatachiyama,8,7
J14w,Kotonomine,Sadogatake,0,2
Ms1e,Hochiyama,Sakaigawa,3,4
Ms1w,Kotokasuga,Sadogatake,4,3
Ms2e,Maikaze,Oguruma,3,4
Ms2w,Toyonokuni,Tokitsukaze,5,2
Ms3e,Ishide,Hanaregoma,5,2
Ms3w,Wakakosho,Matsugane,2,5
Ms4e,Kaishozan,Hanaregoma,4,3
Ms4w,Tamaasuka,Kataonami,7,0
Ms5e,Chiyohakuho,Kokonoe,3,4
Ms5w,Ichinotani,Nakamura,5,2
Ms6e,Oikari,Isenoumi,2,5
Ms6w,Yoshiazuma,Tamanoi,3,4
Ms7e,Kotokanyu,Sadogatake,3,4
Ms7w,Senshuyama,Takasago,5,2
Ms8e,Masutsuyoshi,Mihogaseki,1,6
Ms8w,Fujinoyama,Takanohana,0,0
Ms9e,Daimanazuru,Asahiyama,6,1
Ms9w,Kyokunankai,Oshima,4,3
Ms10e,Ryuo,Miyagino,4,3
