rank,rikishi,heya,w,l
Y1e,Musashimaru,Musashigawa,11,4
Y1w,Akebono,Azumazeki,14,1
Y2e,Takanohana,Futagoyama,11,4
O1e,Kaio,Tomozuna,11,4
O1w,Chiyotaikai,Kokonoe,9,6
O2e,Dejima,Musashigawa,9,6
O2w,Miyabiyama,Musashigawa,9,6
O3w,Musoyama,Musashigawa,9,6
S1e,Takanonami,Futagoyama,6,9
S1w,Hayateumi,Oitekaze,4,5
K1e,Tochinohana,Kasugano,3,12
K1w,Wakanosato,Naruto,9,6
M1e,Akinoshima,Futagoyama,5,10
M1w,Wakanoyama,Musashigawa,6,9
M2e,Higonoumi,Mihogaseki,5,10
M2w,Hamanoshima,Mihogaseki,4,11
M3e,Kyokushuzan,Oshima,4,11
M3w,Chiyotenzan,Kokonoe,6,9
M4e,Tosanoumi,Isenoumi,7,8
M4w,Tochiazuma,Tamanoi,0,0
M5e,Takatoriki,Futagoyama,4,11
M5w,Toki,Takasago,6,9
M6e,Tochisakae,Kasugano,8,7
M6w,Kyokutenho,Oshima,7,8
M7e,Kotonowaka,Sadogatake,8,7
M7w,Tochinonada,Kasugano,10,5
M8e,Oginishiki,Dewanoumi,7,8
M8w,Takanowaka,Naruto,11,4
M9e,Kaiho,Hakkaku,8,7
M9w,Kotomitsuki,Sadogatake,13,2
M10e,Tamakasuga,Kataonami,8,7
M10w,Aminishiki,Ajigawa,1,14
M11e,Kotoryu,Sadogatake,8,7
M11w,Asanowaka,Wakamatsu,6,9
M12e,Tokitsuumi,Tokitsukaze,8,7
M12w,Jumonji,Michinoku,5,10
M13e,Otsukasa,Irumagawa,5,10
M13w,Minatofuji,Minato,8,7
M14e,Wakakosho,Matsugane,7,8
M14w,Tamanonada,Kataonami,7,8
J1e,Sentoryu,Tomozuna,3,5
J1w,Kinkaiyama,Dewanoumi,12,3
J2e,Takamisakari,Azumazeki,0,0
J2w,Oikari,Isenoumi,5,10
J3e,Daishi,Oshiogawa,9,6
J3w,Asashoryu,Wakamatsu,11,4
J4e,Shikishima,Michinoku,7,8
J4w,Daizen,Nishonoseki,8,7
J5e,Terao,Izutsu,8,7
J5w,Tamarikido,Kataonami,10,5
J6e,Aogiyama,Tokitsukaze,5,10
