rank,rikishi,heya,w,l
Y1e,Hakuho,Miyagino,15,0
O1e,Harumafuji,Isegahama,10,5
O1w,Kotooshu,Sadogatake,10,5
O2e,Kaio,Tomozuna,8,7
O2w,Kotomitsuki,Sadogatake,9,6
S1e,Baruto,Onoe,14,1
S1w,Toyonoshima,Tokitsukaze,6,9
K1e,Kisenosato,Naruto,9,6
K1w,Aminishiki,Isegahama,8,7
M1e,Kakuryu,Izutsu,6,9
M1w,Wakanosato,Naruto,6,9
M2e,Kyokutenho,Oshima,3,12
M2w,Aran,Mihogaseki,1,14
M3e,Goeido,Sakaigawa,2,4
M3w,Kotoshogiku,Sadogatake,10,5
M4e,Tamawashi,Kataonami,5,10
M4w,Tosayutaka,Tokitsukaze,3,12
M5e,Toyohibiki,Sakaigawa,4,11
M5w,Homasho,Shikoroyama,9,6
M6e,Tochiozan,Kasugano,11,4
M6w,Tochinoshin,Kasugano,9,6
M7e,Miyabiyama,Musashigawa,10,5
M7w,Kakizoe,Musashigawa,7,8
M8e,Iwakiyama,Sakaigawa,8,7
M8w,Takekaze,Oguruma,5,10
M9e,Hakuba,Michinoku,8,7
M9w,Yoshikaze,Oguruma,5,10
M10e,Kitataiki,Kitanoumi,10,5
M10w,Shimotori,Tokitsukaze,5,10
M11e,Asasekiryu,Takasago,10,5
M11w,Hokutoriki,Hakkaku,6,9
M12e,Okinoumi,Hakkaku,8,7
M12w,Takamisakari,Azumazeki,7,8
M13e,Tokitenku,Tokitsukaze,10,5
M13w,Tokusegawa,Kiriyama,8,7
M14e,Kokkai,Oitekaze,10,5
M14w,Tamanoshima,Kataonami,6,9
M15e,Sagatsukasa,Irumagawa,6,9
M15w,Mokonami,Tatsunami,9,6
M16e,Kasugao,Kasugayama,5,10
M16w,Bushuyama,Musashigawa,4,11
J1e,Shotenro,Musashigawa,7,8
J1w,Wakakoyu,Onomatsu,9,6
J2e,Masatsukasa,Irumagawa,6,9
J2w,Tochinonada,Kasugano,10,5
J3e,Gagamaru,Kise,8,7
J3w,Tosanoumi,Isenoumi,6,9
J4e,Asofuji,Isegahama,7,8
J4w,Kimurayama,Kasugano,11,4
J5e,Sakaizawa,Onoe,5,10
J5w,Kiyoseumi,Kise,5,10
J6e,Kotokasuga,Sadogatake,9,6
J6w,Koryu,Hanakago,11,4
J7e,Kyokunankai,Oshima,6,9
J7w,Sokokurai,Arashio,8,7
J8e,Kaiho,Hakkaku,4,11
J8w,Chiyohakuho,Kokonoe,9,6
J9e,Toyozakura,Michinoku,8,7
J9w,Futeno,Dewanoumi,6,9
J10e,Wakatenro,Magaki,7,8
J10w,Yamamotoyama,Onoe,7,8
J11e,Sadanofuji,Sakaigawa,6,9
J11w,Tokushinho,Kise,8,7
J12e,Kirinowaka,Michinoku,7,8
J12w,Shirononami,Onoe,2,12
J13e,Tamaasuka,Kataonami,11,4
J13w,Kasuganishiki,Kasugano,8,7
J14e,Masuraumi,Onomatsu,7,8
J14w,Daido,Onomatsu,9,6
Ms1e,Matsutani,Matsugane,4,3
Ms1w,Kanbayashi,Hakkaku,4,3
Ms2e,Hoshikaze,Oguruma,6,1
Ms2w,Sadanoumi,Sakaigawa,3,4
Ms3e,Hochiyama,Sakaigawa,4,3
Ms3w,Jumonji,Michinoku,3,4
Ms4e,Aoki,Kise,3,4
Ms4w,Nakanokuni,Minato,3,4
Ms5e,Tsurugidake,Musashigawa,4,3
Ms5w,Kaisei,Tomozuna,5,2
Ms6e,Tochinowaka,Kasugano,3,4
Ms6w,Kotoyutaka,Sadogatake,4,3
Ms7e,Surugatsukasa,Irumagawa,1,6
