rank,rikishi,heya,w,l
O1e,Akebono,Azumazeki,13,2
O1w,Konishiki,Takasago,10,5
S1e,Takahanada,Fujishima,11,4
S1w,Kotonishiki,Sadogatake,7,8
S2eHD,Musashimaru,Musashigawa,10,5
S2wHD,Kirishima,Izutsu,0,0
K1e,Daishoho,Tatsunami,4,11
K1w,Takamisugi,Futagoyama,4,11
M1e,Akinoshima,Fujishima,9,6
M1w,Kushimaumi,Dewanoumi,7,8
M2e,Tomoefuji,Kokonoe,6,9
M2w,Misugisato,Futagoyama,7,8
M3e,Wakahanada,Fujishima,10,5
M3w,Wakashoyo,Futagoyama,10,5
M4e,Daizen,Nishonoseki,5,10
M4w,Toyonoumi,Fujishima,7,8
M5e,Terao,Izutsu,6,9
M5w,Takatoriki,Fujishima,5,10
M6e,Tochinowaka,Kasugano,8,7
M6w,Kyokudozan,Oshima,8,7
M7e,Takanonami,Fujishima,10,5
M7w,Kitakachidoki,Isenoumi,7,8
M8e,Oginohana,Dewanoumi,8,7
M8w,Kotonowaka,Sadogatake,6,9
M9e,Kototsubaki,Sadogatake,0,0
M9w,Kotobeppu,Sadogatake,8,6
M10e,Tokitsunada,Tokitsukaze,3,12
M10w,Mitoizumi,Takasago,8,7
M11e,Kasugafuji,Ajigawa,6,9
M11w,Kirinishiki,Kagamiyama,0,5
M12e,Kotoinazuma,Sadogatake,9,6
M12w,Tamakairiki,Kataonami,2,13
M13e,Tatsuhikari,Tatsunami,2,13
M13w,Kiraiho,Takadagawa,8,7
M14e,Naminohana,Futagoyama,10,5
M14w,Daishoyama,Tatsunami,12,3
M15e,Kotogaume,Sadogatake,2,3
M15w,Kotofuji,Sadogatake,9,6
M16e,Mainoumi,Dewanoumi,9,6
M16w,Kyokugozan,Oshima,4,11
J1e,Tochinofuji,Kasugano,9,6
J1w,Hitachiryu,Oshiogawa,9,6
J2e,Kenko,Takadagawa,9,6
J2w,Oginishiki,Dewanoumi,8,7
J3e,Kaio,Tomozuna,8,7
J3w,Higonoumi,Mihogaseki,9,6
J4e,Aogiyama,Tokitsukaze,11,4
J4w,Komafudo,Hanaregoma,6,9
J5e,Wakanoyama,Musashigawa,7,8
J5w,Enazakura,Oshiogawa,10,5
J6e,Hananokuni,Hanaregoma,7,8
J6w,Yoshinobori,Kumagatani,3,12
J7e,Tomonohana,Tatsunami,9,6
J7w,Asahisato,Oshima,8,7
J8e,Hoshiandesu,Michinoku,6,9
J8w,Minatofuji,Minato,6,9
J9e,Kumao,Takasago,6,9
J9w,Zenshinyama,Takadagawa,8,7
J10e,Tachihikari,Tomozuna,6,9
J10w,Asanonami,Wakamatsu,10,5
J11e,Asanowaka,Wakamatsu,10,5
J11w,Yutakafuji,Tokitsukaze,8,7
J12e,Tsunenoyama,Dewanoumi,0,9
J12w,Hamanoshima,Mihogaseki,10,5
J13e,Wakatosho,Magaki,8,7
J13w,Terunoumi,Musashigawa,8,7
Ms1e,Asahiyutaka,Oshima,2,6
Ms1w,Kanesaku,Kitanoumi,3,4
Ms2e,Hidenoumi,Mihogaseki,4,3
Ms2w,Ozawa,Wakamatsu,5,2
Ms3e,Daishi,Oshiogawa,4,3
Ms3w,Tochitenko,Kasugano,4,3
Ms4e,Rikio,Naruto,3,4
Ms4w,Seifuriki,Oshiogawa,3,4
Ms5e,Daigaku,Tokitsukaze,0,0
Ms5w,Kotonakano,Sadogatake,4,3
Ms6e,Wakakaze,Futagoyama,2,5
Ms6w,Ominato,Minato,3,4
Ms7e,Dairyu,Taiho,5,2
Ms7w,Daishoryu,Taiho,3,4
Ms8e,Yoshitane,Tatsutagawa,6,1
Ms8w,Wakadozan,Futagoyama,2,5
Ms9e,Mineyama,Miyagino,3,4
Ms9w,Shigenoumi,Musashigawa,4,3
Ms10e,Daitengo,Taiho,4,3
Ms10w,Yamanakayama,Magaki,4,3
Ms11e,Nakajima,Fujishima,4,3
Ms11w,Akinokuni,Tokitsukaze,2,5
Ms12e,Ryogoku,Dewanoumi,0,0
Ms12w,Narayama,Isenoumi,1,6
Ms13e,Kanechika,Kitanoumi,5,2
Ms13w,Genkai,Asahiyama,3,4
Ms14e,Hoshitango,Michinoku,2,5
Ms14w,Masakaze,Oguruma,3,4
Ms15e,Ohidake,Tamanoi,4,3
Ms15w,Mutsuhokkai,Ajigawa,4,3
Ms16e,Tatsutanaka,Tatsunami,4,3
Ms16w,Sunahama,Takasago,3,4
Ms17e,Kisenomori,Kise,3,4
Ms17w,Saganobori,Oshiogawa,0,0
Ms18e,Jinryu,Tokitsukaze,5,2
Ms18w,Wakatenryu,Magaki,5,2
Ms19e,Fukunosato,Tatsutagawa,6,1
Ms19w,Nishidayama,Tatsunami,4,3
Ms20e,Hidenohana,Hanaregoma,1,6
Ms20w,Ganyu,Kitanoumi,0,1
Ms21e,Umenosato,Takasago,6,1
Ms21w,Godoriki,Fujishima,4,3
Ms22e,Kosenryu,Takasago,4,3
Ms22w,Kitazakura,Kitanoumi,5,2
Ms23e,Kiyominato,Kise,2,5
Ms23w,Takamio,Azumazeki,3,4
Ms24e,Tsujimoto,Izutsu,1,6
Ms24w,Goto,Fujishima,2,5
Ms25e,Goken,Takasago,3,3
Ms25w,Kakehata,Isenoumi,2,5
Ms26e,Kondo,Onaruto,4,3
Ms26w,Taishin,Kitanoumi,5,2
Ms27e,Amagifuji,Nakamura,4,3
Ms27w,Chiyonowaka,Kokonoe,3,4
Ms28e,Yohoyama,Izutsu,3,4
Ms28w,Daiden,Taiho,5,2
Ms29e,Kotononada,Sadogatake,0,0
Ms29w,Chokairyu,Kagamiyama,5,2
Ms30e,Kiryuyama,Tomozuna,1,6
Ms30w,Kotofujimoto,Sadogatake,4,3
Ms31e,Takamiwaka,Azumazeki,3,4
Ms31w,Takamihana,Azumazeki,3,4
Ms32e,Akinomine,Mihogaseki,4,3
Ms32w,Raiko,Fujishima,3,4
Ms33e,Fusayutaka,Tokitsukaze,2,5
Ms33w,Kiyonofuji,Isegahama,5,2
Ms34e,Hokutoasahi,Oshima,2,5
Ms34w,Hidezakura,Nakamura,2,5
Ms35e,Kototohaku,Sadogatake,0,0
Ms35w,Dodoyama,Musashigawa,3,4
Ms36e,Hoshikakuo,Michinoku,2,5
Ms36w,Araya,Magaki,1,6
Ms37e,Daikiyama,Mihogaseki,5,2
Ms37w,Tochigeno,Kasugano,3,4
Ms38e,Owakamatsu,Taiho,4,3
Ms38w,Ikemori,Tamanoi,6,1
Ms39e,Musashiryu,Musashigawa,4,3
Ms39w,Kusunosato,Futagoyama,4,3
Ms40e,Oshimayama,Izutsu,2,1
Ms40w,Hidakayama,Tatsutagawa,3,4
Ms41e,Ozora,Azumazeki,5,2
Ms41w,Fukunoryu,Futagoyama,3,4
Ms42e,Daikaizan,Hanaregoma,4,3
Ms42w,Daishinki,Tokitsukaze,3,4
Ms43e,Kishinosato,Izutsu,3,4
Ms43w,Wakahayato,Miyagino,5,2
Ms44e,Isamigoma,Hanaregoma,2,5
Ms44w,Matsumusashi,Musashigawa,0,7
Ms45e,Yamanoumi,Kitanoumi,4,3
Ms45w,Tenraiyama,Mihogaseki,4,3
Ms46e,Fusakaze,Wakamatsu,5,2
Ms46w,Fujinoumi,Nakamura,3,4
Ms47e,Kotoasaki,Sadogatake,6,1
Ms47w,Arauma,Isenoumi,4,3
Ms48e,Kototaikai,Sadogatake,2,5
Ms48w,Daishiryu,Hanaregoma,0,0
Ms49e,Kuroiwa,Isenoumi,2,5
Ms49w,Tokuoyama,Musashigawa,3,4
Ms50e,Tochisagami,Kasugano,3,4
Ms50w,Tochiyutaka,Kasugano,2,2
Ms51e,Minenofuji,Kokonoe,4,3
Ms51w,Mitsueyama,Tokitsukaze,4,3
Ms52e,Maemiyama,Takadagawa,1,4
Ms52w,Takanosho,Fujishima,4,3
Ms53e,Ohayama,Takadagawa,3,4
Ms53w,Akinoryu,Izutsu,5,2
Ms54e,Genkainami,Tatsunami,4,3
Ms54w,Nakabuchi,Fujishima,2,5
Ms55e,Kisezakura,Kise,3,4
Ms55w,Nishida,Isenoumi,4,3
Ms56e,Kiyota,Dewanoumi,2,5
Ms56w,Kotoarashi,Sadogatake,6,1
Ms57e,Wakachikara,Magaki,4,3
