rank,rikishi,heya,w,l
Y1e,Asashoryu,Takasago,5,5
Y1w,Musashimaru,Musashigawa,2,4
O1e,Kaio,Tomozuna,12,3
O1w,Chiyotaikai,Kokonoe,11,4
O2e,Musoyama,Musashigawa,10,5
O2w,Tochiazuma,Tamanoi,7,8
S1e,Wakanosato,Naruto,10,5
S1w,Kyokutenho,Oshima,6,9
K1e,Dejima,Musashigawa,0,0
K1w,Tochinonada,Kasugano,7,8
M1e,Miyabiyama,Musashigawa,10,5
M1w,Aminishiki,Ajigawa,2,12
M2e,Kyokushuzan,Oshima,4,11
M2w,Kotonowaka,Sadogatake,1,2
M3e,Takanonami,Futagoyama,6,9
M3w,Takamisakari,Azumazeki,9,6
M4e,Tamanoshima,Kataonami,5,10
M4w,Toki,Takasago,10,5
M5e,Tosanoumi,Isenoumi,10,5
M5w,Kotoryu,Sadogatake,8,7
M6e,Jumonji,Michinoku,6,9
M6w,Buyuzan,Musashigawa,7,8
M7e,Tokitsuumi,Tokitsukaze,9,6
M7w,Hokutoriki,Hakkaku,10,5
M8e,Kaiho,Hakkaku,6,9
M8w,Tamarikido,Kataonami,6,9
M9e,Gojoro,Magaki,4,4
M9w,Asasekiryu,Takasago,10,5
M10e,Iwakiyama,Sakaigawa,8,7
M10w,Otsukasa,Irumagawa,5,10
M11e,Asanowaka,Takasago,6,9
M11w,Tochisakae,Kasugano,8,7
M12e,Kasuganishiki,Kasugano,9,6
M12w,Kasugao,Kasugayama,4,11
M13e,Kotomitsuki,Sadogatake,9,6
M13w,Wakanoyama,Musashigawa,7,8
M14e,Ushiomaru,Azumazeki,7,8
M14w,Aogiyama,Tokitsukaze,4,11
M15e,Tamakasuga,Kataonami,7,8
M15w,Kinkaiyama,Dewanoumi,9,6
J1e,Yotsukasa,Irumagawa,8,7
J1w,Tochinohana,Kasugano,4,11
J2e,Kakizoe,Musashigawa,11,4
J2w,Shimotori,Tokitsukaze,10,5
J3e,Takanowaka,Naruto,0,0
J3w,Hayateumi,Oitekaze,4,11
J4e,Wakatoba,Oshiogawa,10,5
J4w,Kobo,Miyagino,7,8
J5e,Senshuyama,Takasago,5,10
J5w,Toyozakura,Michinoku,9,6
