rank,rikishi,heya,w,l
Y1e,Musashimaru,Musashigawa,0,0
Y1w,Asashoryu,Takasago,10,5
O1e,Musoyama,Musashigawa,1,6
O1w,Tochiazuma,Tamanoi,0,0
O2e,Chiyotaikai,Kokonoe,12,3
O2w,Kaio,Tomozuna,10,5
S1e,Takanowaka,Naruto,0,0
S1w,Kotomitsuki,Sadogatake,6,9
S2e,Wakanosato,Naruto,9,6
K1e,Dejima,Musashigawa,8,7
K1w,Tosanoumi,Isenoumi,8,7
M1e,Takanonami,Futagoyama,7,8
M1w,Kyokutenho,Oshima,9,6
M2e,Tochinonada,Kasugano,9,6
M2w,Takamisakari,Azumazeki,8,7
M3e,Shimotori,Tokitsukaze,3,7
M3w,Kotonowaka,Sadogatake,7,8
M4e,Wakanoyama,Musashigawa,4,11
M4w,Tamanoshima,Kataonami,8,7
M5e,Kotoryu,Sadogatake,5,10
M5w,Kaiho,Hakkaku,8,7
M6e,Iwakiyama,Sakaigawa,6,5
M6w,Toki,Takasago,5,10
M7e,Kasugao,Kasugayama,8,7
M7w,Kyokushuzan,Oshima,10,5
M8e,Tokitsuumi,Tokitsukaze,8,5
M8w,Takanotsuru,Naruto,4,11
M9e,Aminishiki,Ajigawa,8,7
M9w,Miyabiyama,Musashigawa,9,6
M10e,Asasekiryu,Takasago,6,9
M10w,Buyuzan,Musashigawa,7,8
M11e,Hokutoriki,Hakkaku,10,5
M11w,Tamarikido,Kataonami,8,7
M12e,Kinkaiyama,Dewanoumi,5,10
M12w,Akinoshima,Futagoyama,6,9
M13e,Kasuganishiki,Kasugano,6,9
M13w,Takekaze,Oguruma,1,3
M14e,Gojoro,Magaki,9,6
M14w,Jumonji,Michinoku,9,6
M15e,Tochinohana,Kasugano,5,10
J1e,Komahikari,Hanaregoma,4,11
J1w,Yotsukasa,Irumagawa,9,6
J2e,Kobo,Miyagino,7,8
J2w,Otsukasa,Irumagawa,9,6
J3e,Asanowaka,Takasago,9,6
J3w,Aogiyama,Tokitsukaze,10,5
J4e,Oginishiki,Dewanoumi,9,6
J4w,Ushiomaru,Azumazeki,8,7
J5e,Senshuyama,Takasago,5,10
J5w,Oikari,Isenoumi,5,2
J6e,Gokenzan,Futagoyama,4,11
J6w,Hayateumi,Oitekaze,8,7
J7e,Wakakosho,Matsugane,7,8
J7w,Tamakasuga,Kataonami,0,0
J8e,Tochisakae,Kasugano,10,5
J8w,Wakatoba,Oshiogawa,8,7
J9e,Hamanishiki,Oitekaze,10,5
J9w,Dewanofuji,Dewanoumi,7,8
J10e,Kitazakura,Kitanoumi,5,10
J10w,Harunoyama,Matsugane,8,7
J11e,Kakizoe,Musashigawa,9,6
J11w,Juzan,Oshiogawa,2,11
J12e,Tomikaze,Oguruma,6,9
J12w,Wakatenro,Magaki,0,2
J13e,Kotonomine,Sadogatake,6,9
J13w,Hidenokuni,Magaki,5,10
Ms1e,Daizen,Nishonoseki,2,5
Ms1w,Kokkai,Oitekaze,5,2
Ms2e,Toyozakura,Michinoku,5,2
Ms2w,Sumanofuji,Nakamura,4,3
Ms3e,Towanoyama,Dewanoumi,2,5
Ms3w,Hamanoshima,Mihogaseki,3,4
Ms4e,Masutsuyoshi,Mihogaseki,4,3
Ms4w,Uchida,Dewanoumi,6,1
Ms5e,Fujinohana,Futagoyama,4,3
Ms5w,Tanaka,Tomozuna,5,2
Ms6e,Kotoiwakuni,Sadogatake,5,2
Ms6w,Chiyotenzan,Kokonoe,5,2
Ms7e,Tamanokuni,Kataonami,4,3
Ms7w,Wakainami,Tatsunami,2,5
Ms8e,Nadatsukasa,Irumagawa,2,3
Ms8w,Kotokanyu,Sadogatake,4,3
Ms9e,Sentoryu,Tomozuna,4,3
Ms9w,Tochifudo,Kasugano,3,4
Ms10e,Yoshiazuma,Tamanoi,3,4
Ms10w,Toyonoshima,Tokitsukaze,2,5
Ms11e,Nakao,Matsugane,7,0
Ms11w,Torafusuyama,Mihogaseki,3,4
Ms12e,Asahibenten,Oshima,5,2
Ms12w,Tochinoyama,Kasugano,3,4
Ms13e,Ryuo,Miyagino,2,5
Ms13w,Otoryu,Oshiogawa,3,4
Ms14e,Yotsuguruma,Isenoumi,5,2
Ms14w,Asofuji,Ajigawa,4,3
Ms15e,Daimanazuru,Asahiyama,5,2
Ms15w,Hochiyama,Sakaigawa,4,3
Ms16e,Asamiyoshi,Takasago,0,0
Ms16w,Shigezakura,Nakamura,2,5
Ms17e,Daishoma,Oitekaze,3,4
Ms17w,Hokutoiwa,Hakkaku,3,4
Ms18e,Tashiro,Tamanoi,3,4
Ms18w,Daishodai,Oitekaze,4,3
Ms19e,Kyokunankai,Oshima,5,2
Ms19w,Ryuho,Michinoku,6,1
Ms20e,Toshinyama,Tamanoi,1,6
Ms20w,Maikaze,Oguruma,4,3
Ms21e,Fukkoyama,Dewanoumi,6,1
Ms21w,Shishio,Hakkaku,2,5
Ms22e,Tokitenku,Tokitsukaze,5,2
Ms22w,Wakatoryu,Matsugane,3,4
Ms23e,Furuichi,Onomatsu,3,4
Ms23w,Kirinofuji,Michinoku,1,6
Ms24e,Kotokuni,Sadogatake,4,3
Ms24w,Dewanosato,Dewanoumi,4,3
Ms25e,Kuniazuma,Tamanoi,2,5
Ms25w,Bushuyama,Musashigawa,4,3
Ms26e,Ryukai,Naruto,4,3
Ms26w,Tamao,Kataonami,3,4
Ms27e,Oga,Takasago,5,2
Ms27w,Tokiyutaka,Tokitsukaze,3,4
Ms28e,Raiko,Hakkaku,5,2
Ms28w,Kimenryu,Takasago,5,2
Ms29e,Wakanojo,Magaki,1,6
Ms29w,Takakoyama,Naruto,2,5
Ms30e,Kotokikutsugi,Sadogatake,4,3
Ms30w,Tochitenko,Kasugano,3,4
Ms31e,Azusayumi,Onomatsu,2,5
Ms31w,Kainowaka,Tomozuna,3,4
Ms32e,Hakuba,Michinoku,4,3
Ms32w,Toyonokuni,Tokitsukaze,5,2
Ms33e,Kotokasuga,Sadogatake,4,3
Ms33w,Roho,Taiho,4,3
Ms34e,Ominami,Onomatsu,0,0
Ms34w,Hoshitango,Michinoku,3,4
Ms35e,Shindo,Futagoyama,3,4
Ms35w,Fujinokaze,Oguruma,4,3
Ms36e,Chiyohakuho,Kokonoe,0,0
Ms36w,Rikiryuyama,Hanakago,3,4
Ms37e,Saigo,Nakamura,1,6
Ms37w,Fujitsukasa,Irumagawa,1,6
Ms38e,Ama,Ajigawa,5,2
Ms38w,Tamaasuka,Kataonami,5,2
Ms39e,Teruazuma,Tamanoi,3,4
Ms39w,Raido,Takadagawa,5,2
Ms40e,Ogane,Onomatsu,2,5
Ms40w,Maenowaka,Takadagawa,4,3
Ms41e,Tochimusashi,Kasugano,0,0
Ms41w,Kaishoryu,Tomozuna,4,3
Ms42e,Fukutaro,Hanakago,4,3
Ms42w,Fukuzono,Izutsu,4,3
Ms43e,Tochitaiki,Kasugano,0,7
Ms43w,Kakuo,Izutsu,4,3
Ms44e,Nishikikaze,Oguruma,2,5
Ms44w,Chiyonohana,Kokonoe,3,4
Ms45e,Kotohikari,Sadogatake,3,4
Ms45w,Hokutoarashi,Hakkaku,2,5
Ms46e,Hokutojo,Hakkaku,3,4
Ms46w,Tamaryoma,Kataonami,5,2
Ms47e,Musashifuji,Musashigawa,3,4
Ms47w,Hayasegawa,Kiriyama,2,5
Ms48e,Takanofuji,Naruto,6,1
Ms48w,Omusashi,Musashigawa,5,2
Ms49e,Yoshio,Tatsunami,5,2
Ms49w,Yanagi,Musashigawa,4,3
Ms50e,Onowaka,Onomatsu,2,4
Ms50w,Komanofuji,Hanaregoma,4,3
Ms51e,Kotohino,Sadogatake,4,3
Ms51w,Tenichi,Kitanoumi,6,1
Ms52e,Aranonami,Musashigawa,3,4
Ms52w,Takahijiri,Futagoyama,3,4
Ms53e,Tamatsurugi,Tamanoi,4,3
Ms53w,Katsumayama,Naruto,3,4
Ms54e,Takanoumi,Futagoyama,3,4
Ms54w,Hakuho,Miyagino,4,3
Ms55e,Yakigaya,Onomatsu,0,0
Ms55w,Fukuseyama,Asahiyama,4,3
Ms56e,Susanoumi,Kitanoumi,0,0
Ms56w,Daihoyama,Hanakago,2,5
Ms57e,Tokinoboru,Tokitsukaze,3,4
Ms57w,Kiyoazuma,Tamanoi,3,4
Ms58e,Katayama,Onomatsu,6,1
Ms58w,Kirinoumi,Michinoku,5,2
Ms59e,Datenishiki,Dewanoumi,2,5
Ms59w,Masunobori,Mihogaseki,2,5
Ms60e,Matsumidori,Onomatsu,2,5
Ms60w,Surugatsukasa,Irumagawa,3,4
Sd1e,Kondo,Miyagino,1,6
Sd1w,Takamihana,Azumazeki,4,3
Sd2e,Nanbara,Minato,5,2
Sd2w,Asahayate,Takasago,4,3
Sd3e,Shotenyu,Hatachiyama,4,3
Sd3w,Aogifuji,Ajigawa,3,4
Sd4e,Wakaazuma,Tamanoi,3,4
Sd4w,Itakura,Oshiogawa,3,4
Sd5e,Shimatora,Kitanoumi,6,1
Sd5w,Hisanohana,Tagonoura,5,2
Sd6e,Natsubori,Futagoyama,5,2
Sd6w,Wakayuki,Matsugane,0,0
Sd7e,Kitataiki,Kitanoumi,6,1
Sd7w,Sadanoshima,Sakaigawa,2,5
Sd8e,Kitamura,Hanaregoma,2,5
Sd8w,Okinoumi,Tokitsukaze,2,5
Sd9e,Kaishozan,Hanaregoma,3,4
Sd9w,Hakurozan,Hatachiyama,5,2
Sd10e,Ryuyo,Kitanoumi,4,3
Sd10w,Kyokutenzan,Oshima,4,3
Sd11e,Futasegawa,Kiriyama,4,3
Sd11w,Murata,Azumazeki,0,0
Sd12e,Shikinoumi,Shikihide,3,4
Sd12w,Hokutokuni,Hakkaku,4,3
Sd13e,Kirinowaka,Michinoku,3,4
Sd13w,Tamaaoi,Kataonami,1,6
Sd14e,Hiyoriyama,Takadagawa,1,6
Sd14w,Chokozan,Shikihide,2,4
Sd15e,Naminooto,Minezaki,5,2
Sd15w,Enatsukasa,Irumagawa,3,4
Sd16e,Mutsuryuyama,Hanakago,4,3
Sd16w,Kubota,Kasugano,4,3
Sd17e,Kokei,Araiso,3,4
Sd17w,Kiozan,Oshiogawa,5,2
Sd18e,Masutaka,Mihogaseki,5,2
Sd18w,Koshinoyama,Musashigawa,2,5
Sd19e,Kanechika,Kitanoumi,4,3
Sd19w,Tomotsukasa,Irumagawa,4,3
Sd20e,Kasugakuni,Kasugayama,5,2
Sd20w,Akinohana,Ajigawa,3,4
Sd21e,Mitanoyama,Takadagawa,3,4
Sd21w,Hagiwara,Naruto,3,4
Sd22e,Kyokushoten,Oshima,4,3
Sd22w,Kotoshiiba,Sadogatake,2,5
Sd23e,Miyamoto,Musashigawa,4,3
Sd23w,Tochiarashi,Kasugano,2,5
Sd24e,Yamasaki,Musashigawa,4,3
Sd24w,Aratobi,Isenoumi,2,5
Sd25e,Musashiryu,Musashigawa,6,1
Sd25w,Takainazawa,Takasago,3,4
Sd26e,Yutakaumi,Nakamura,2,5
Sd26w,Takamaru,Asahiyama,4,3
Sd27e,Hokuryu,Nakamura,1,6
Sd27w,Motohashi,Oshiogawa,5,2
Sd28e,Konoryu,Oshiogawa,5,2
Sd28w,Wakakawashima,Matsugane,3,4
Sd29e,Munakata,Kasugano,2,2
Sd29w,Suzukawa,Oshiogawa,5,2
Sd30e,Toyohikari,Tokitsukaze,3,4
Sd30w,Wakakasuga,Kasugayama,2,5
Sd31e,Tokiryu,Tamanoi,4,3
Sd31w,Chiyotenma,Kokonoe,0,0
Sd32e,Wakaseiryu,Magaki,0,0
Sd32w,Futamusashi,Musashigawa,3,4
Sd33e,Terukaze,Oguruma,3,4
Sd33w,Wakagiyama,Tokitsukaze,2,5
Sd34e,Yoshikiyama,Futagoyama,2,5
Sd34w,Hoshihikari,Hakkaku,4,3
Sd35e,Aoba,Ajigawa,7,0
Sd35w,Onoshio,Shikihide,3,4
Sd36e,Nakanokuni,Minato,4,3
Sd36w,Koryuyama,Mihogaseki,1,6
Sd37e,Kuroiwa,Matsugane,4,3
Sd37w,Akiyama,Minezaki,6,1
Sd38e,Ohidake,Tamanoi,3,4
Sd38w,Rachimi,Kokonoe,4,3
Sd39e,Takanosho,Futagoyama,4,3
Sd39w,Kaishin,Nishonoseki,4,3
Sd40e,Kanko,Kitanoumi,3,4
Sd40w,Hoshizakura,Hakkaku,2,4
Sd41e,Tatsuyutaka,Tatsunami,2,5
Sd41w,Fukutsukasa,Irumagawa,1,6
Sd42e,Fudoyama,Takashima,5,2
Sd42w,Daionami,Tatsunami,4,3
Sd43e,Murayoshi,Hanaregoma,5,2
Sd43w,Saita,Hanaregoma,4,3
Sd44e,Seiryu,Nishonoseki,3,4
Sd44w,Niioka,Oguruma,4,3
Sd45e,Koryu,Hanakago,5,2
Sd45w,Satsukiumi,Sakaigawa,3,4
Sd46e,Chojimaru,Tatsunami,5,2
Sd46w,Goki,Nishonoseki,5,2
Sd47e,Daiki,Takashima,3,4
Sd47w,Yoshinoumi,Dewanoumi,4,3
