rank,rikishi,heya,w,l
Y1e,Takanohana,Futagoyama,15,0
Y1w,Akebono,Azumazeki,10,5
O1e,Takanonami,Futagoyama,9,6
O1w,Wakanohana,Futagoyama,11,4
O2e,Musashimaru,Musashigawa,11,4
S1e,Kaio,Tomozuna,9,6
S1w,Takatoriki,Futagoyama,11,4
K1e,Musoyama,Musashigawa,7,8
K1w,Kotonowaka,Sadogatake,4,11
K2w,Kotonishiki,Sadogatake,10,5
M1e,Asahiyutaka,Oshima,9,6
M1w,Akinoshima,Futagoyama,7,8
M2e,Kenko,Takadagawa,4,11
M2w,Kotoinazuma,Sadogatake,4,11
M3e,Tamakasuga,Kataonami,6,9
M3w,Kotobeppu,Sadogatake,3,12
M4e,Konishiki,Takasago,4,11
M4w,Kitakachidoki,Isenoumi,4,11
M5e,Asanowaka,Wakamatsu,4,11
M5w,Daishoho,Tatsunami,8,7
M6e,Aogiyama,Tokitsukaze,6,9
M6w,Tosanoumi,Isenoumi,8,7
M7e,Minatofuji,Minato,6,9
M7w,Daishi,Oshiogawa,6,9
M8e,Mitoizumi,Takasago,8,7
M8w,Higonoumi,Mihogaseki,7,8
M9e,Kyokudozan,Oshima,6,9
M9w,Rikio,Naruto,6,9
M10e,Asanosho,Wakamatsu,8,7
M10w,Terao,Izutsu,9,6
M11e,Oginishiki,Dewanoumi,9,6
M11w,Naminohana,Futagoyama,7,8
M12e,Ganyu,Kitanoumi,8,7
M12w,Hamanoshima,Mihogaseki,9,6
M13e,Tochinowaka,Kasugano,8,7
M13w,Kotoryu,Sadogatake,8,7
M14e,Misugisato,Futagoyama,7,8
M14w,Shikishima,Tatsutagawa,8,7
M15e,Kyokushuzan,Oshima,9,6
M15w,Daihisho,Asahiyama,8,7
J1e,Daizen,Nishonoseki,7,8
J1w,Tokitsunada,Tokitsukaze,7,8
J2e,Oginohana,Dewanoumi,6,9
J2w,Kushimaumi,Dewanoumi,6,9
J3e,Wakashoyo,Futagoyama,5,10
J3w,Tochiazuma,Tamanoi,12,3
J4e,Yamato,Magaki,10,5
J4w,Mainoumi,Dewanoumi,0,0
J5e,Wakahayato,Miyagino,6,9
J5w,Asahisato,Oshima,7,8
J6e,Chiyotaikai,Kokonoe,8,7
J6w,Gojoro,Magaki,10,5
J7e,Tomonohana,Tatsunami,8,7
J7w,Kanechika,Kitanoumi,7,8
J8e,Wakanojo,Magaki,7,8
J8w,Kyokutenho,Oshima,5,10
J9e,Dewaarashi,Dewanoumi,8,7
J9w,Sunahama,Takasago,8,7
J10e,Zenshinyama,Takadagawa,8,7
J10w,Saigo,Nakamura,7,8
J11e,Toyonoumi,Futagoyama,9,6
J11w,Kasugafuji,Ajigawa,0,0
J12e,Tochitenko,Kasugano,1,14
J12w,Dejima,Musashigawa,11,4
J13e,Chiyonowaka,Kokonoe,9,6
J13w,Kotogaume,Sadogatake,9,6
Ms1e,Mutetsuyama,Musashigawa,4,3
Ms1w,Goto,Kasugano,4,3
Ms2e,Otsukasa,Irumagawa,5,2
Ms2w,Kotoarashi,Sadogatake,3,4
Ms3e,Kanesaku,Kitanoumi,4,3
Ms3w,Wakanoyama,Musashigawa,1,3
Ms4e,Dairyu,Taiho,2,5
Ms4w,Tomoefuji,Kokonoe,2,5
Ms5e,Shoeito,Izutsu,4,3
Ms5w,Oikari,Isenoumi,3,4
Ms6e,Daiden,Taiho,2,5
Ms6w,Tomikaze,Oguruma,3,4
Ms7e,Musashifuji,Musashigawa,2,5
Ms7w,Tochinofuji,Kasugano,5,2
Ms8e,Takamihana,Azumazeki,5,2
Ms8w,Akinoshu,Izutsu,6,1
Ms9e,Wakakosho,Matsugane,4,3
Ms9w,Kumagaya,Hakkaku,3,4
Ms10e,Kotokanyu,Sadogatake,4,3
Ms10w,Chiyonosho,Kokonoe,4,3
Ms11e,Kiyonoumi,Dewanoumi,3,4
Ms11w,Tokitsuumi,Tokitsukaze,4,3
Ms12e,Wakakaze,Futagoyama,3,4
Ms12w,Fukuzono,Izutsu,1,6
Ms13e,Sentoryu,Tomozuna,5,2
Ms13w,Ohinode,Tatsunami,5,2
Ms14e,Daitengo,Taiho,3,4
Ms14w,Hiroseyama,Tatsunami,2,5
Ms15e,Daiki,Azumazeki,5,2
Ms15w,Ohidake,Tamanoi,2,5
Ms16e,Tochinoyama,Kasugano,4,3
Ms16w,Tatsuhikari,Tatsunami,4,3
Ms17e,Chiyotenzan,Kokonoe,6,1
Ms17w,Yachi,Kasugano,3,4
Ms18e,Daikiyama,Mihogaseki,4,3
Ms18w,Ominato,Minato,4,3
Ms19e,Shimanoryu,Matsugane,3,4
Ms19w,Daishinki,Tokitsukaze,3,4
Ms20e,Yutakafuji,Tokitsukaze,2,5
Ms20w,Suginoyama,Takadagawa,2,5
Ms21e,Yamada,Oshiogawa,3,4
Ms21w,Suzuki,Irumagawa,4,3
Ms22e,Kogawa,Naruto,4,3
Ms22w,Arauma,Isenoumi,3,4
Ms23e,Kotofujimoto,Sadogatake,4,3
Ms23w,Gokenzan,Futagoyama,6,1
