rank,rikishi,heya,w,l
Y1e,Takanohana,Futagoyama,14,1
Y1w,Akebono,Azumazeki,0,0
O1e,Musashimaru,Musashigawa,12,3
O1w,Takanonami,Futagoyama,14,1
O2e,Wakanohana,Futagoyama,10,5
S1e,Tochiazuma,Tamanoi,7,8
S1w,Dejima,Musashigawa,5,3
S2w,Takatoriki,Futagoyama,6,9
K1e,Tochinonada,Kasugano,6,9
K1w,Akinoshima,Futagoyama,7,8
M1e,Tamakasuga,Kataonami,4,11
M1w,Tosanoumi,Isenoumi,7,8
M2e,Asahiyutaka,Oshima,6,9
M2w,Hamanoshima,Mihogaseki,4,11
M3e,Oginishiki,Dewanoumi,6,9
M3w,Kaio,Tomozuna,8,7
M4e,Kotonishiki,Sadogatake,8,7
M4w,Tochinowaka,Kasugano,3,12
M5e,Chiyotaikai,Kokonoe,6,9
M5w,Higonoumi,Mihogaseki,6,9
M6e,Musoyama,Musashigawa,11,4
M6w,Kotoinazuma,Sadogatake,5,10
M7e,Ganyu,Kitanoumi,7,8
M7w,Wakanojo,Magaki,5,10
M8e,Kotonowaka,Sadogatake,9,6
M8w,Kyokushuzan,Oshima,9,6
M9e,Mainoumi,Dewanoumi,5,10
M9w,Terao,Izutsu,6,9
M10e,Aogiyama,Tokitsukaze,8,7
M10w,Shikishima,Tatsutagawa,8,7
M11e,Mitoizumi,Takasago,8,7
M11w,Kitakachidoki,Isenoumi,8,7
M12e,Yamato,Magaki,7,8
M12w,Minatofuji,Minato,9,6
M13e,Akinoshu,Izutsu,9,6
M13w,Asanowaka,Wakamatsu,8,7
M14e,Konishiki,Takasago,5,9
M14w,Kotoryu,Sadogatake,9,6
M15e,Asanosho,Wakamatsu,0,0
M15w,Kushimaumi,Dewanoumi,3,12
J1e,Gojoro,Magaki,8,7
J1w,Kyokutenho,Oshima,9,6
J2e,Oginohana,Dewanoumi,4,11
J2w,Tokitsunada,Tokitsukaze,9,6
J3e,Misugisato,Futagoyama,9,6
J3w,Tokitsuumi,Tokitsukaze,8,7
