rank,rikishi,heya,w,l
Y1e,Musashimaru,Musashigawa,2,2
Y1w,Takanohana,Futagoyama,12,3
Y2e,Wakanohana,Futagoyama,0,0
Y2w,Akebono,Azumazeki,11,4
O1e,Dejima,Musashigawa,9,6
O1w,Chiyotaikai,Kokonoe,9,6
S1e,Kaio,Tomozuna,7,8
S1w,Tochiazuma,Tamanoi,8,7
S2e,Musoyama,Musashigawa,13,2
S2w,Takanonami,Futagoyama,10,5
K1e,Tosanoumi,Isenoumi,8,7
K1w,Miyabiyama,Musashigawa,12,3
M1e,Toki,Takasago,4,11
M1w,Kotoryu,Sadogatake,6,9
M2e,Kotonowaka,Sadogatake,6,9
M2w,Asanowaka,Wakamatsu,3,12
M3e,Kotonishiki,Sadogatake,3,12
M3w,Higonoumi,Mihogaseki,2,5
M4e,Tochinonada,Kasugano,6,9
M4w,Akinoshima,Futagoyama,7,8
M5e,Hamanoshima,Mihogaseki,5,10
M5w,Shikishima,Tatsutagawa,7,8
M6e,Kyokushuzan,Oshima,8,7
M6w,Aogiyama,Tokitsukaze,4,10
M7e,Terao,Izutsu,5,10
M7w,Wakanoyama,Musashigawa,9,6
M8e,Tamakasuga,Kataonami,8,7
M8w,Asanosho,Wakamatsu,7,8
M9e,Kaiho,Hakkaku,6,9
M9w,Minatofuji,Minato,8,7
M10e,Takatoriki,Futagoyama,6,9
M10w,Otsukasa,Irumagawa,5,10
M11e,Chiyotenzan,Kokonoe,9,6
M11w,Tokitsuumi,Tokitsukaze,9,6
M12e,Takanowaka,Naruto,10,5
M12w,Ohinode,Tatsunami,4,11
M13e,Kyokutenho,Oshima,11,4
M13w,Oikari,Isenoumi,8,7
M14e,Kinkaiyama,Dewanoumi,6,9
M14w,Wakanosato,Naruto,0,0
J1e,Hayateumi,Oitekaze,12,3
J1w,Daizen,Nishonoseki,10,5
J2e,Oginishiki,Dewanoumi,13,2
J2w,Yotsukasa,Irumagawa,3,12
J3e,Wakanojo,Magaki,3,12
J3w,Hoshitango,Michinoku,5,10
J4e,Mitoizumi,Takasago,8,7
J4w,Dewaarashi,Dewanoumi,7,8
J5e,Daishi,Oshiogawa,5,10
J5w,Kitakachidoki,Isenoumi,9,6
J6e,Susanoumi,Kitanoumi,8,7
J6w,Akinoshu,Izutsu,10,5
J7e,Kotomitsuki,Sadogatake,11,4
J7w,Dewataira,Dewanoumi,7,8
J8e,Gojoro,Magaki,7,7
J8w,Jumonji,Tatsutagawa,8,7
J9e,Tomonohana,Tatsunami,9,6
J9w,Sentoryu,Tomozuna,7,8
J10e,Ganyu,Kitanoumi,7,8
J10w,Tamanonada,Kataonami,5,10
J11e,Tochinohana,Kasugano,9,6
J11w,Kobo,Miyagino,7,8
J12e,Takamisakari,Azumazeki,7,8
J12w,Kitazakura,Kitanoumi,7,8
J13e,Wakakosho,Matsugane,8,7
J13w,Aminishiki,Ajigawa,8,7
Ms1e,Kotoiwakuni,Sadogatake,2,5
Ms1w,Tamarikido,Kataonami,6,1
Ms2e,Wakatsutomu,Matsugane,2,5
Ms2w,Hokutomine,Hakkaku,3,4
Ms3e,Tochisakae,Kasugano,4,3
Ms3w,Midorifuji,Onomatsu,3,4
Ms4e,Goto,Futagoyama,3,4
