rank,rikishi,heya,w,l
Y1e,Takanohana,Futagoyama,13,2
Y1w,Akebono,Azumazeki,12,3
O1e,Takanonami,Futagoyama,11,4
O1w,Musashimaru,Musashigawa,13,2
O2e,Wakanohana,Futagoyama,12,3
S1e,Kaio,Tomozuna,8,7
S1w,Kotonishiki,Sadogatake,4,5
K1e,Akinoshima,Futagoyama,11,4
K1w,Musoyama,Musashigawa,4,3
M1e,Kotonowaka,Sadogatake,5,10
M1w,Takatoriki,Futagoyama,7,8
M2e,Tochinowaka,Kasugano,4,11
M2w,Terao,Izutsu,5,10
M3e,Hamanoshima,Mihogaseki,4,11
M3w,Mainoumi,Dewanoumi,4,11
M4e,Kenko,Takadagawa,5,10
M4w,Kushimaumi,Dewanoumi,3,12
M5e,Kotoinazuma,Sadogatake,5,10
M5w,Tomonohana,Tatsunami,6,9
M6e,Daizen,Nishonoseki,2,13
M6w,Kirishima,Izutsu,4,11
M7e,Naminohana,Futagoyama,9,6
M7w,Kitakachidoki,Isenoumi,7,8
M8e,Misugisato,Futagoyama,8,7
M8w,Konishiki,Takasago,8,7
M9e,Kasugafuji,Ajigawa,7,8
M9w,Kotobeppu,Sadogatake,9,6
M10e,Daishi,Oshiogawa,8,7
M10w,Asanowaka,Wakamatsu,9,6
M11e,Kiraiho,Takadagawa,7,8
M11w,Daishoho,Tatsunami,11,4
M12e,Kyokudozan,Oshima,8,7
M12w,Oginishiki,Dewanoumi,9,6
M13e,Mitoizumi,Takasago,7,8
M13w,Higonoumi,Mihogaseki,8,7
M14e,Minatofuji,Minato,8,7
M14w,Tokitsunada,Tokitsukaze,7,8
M15e,Wakashoyo,Futagoyama,8,7
M15w,Takamisugi,Futagoyama,8,7
M16e,Kotogaume,Sadogatake,5,10
J1e,Asanosho,Wakamatsu,8,7
J1w,Kyokugozan,Oshima,6,9
J2e,Asahiyutaka,Oshima,11,4
J2w,Kanechika,Kitanoumi,6,9
J3e,Oginohana,Dewanoumi,10,5
J3w,Hitachiryu,Oshiogawa,7,8
J4e,Aogiyama,Tokitsukaze,8,7
J4w,Shikishima,Tatsutagawa,9,6
J5e,Wakanoyama,Musashigawa,6,9
J5w,Hoshiandesu,Michinoku,8,7
J6e,Tosanoumi,Isenoumi,11,4
J6w,Daishoyama,Tatsunami,6,9
J7e,Toyonoumi,Futagoyama,8,7
J7w,Kirinishiki,Kagamiyama,4,11
J8e,Rikio,Naruto,8,7
J8w,Mutsuhokkai,Ajigawa,8,7
