rank,rikishi,heya,w,l
Y1e,Asashoryu,Takasago,0,0
Y1w,Hakuho,Miyagino,13,2
O1e,Chiyotaikai,Kokonoe,9,6
O1w,Kotooshu,Sadogatake,8,7
O2e,Kaio,Tomozuna,1,5
O2w,Kotomitsuki,Sadogatake,10,5
S1e,Aminishiki,Ajigawa,10,5
S1w,Asasekiryu,Takasago,8,7
K1e,Kisenosato,Naruto,6,9
K1w,Ama,Ajigawa,10,5
M1e,Tokitenku,Tokitsukaze,6,9
M1w,Homasho,Shikoroyama,8,7
M2e,Tochinonada,Kasugano,4,11
M2w,Kakuryu,Izutsu,7,8
M3e,Hokutoriki,Hakkaku,3,12
M3w,Kotoshogiku,Sadogatake,10,5
M4e,Dejima,Musashigawa,8,7
M4w,Wakanosato,Naruto,5,10
M5e,Toyonoshima,Tokitsukaze,8,7
M5w,Miyabiyama,Musashigawa,9,6
M6e,Toyohibiki,Sakaigawa,7,8
M6w,Kaiho,Hakkaku,4,11
M7e,Tamanoshima,Kataonami,8,7
M7w,Tokitsuumi,Tokitsukaze,5,10
M8e,Takekaze,Oguruma,9,6
M8w,Tosanoumi,Isenoumi,6,9
M9e,Roho,Otake,6,9
M9w,Takamisakari,Azumazeki,8,7
M10e,Iwakiyama,Sakaigawa,4,11
M10w,Kasugao,Kasugayama,10,5
M11e,Tamakasuga,Kataonami,8,7
M11w,Futeno,Dewanoumi,8,7
M12e,Kokkai,Oitekaze,7,8
M12w,Kyokutenho,Oshima,12,3
M13e,Ryuo,Miyagino,3,12
M13w,Tochiozan,Kasugano,7,8
M14e,Kitazakura,Kitanoumi,4,11
M14w,Goeido,Sakaigawa,11,4
M15e,Hakurozan,Kitanoumi,9,6
M15w,Yoshikaze,Oguruma,10,5
M16e,Kasuganishiki,Kasugano,7,8
M16w,Kakizoe,Musashigawa,9,6
J1e,Hochiyama,Sakaigawa,7,8
J1w,Wakanoho,Magaki,10,5
J2e,Otsukasa,Irumagawa,7,8
J2w,Wakakirin,Oguruma,9,6
J3e,Toyozakura,Michinoku,8,7
J3w,Hakuba,Michinoku,8,7
J4e,Ushiomaru,Azumazeki,6,9
J4w,Tochinohana,Kasugano,8,7
J5e,Shunketsu,Hanaregoma,7,8
J5w,Satoyama,Onoe,6,9
J6e,Koryu,Hanakago,7,8
J6w,Shirononami,Onoe,5,10
J7e,Mokonami,Tatsunami,6,9
J7w,Masatsukasa,Irumagawa,7,8
J8e,Chiyohakuho,Kokonoe,9,6
J8w,Daimanazuru,Asahiyama,0,4
J9e,Shimootori,Tokitsukaze,10,5
J9w,Baruto,Onoe,13,2
J10e,Kotokasuga,Sadogatake,9,6
J10w,Kitataiki,Kitanoumi,9,6
J11e,Hoshihikari,Hakkaku,8,7
J11w,Sakaizawa,Onoe,7,8
J12e,Tamarikido,Kataonami,3,12
J12w,Kyokunankai,Oshima,7,8
J13e,Katayama,Onomatsu,8,7
J13w,Jumonji,Michinoku,8,7
J14e,Asofuji,Ajigawa,8,7
