rank,rikishi,heya,w,l
Y1e,Akebono,Azumazeki,11,4
Y1w,Takanohana,Futagoyama,14,1
Y2e,Wakanohana,Futagoyama,10,5
O1e,Takanonami,Futagoyama,9,6
O1w,Musashimaru,Musashigawa,12,3
S1e,Akinoshima,Futagoyama,3,4
S1w,Chiyotaikai,Kokonoe,11,4
K1e,Kotonishiki,Sadogatake,1,2
K1w,Kaio,Tomozuna,7,8
M1e,Oginishiki,Dewanoumi,2,9
M1w,Takatoriki,Futagoyama,10,5
M2e,Musoyama,Musashigawa,9,6
M2w,Tochinonada,Kasugano,5,10
M3e,Gojoro,Magaki,3,12
M3w,Shikishima,Tatsutagawa,4,9
M4e,Tochinowaka,Kasugano,3,12
M4w,Dejima,Musashigawa,10,5
M5e,Ganyu,Kitanoumi,3,12
M5w,Tochiazuma,Tamanoi,8,7
M6e,Hamanoshima,Mihogaseki,4,11
M6w,Higonoumi,Mihogaseki,6,9
M7e,Tosanoumi,Isenoumi,7,7
M7w,Wakanojo,Magaki,4,11
M8e,Asahiyutaka,Oshima,8,7
M8w,Aogiyama,Tokitsukaze,8,7
M9e,Terao,Izutsu,4,11
M9w,Kotonowaka,Sadogatake,11,4
M10e,Minatofuji,Minato,9,6
M10w,Tamakasuga,Kataonami,9,6
M11e,Wakanosato,Naruto,9,6
M11w,Kyokushuzan,Oshima,9,6
M12e,Asanosho,Wakamatsu,7,8
M12w,Kotoinazuma,Sadogatake,7,8
M13e,Mitoizumi,Takasago,8,7
M13w,Kotoryu,Sadogatake,9,6
M14e,Kaiho,Hakkaku,8,7
M14w,Dewaarashi,Dewanoumi,6,9
M15e,Kinkaiyama,Dewanoumi,7,8
M15w,Kyokutenho,Oshima,4,11
M16e,Asanowaka,Wakamatsu,8,7
J1e,Kitakachidoki,Isenoumi,4,11
J1w,Toki,Takasago,9,6
J2e,Tokitsuumi,Tokitsukaze,10,5
J2w,Oikari,Isenoumi,8,7
J3e,Tokitsunada,Tokitsukaze,7,8
J3w,Daishi,Oshiogawa,6,9
J4e,Kushimaumi,Dewanoumi,7,8
J4w,Zenshinyama,Takadagawa,0,0
J5e,Susanoumi,Kitanoumi,8,7
J5w,Toyonoumi,Futagoyama,8,7
J6e,Akinoshu,Izutsu,12,3
J6w,Chiyotenzan,Kokonoe,7,8
J7e,Mainoumi,Dewanoumi,9,6
J7w,Otsukasa,Irumagawa,6,9
J8e,Oginohana,Dewanoumi,1,13
J8w,Yotsukasa,Irumagawa,7,8
J9e,Daishoho,Tatsunami,8,7
J9w,Daizen,Nishonoseki,8,7
J10e,Dewataira,Dewanoumi,8,7
J10w,Hokutohikari,Hakkaku,5,10
J11e,Ohinode,Tatsunami,9,6
J11w,Wakahayato,Miyagino,8,7
J12e,Tomonohana,Tatsunami,9,6
J12w,Kitazakura,Kitanoumi,0,0
J13e,Misugisato,Futagoyama,3,10
J13w,Tochinofuji,Kasugano,9,6
Ms1e,Gokenzan,Futagoyama,4,3
Ms1w,Toyozakura,Tatsutagawa,6,1
Ms2e,Hoshitango,Michinoku,6,1
Ms2w,Tochinoiwa,Kasugano,5,2
Ms3e,Masutsuyoshi,Mihogaseki,2,5
Ms3w,Kotokanyu,Sadogatake,2,5
Ms4e,Daihisho,Asahiyama,3,4
Ms4w,Futatsukuba,Tatsunami,4,3
Ms5e,Wakanoyama,Musashigawa,5,2
Ms5w,Tsuchihashi,Tokitsukaze,3,4
Ms6e,Tochifudo,Kasugano,4,3
Ms6w,Arashi,Kokonoe,1,6
Ms7e,Takanowaka,Naruto,2,5
Ms7w,Kaigatake,Tatsutagawa,4,3
Ms8e,Kasuganishiki,Kasugano,4,3
Ms8w,Yachi,Kasugano,4,3
Ms9e,Yamato,Magaki,0,0
Ms9w,Aminishiki,Ajigawa,2,5
Ms10e,Yutakafuji,Tokitsukaze,3,4
Ms10w,Hoshiandesu,Michinoku,4,3
Ms11e,Torafusuyama,Mihogaseki,3,4
Ms11w,Otakayama,Dewanoumi,3,4
