rank,rikishi,heya,w,l
Y1e,Hakuho,Miyagino,12,3
Y1w,Asashoryu,Takasago,13,2
O1e,Kotooshu,Sadogatake,9,6
O1w,Harumafuji,Isegahama,10,5
O2e,Kotomitsuki,Sadogatake,1,7
O2w,Kaio,Tomozuna,9,6
S1e,Baruto,Onoe,12,3
S1w,Chiyotaikai,Kokonoe,0,4
K1e,Kotoshogiku,Sadogatake,6,9
K1w,Kakuryu,Izutsu,7,8
M1e,Toyonoshima,Tokitsukaze,8,7
M1w,Tochinoshin,Kasugano,5,10
M2e,Goeido,Sakaigawa,7,8
M2w,Miyabiyama,Musashigawa,5,10
M3e,Hokutoriki,Hakkaku,3,12
M3w,Kisenosato,Naruto,9,6
M4e,Kakizoe,Musashigawa,6,9
M4w,Takekaze,Oguruma,6,9
M5e,Yoshikaze,Oguruma,6,9
M5w,Kyokutenho,Oshima,8,7
M6e,Bushuyama,Musashigawa,2,13
M6w,Aminishiki,Isegahama,11,4
M7e,Tamawashi,Kataonami,8,7
M7w,Wakanosato,Naruto,9,6
M8e,Tokitenku,Tokitsukaze,5,5
M8w,Asasekiryu,Takasago,6,9
M9e,Kokkai,Oitekaze,5,10
M9w,Shotenro,Musashigawa,3,12
M10e,Tochiozan,Kasugano,8,7
M10w,Aran,Mihogaseki,10,5
M11e,Takamisakari,Azumazeki,7,8
M11w,Mokonami,Tatsunami,6,9
M12e,Homasho,Shikoroyama,9,6
M12w,Tosayutaka,Tokitsukaze,10,5
M13e,Tamanoshima,Kataonami,7,8
M13w,Shimotori,Tokitsukaze,8,7
M14e,Iwakiyama,Sakaigawa,9,6
M14w,Hakuba,Michinoku,9,6
M15e,Kitataiki,Kitanoumi,9,6
M15w,Tochinonada,Kasugano,5,10
M16e,Koryu,Hanakago,3,12
M16w,Toyohibiki,Sakaigawa,12,3
J1e,Tokusegawa,Kiriyama,9,6
J1w,Sagatsukasa,Irumagawa,9,6
J2e,Okinoumi,Hakkaku,10,5
J2w,Kotokasuga,Sadogatake,5,10
J3e,Futeno,Dewanoumi,4,11
J3w,Kimurayama,Kasugano,7,8
J4e,Wakakoyu,Onomatsu,8,7
J4w,Kasugao,Kasugayama,9,6
J5e,Tosanoumi,Isenoumi,8,7
J5w,Wakatenro,Magaki,5,10
J6e,Asofuji,Isegahama,8,7
J6w,Masatsukasa,Irumagawa,9,6
J7e,Tamaasuka,Kataonami,5,10
J7w,Chiyohakuho,Kokonoe,7,8
J8e,Toyozakura,Michinoku,7,8
J8w,Kirinowaka,Michinoku,6,9
J9e,Shirononami,Onoe,6,9
J9w,Yamamotoyama,Onoe,7,8
J10e,Kasuganishiki,Kasugano,6,9
J10w,Kiyoseumi,Kise,9,6
J11e,Hoshikaze,Oguruma,5,10
J11w,Kaiho,Hakkaku,8,7
J12e,Kyokunankai,Oshima,9,6
J12w,Sakaizawa,Onoe,10,5
J13e,Gagamaru,Kise,12,3
J13w,Sokokurai,Arashio,9,6
J14e,Myogiryu,Sakaigawa,1,2
J14w,Jumonji,Michinoku,6,9
Ms1e,Tokushinho,Kise,5,2
Ms1w,Surugatsukasa,Irumagawa,2,5
Ms2e,Ryuho,Michinoku,2,5
Ms2w,Kurosawa,Onomatsu,4,3
Ms3e,Sadanofuji,Sakaigawa,6,1
Ms3w,Nakanishi,Onomatsu,4,3
Ms4e,Kanbayashi,Hakkaku,4,3
Ms4w,Daishoumi,Oitekaze,2,5
Ms5e,Satsumahibiki,Sakaigawa,2,5
Ms5w,Hochiyama,Sakaigawa,4,3
Ms6e,Nakanokuni,Minato,4,3
Ms6w,Takanoyama,Naruto,3,4
Ms7e,Takateru,Oitekaze,3,4
Ms7w,Matsutani,Matsugane,6,1
Ms8e,Kotoyutaka,Sadogatake,4,3
Ms8w,Aoki,Kise,5,2
Ms9e,Rikiryu,Hanakago,1,6
Ms9w,Ryuden,Takadagawa,3,4
Ms10e,Kaisei,Tomozuna,5,2
Ms10w,Wakaryusei,Hanaregoma,3,4
Ms11e,Dairaido,Takadagawa,2,5
Ms11w,Tochinowaka,Kasugano,5,2
Ms12e,Mochimaru,Tatsunami,2,5
Ms12w,Hoshihikari,Hakkaku,4,3
Ms13e,Yoshiazuma,Tamanoi,4,3
Ms13w,Takanoiwa,Takanohana,3,4
Ms14e,Sotairyu,Tokitsukaze,5,2
Ms14w,Towanoyama,Dewanoumi,4,3
Ms15e,Kasugakuni,Kasugayama,3,4
Ms15w,Fujiazuma,Tamanoi,4,3
Ms16e,Kitazakura,Kitanoumi,2,5
Ms16w,Minami,Onoe,2,5
Ms17e,Kitazono,Oguruma,4,3
Ms17w,Nakano,Musashigawa,3,4
Ms18e,Kitaharima,Kitanoumi,3,4
Ms18w,Tsurugidake,Musashigawa,6,1
Ms19e,Kaonishiki,Azumazeki,2,5
Ms19w,Satoyama,Onoe,3,4
Ms20e,Takarafuji,Isegahama,5,2
Ms20w,Sasaki,Naruto,5,2
Ms21e,Shoketsu,Hanaregoma,3,4
Ms21w,Yanagawa,Mihogaseki,1,6
Ms22e,Kyokushuho,Oshima,4,3
Ms22w,Takayasu,Naruto,4,3
Ms23e,Arawashi,Hanakago,5,2
Ms23w,Shironoryu,Sakaigawa,4,3
Ms24e,Daiyubu,Shibatayama,3,4
Ms24w,Ryuo,Miyagino,2,5
Ms25e,Tamadaiki,Kataonami,3,4
Ms25w,Amuru,Onomatsu,5,2
Ms26e,Oniarashi,Asahiyama,4,3
Ms26w,Toyonokuni,Tokitsukaze,3,4
Ms27e,Daishoyama,Oitekaze,4,3
Ms27w,Tamarikido,Kataonami,1,6
Ms28e,Higonojo,Kise,1,6
Ms28w,Akinomine,Minezaki,3,4
Ms29e,Sadanoumi,Sakaigawa,7,0
Ms29w,Kamei,Kise,4,3
Ms30e,Matsumidori,Onomatsu,2,5
Ms30w,Daitensho,Takashima,4,3
Ms31e,Tochitsubasa,Kasugano,5,2
Ms31w,Wakanoshima,Hanaregoma,3,4
Ms32e,Fukunohana,Dewanoumi,4,3
Ms32w,Hakiai,Kitanoumi,6,1
Ms33e,Nionoumi,Kitanoumi,4,3
Ms33w,Yamatofuji,Onomatsu,2,5
Ms34e,Chokozan,Shikihide,3,4
Ms34w,Hananosato,Takasago,3,4
Ms35e,Ikioi,Isenoumi,5,2
Ms35w,Fukao,Kise,6,1
Ms36e,Yamasaki,Musashigawa,3,4
Ms36w,Aozora,Tagonoura,1,1
Ms37e,Yotsuguruma,Isenoumi,4,3
Ms37w,Kotoyuki,Sadogatake,5,1
Ms38e,Masunoyama,Chiganoura,4,3
Ms38w,Dewaotori,Dewanoumi,4,3
Ms39e,Takunishiki,Chiganoura,1,6
Ms39w,Yonemura,Hakkaku,2,5
Ms40e,Wakarikido,Matsugane,0,5
Ms40w,Kihonoumi,Dewanoumi,3,4
Ms41e,Omiryu,Hanaregoma,3,4
Ms41w,Kotokuni,Sadogatake,2,5
Ms42e,Nankairiki,Kise,4,3
Ms42w,Taiga,Shikihide,3,4
Ms43e,Musoketsu,Hanaregoma,0,0
Ms43w,Hoshizakura,Hakkaku,2,5
Ms44e,Hamanishiki,Oitekaze,4,3
Ms44w,Shoho,Kasugayama,4,3
Ms45e,Azumaryu,Tamanoi,5,2
Ms45w,Yamashita,Kise,2,5
Ms46e,Kagamio,Kagamiyama,5,2
Ms46w,Seiro,Shikoroyama,4,3
Ms47e,Homarefuji,Isegahama,5,2
Ms47w,Kawanari,Oguruma,3,4
Ms48e,Nishikikaze,Oguruma,2,5
Ms48w,Wakamifuji,Magaki,3,4
Ms49e,Tochihiryu,Kasugano,6,1
Ms49w,Araumi,Isenoumi,4,3
Ms50e,Sakaguchi,Tamanoi,4,3
Ms50w,Chiyoarashi,Kokonoe,0,7
Ms51e,Daionami,Tatsunami,2,5
Ms51w,Kisomitsuru,Tokitsukaze,3,4
Ms52e,Bungonishiki,Dewanoumi,3,4
Ms52w,Hishofuji,Nakamura,5,2
Ms53e,Kakureizan,Izutsu,3,4
Ms53w,Tamao,Kataonami,3,4
Ms54e,Tenroku,Onomatsu,4,3
Ms54w,Daimanazuru,Asahiyama,4,3
Ms55e,Sakigake,Hanaregoma,3,4
Ms55w,Tokio,Kise,5,2
Ms56e,Kaishoryu,Tomozuna,5,2
Ms56w,Hokutoiwa,Hakkaku,1,6
Ms57e,Naoe,Oguruma,5,2
Ms57w,Tokachiumi,Hakkaku,3,4
Ms58e,Kumagai,Isenoumi,4,3
Ms58w,Aoba,Isegahama,2,5
Ms59e,Kairyu,Tagonoura,6,1
Ms59w,Hidenofuji,Kasugayama,4,3
Ms60e,Kimenryu,Takasago,3,4
Ms60w,Wakainami,Tatsunami,4,3
Sd1e,Kotomisen,Sadogatake,3,4
Sd1w,Furuichi,Onomatsu,4,3
Sd2e,Masutoo,Chiganoura,4,3
Sd2w,Chiyonohana,Kokonoe,2,5
Sd3e,Gorikiyama,Takadagawa,3,4
Sd3w,Fujimoto,Onomatsu,5,2
Sd4e,Kotoninsei,Sadogatake,1,6
Sd4w,Mankajo,Kasugayama,2,5
Sd5e,Tokizakura,Nakamura,4,3
Sd5w,Maeta,Hanaregoma,6,1
Sd6e,Teruazuma,Tamanoi,2,5
Sd6w,Chiyootori,Kokonoe,3,4
Sd7e,Aisaka,Onomatsu,5,2
Sd7w,Wakakasuga,Kasugayama,3,4
Sd8e,Chiyonokuni,Kokonoe,4,3
Sd8w,Kihakuriki,Otake,3,4
Sd9e,Tokitsukasa,Irumagawa,4,3
Sd9w,Teraomaru,Shikoroyama,2,5
Sd10e,Bugendai,Musashigawa,5,2
Sd10w,Tochiyashiki,Kasugano,4,3
Sd11e,Asahisho,Oshima,3,4
Sd11w,Tenichi,Kitanoumi,6,1
Sd12e,Takakiho,Takanohana,2,5
Sd12w,Toshinyama,Tamanoi,1,6
Sd13e,Wakakengo,Matsugane,4,3
