rank,rikishi,heya,w,l
Y1e,Takanohana,Futagoyama,13,2
Y1w,Akebono,Azumazeki,11,4
O1e,Musashimaru,Musashigawa,12,3
O1w,Wakanohana,Futagoyama,11,4
O2e,Takanonami,Futagoyama,9,6
S1e,Kaio,Tomozuna,9,6
S1w,Musoyama,Musashigawa,10,5
K1e,Akinoshima,Futagoyama,1,2
K1w,Kotonowaka,Sadogatake,9,6
M1e,Kotonishiki,Sadogatake,8,7
M1w,Misugisato,Futagoyama,5,10
M2e,Tochinowaka,Kasugano,3,12
M2w,Kotobeppu,Sadogatake,4,11
M3e,Higonoumi,Mihogaseki,0,0
M3w,Takatoriki,Futagoyama,9,6
M4e,Kenko,Takadagawa,11,4
M4w,Naminohana,Futagoyama,4,11
M5e,Kitakachidoki,Isenoumi,4,11
M5w,Terao,Izutsu,5,10
M6e,Mainoumi,Dewanoumi,5,10
M6w,Tokitsunada,Tokitsukaze,3,12
M7e,Daishoho,Tatsunami,6,9
M7w,Tosanoumi,Isenoumi,7,8
M8e,Asanosho,Wakamatsu,5,10
M8w,Kyokudozan,Oshima,5,10
M9e,Takamisugi,Futagoyama,6,9
M9w,Kotoinazuma,Sadogatake,8,7
M10e,Minatofuji,Minato,8,7
M10w,Asanowaka,Wakamatsu,8,7
M11e,Kiraiho,Takadagawa,6,9
M11w,Kasugafuji,Ajigawa,7,8
M12e,Kirishima,Izutsu,8,7
M12w,Hamanoshima,Mihogaseki,9,6
M13e,Mitoizumi,Takasago,8,7
M13w,Konishiki,Takasago,9,6
M14e,Daishi,Oshiogawa,8,7
M14w,Oginishiki,Dewanoumi,9,6
M15e,Wakashoyo,Futagoyama,11,4
M15w,Asahiyutaka,Oshima,9,6
M16e,Tomonohana,Tatsunami,0,0
J1e,Oginohana,Dewanoumi,6,9
J1w,Toyonoumi,Futagoyama,5,10
J2e,Kanechika,Kitanoumi,5,10
J2w,Rikio,Naruto,5,10
J3e,Shikishima,Tatsutagawa,8,7
J3w,Aogiyama,Tokitsukaze,9,6
J4e,Daizen,Nishonoseki,8,7
J4w,Wakanoyama,Musashigawa,3,12
J5e,Kyokugozan,Oshima,6,9
J5w,Kotogaume,Sadogatake,8,7
J6e,Hitachiryu,Oshiogawa,5,10
J6w,Kushimaumi,Dewanoumi,9,6
J7e,Tamakasuga,Kataonami,9,6
J7w,Wakahayato,Miyagino,8,7
J8e,Gokenzan,Futagoyama,7,8
J8w,Daishoyama,Tatsunami,9,6
J9e,Asahisato,Oshima,8,7
J9w,Kotoryu,Sadogatake,8,7
J10e,Kotofuji,Sadogatake,8,7
J10w,Ryudo,Tamanoi,8,7
J11e,Ganyu,Kitanoumi,9,6
J11w,Yamato,Magaki,6,9
J12e,Daihisho,Asahiyama,9,6
J12w,Gojoro,Magaki,8,7
J13e,Kyokushuzan,Oshima,10,5
J13w,Chiyotaikai,Kokonoe,8,7
Ms1e,Ouchi,Irumagawa,2,5
Ms1w,Tomoefuji,Kokonoe,1,6
Ms2e,Dairyu,Taiho,0,0
Ms2w,Aka,Magaki,5,2
Ms3e,Sentoryu,Tomozuna,4,3
Ms3w,Mutsuhokkai,Ajigawa,4,3
Ms4e,Takanonada,Futagoyama,4,3
Ms4w,Sunahama,Takasago,4,3
Ms5e,Kirinishiki,Kagamiyama,3,4
Ms5w,Shigenoumi,Musashigawa,3,4
Ms6e,Koriyama,Mihogaseki,3,4
Ms6w,Fukuzono,Izutsu,1,4
Ms7e,Aranonami,Musashigawa,3,4
Ms7w,Mutetsuyama,Musashigawa,6,1
Ms8e,Yutakafuji,Tokitsukaze,3,4
Ms8w,Daiki,Azumazeki,7,0
Ms9e,Kusunosato,Futagoyama,4,3
Ms9w,Shoeito,Izutsu,2,5
Ms10e,Nanfu,Takasago,4,3
Ms10w,Wakakaze,Futagoyama,4,3
Ms11e,Kitazakura,Kitanoumi,5,2
Ms11w,Kotokanyu,Sadogatake,5,2
Ms12e,Owakamatsu,Taiho,2,5
Ms12w,Hoshiandesu,Michinoku,3,4
Ms13e,Jumonji,Tatsutagawa,1,6
Ms13w,Tochitenko,Kasugano,3,4
Ms14e,Hoshitango,Michinoku,5,2
Ms14w,Tochinofuji,Kasugano,3,4
Ms15e,Umenosato,Takasago,4,3
Ms15w,Chiyonosho,Kokonoe,2,5
Ms16e,Daitengo,Taiho,5,2
Ms16w,Tochinoiwa,Kasugano,2,5
Ms17e,Kotoarashi,Sadogatake,5,2
Ms17w,Tsuruga,Hakkaku,2,5
Ms18e,Toyozakura,Tatsutagawa,4,3
Ms18w,Chiyotenzan,Kokonoe,4,3
Ms19e,Ohinode,Tatsunami,3,4
Ms19w,Genkai,Asahiyama,4,3
Ms20e,Sumiya,Nakamura,6,1
Ms20w,Morimoto,Kasugano,4,3
Ms21e,Akinoshu,Izutsu,6,1
Ms21w,Kiyota,Dewanoumi,2,5
Ms22e,Moriyama,Izutsu,0,0
Ms22w,Fukunoryu,Futagoyama,3,4
Ms23e,Kimenryu,Takasago,2,5
Ms23w,Wakakosho,Matsugane,3,4
Ms24e,Kiyonofuji,Isegahama,4,3
Ms24w,Ohidake,Tamanoi,5,2
Ms25e,Yamanakayama,Magaki,3,4
Ms25w,Zenshinyama,Takadagawa,5,2
Ms26e,Kawaguchi,Takasago,0,7
Ms26w,Horyu,Miyagino,3,4
Ms27e,Kyokutenho,Oshima,4,3
Ms27w,Kotofujimoto,Sadogatake,4,3
Ms28e,Saganobori,Oshiogawa,1,6
Ms28w,Kosenryu,Takasago,5,2
Ms29e,Dewaarashi,Dewanoumi,4,3
Ms29w,Daikaizan,Hanaregoma,3,4
Ms30e,Fusakaze,Wakamatsu,2,5
Ms30w,Takamio,Azumazeki,4,3
Ms31e,Tamaki,Takasago,3,4
Ms31w,Daikiyama,Mihogaseki,3,4
Ms32e,Mineyama,Miyagino,4,3
Ms32w,Seifuriki,Oshiogawa,3,4
Ms33e,Nakanoyama,Oshiogawa,2,5
Ms33w,Ominato,Minato,2,5
Ms34e,Shimanoryu,Matsugane,4,3
Ms34w,Takamihana,Azumazeki,5,2
Ms35e,Daiden,Taiho,3,4
Ms35w,Chiyonowaka,Kokonoe,6,1
Ms36e,Takaseyama,Asahiyama,4,3
Ms36w,Komafudo,Hanaregoma,3,4
Ms37e,Haguroumi,Tatsunami,5,2
Ms37w,Takanohikari,Futagoyama,2,5
Ms38e,Kotoasaki,Sadogatake,4,3
Ms38w,Yamanoumi,Kitanoumi,3,4
Ms39e,Takinooto,Isenoumi,2,5
Ms39w,Ishizaki,Oshiogawa,5,2
Ms40e,Asanoyori,Wakamatsu,4,3
Ms40w,Ishide,Hanaregoma,3,4
Ms41e,Shiunryu,Izutsu,4,3
Ms41w,Ryukayama,Futagoyama,5,2
Ms42e,Kanenoumi,Dewanoumi,4,3
Ms42w,Daihiryu,Taiho,3,4
Ms43e,Akinomine,Mihogaseki,2,5
Ms43w,Tsuchihashi,Tokitsukaze,1,6
Ms44e,Tamanohana,Kataonami,5,2
Ms44w,Ueda,Futagoyama,1,6
Ms45e,Karatsunada,Oshiogawa,2,5
Ms45w,Dewanofuji,Dewanoumi,4,3
Ms46e,Wakaryusei,Oshiogawa,3,4
Ms46w,Oikari,Isenoumi,6,1
Ms47e,Tatsukabuto,Kabutoyama,3,4
Ms47w,Wakanomiya,Magaki,3,4
Ms48e,Tomikaze,Oguruma,5,2
Ms48w,Takaiyama,Naruto,4,3
Ms49e,Shirata,Futagoyama,4,3
Ms49w,Musashifuji,Musashigawa,4,3
Ms50e,Arauma,Isenoumi,3,4
Ms50w,Takaozaki,Naruto,2,5
Ms51e,Wakadozan,Futagoyama,3,4
Ms51w,Tochinoara,Kasugano,3,4
Ms52e,Wakakudo,Magaki,1,6
Ms52w,Kanesaku,Kitanoumi,6,1
Ms53e,Arashi,Kokonoe,4,3
Ms53w,Wakanoshima,Magaki,5,2
Ms54e,Tsujimoto,Izutsu,2,5
Ms54w,Bangakurai,Mihogaseki,3,4
Ms55e,Chiyononada,Kokonoe,5,2
Ms55w,Yukinoumi,Dewanoumi,5,2
Ms56e,Tatsuhikari,Tatsunami,6,1
Ms56w,Haruyama,Matsugane,2,5
Ms57e,Kogawa,Naruto,4,3
Ms57w,Matsunotani,Magaki,3,4
Ms58e,Hiroseyama,Tatsunami,4,3
Ms58w,Dewanosato,Dewanoumi,4,3
Ms59e,Minatoiwa,Minato,2,5
Ms59w,Subaru,Takasago,6,1
Ms60e,Hidezakura,Nakamura,4,3
Ms60w,Gokokuyama,Magaki,4,3
Sd1e,Maenowaka,Takadagawa,3,4
Sd1w,Torafusuyama,Mihogaseki,3,4
Sd2e,Masakaze,Oguruma,3,4
Sd2w,Takanosho,Futagoyama,2,5
Sd3e,Kitaazuma,Tamanoi,3,4
Sd3w,Sotogahama,Isenoumi,4,3
Sd4e,Akinokuni,Tokitsukaze,5,2
Sd4w,Fujitora,Nakamura,3,4
Sd5e,Kyokubenten,Oshima,4,3
