rank,rikishi,heya,w,l
Y1e,Harumafuji,Isegahama,9,6
Y1w,Hakuho,Miyagino,14,1
Y2e,Kakuryu,Izutsu,10,5
O1e,Kotoshogiku,Sadogatake,8,7
O1w,Kisenosato,Tagonoura,13,2
O2e,Goeido,Sakaigawa,12,3
O2w,Terunofuji,Isegahama,8,7
S1e,Yoshikaze,Oguruma,4,11
S1w,Toyonoshima,Tokitsukaze,3,12
K1e,Tochiozan,Kasugano,4,11
K1w,Takarafuji,Isegahama,6,9
M1e,Kotoyuki,Sadogatake,12,3
M1w,Takayasu,Tagonoura,5,10
M2e,Okinoumi,Hakkaku,8,7
M2w,Tochinoshin,Kasugano,6,9
M3e,Aoiyama,Kasugano,7,8
M3w,Aminishiki,Isegahama,7,8
M4e,Ikioi,Isenoumi,10,5
M4w,Sokokurai,Arashio,5,8
M5e,Kyokushuho,Tomozuna,6,9
M5w,Shohozan,Nishonoseki,4,11
M6e,Myogiryu,Sakaigawa,10,5
M6w,Shodai,Tokitsukaze,9,6
M7e,Takekaze,Oguruma,5,10
M7w,Kaisei,Tomozuna,11,4
M8e,Takanoiwa,Takanohana,8,7
M8w,Chiyotairyu,Kokonoe,3,12
M9e,Toyohibiki,Sakaigawa,3,12
M9w,Sadanoumi,Sakaigawa,7,8
M10e,Gagamaru,Kise,5,10
M10w,Tamawashi,Kataonami,9,6
M11e,Ichinojo,Minato,11,4
M11w,Amuru,Onomatsu,7,8
M12e,Tokushoryu,Kise,8,7
M12w,Hidenoumi,Kise,7,8
M13e,Chiyootori,Kokonoe,8,7
M13w,Mitakeumi,Dewanoumi,10,5
M14e,Daishomaru,Oitekaze,8,7
M14w,Daieisho,Oitekaze,10,5
M15e,Satoyama,Onoe,6,9
M15w,Kitataiki,Yamahibiki,3,12
M16e,Akiseyama,Kise,4,11
J1e,Osunaarashi,Otake,13,2
J1w,Seiro,Shikoroyama,9,6
J2e,Asasekiryu,Takasago,4,11
J2w,Nishikigi,Isenoumi,10,5
J3e,Fujiazuma,Tamanoi,5,10
J3w,Homarefuji,Isegahama,8,7
J4e,Sadanofuji,Sakaigawa,7,8
J4w,Kagayaki,Takadagawa,7,8
J5e,Arawashi,Minezaki,8,7
J5w,Kagamio,Kagamiyama,4,11
J6e,Endo,Oitekaze,11,4
J6w,Jokoryu,Kise,5,10
J7e,Chiyonokuni,Kokonoe,9,6
J7w,Azumaryu,Tamanoi,7,8
J8e,Kitaharima,Yamahibiki,9,6
J8w,Ishiura,Miyagino,8,7
J9e,Asahisho,Tomozuna,7,8
J9w,Tsurugisho,Oitekaze,7,8
J10e,Chiyoshoma,Kokonoe,11,4
J10w,Chiyoo,Kokonoe,8,7
J11e,Tenkaiho,Onoe,6,9
J11w,Chiyomaru,Kokonoe,7,8
J12e,Asabenkei,Takasago,8,7
J12w,Onosho,Onomatsu,5,10
J13e,Dewahayate,Dewanoumi,9,6
J13w,Amakaze,Oguruma,9,6
J14e,Shotenro,Fujishima,3,9
J14w,Kyokutaisei,Tomozuna,6,9
Ms1e,Tochihiryu,Kasugano,2,5
Ms1w,Tamaasuka,Kataonami,5,2
Ms2e,Abi,Shikoroyama,2,5
Ms2w,Ura,Kise,6,1
Ms3e,Daishoho,Oitekaze,3,4
Ms3w,Terutsuyoshi,Isegahama,3,4
Ms4e,Hakuyozan,Takadagawa,4,3
Ms4w,Wakanoshima,Shibatayama,2,5
Ms5e,Akua,Tatsunami,4,3
Ms5w,Tochimaru,Kasugano,1,5
Ms6e,Shiba,Kise,3,4
Ms6w,Tokitenku,Tokitsukaze,0,0
Ms7e,Kotoeko,Sadogatake,4,3
Ms7w,Hamaguchi,Kise,4,3
Ms8e,Sakigake,Shibatayama,4,3
Ms8w,Daiki,Hakkaku,5,2
Ms9e,Sato,Takanohana,7,0
Ms9w,Kizenryu,Kise,4,3
Ms10e,Shosei,Sakaigawa,5,2
Ms10w,Keitenkai,Onomatsu,3,4
Ms11e,Hishofuji,Azumazeki,3,4
Ms11w,Sakamoto,Oitekaze,4,3
Ms12e,Kansei,Sakaigawa,3,4
Ms12w,Tochinobori,Kasugano,2,5
Ms13e,Chiyonoumi,Kokonoe,0,0
Ms13w,Ryuden,Takadagawa,6,1
Ms14e,Akinokawa,Takadagawa,5,2
Ms14w,Tokushinho,Kise,3,4
Ms15e,Nionoumi,Yamahibiki,3,4
Ms15w,Takaryu,Kise,3,4
Ms16e,Irodori,Shikoroyama,3,4
Ms16w,Kotomisen,Sadogatake,5,2
Ms17e,Hokaho,Miyagino,3,4
Ms17w,Sagatsukasa,Irumagawa,1,6
Ms18e,Daiseiho,Shibatayama,4,3
Ms18w,Tsurubayashi,Kise,2,5
Ms19e,Daishoiwa,Oitekaze,1,6
Ms19w,Iwasaki,Oitekaze,4,3
Ms20e,Kotaro,Fujishima,4,3
Ms20w,Suzaku,Hakkaku,2,5
Ms21e,Dairaido,Takadagawa,3,4
Ms21w,Kairyu,Dewanoumi,4,3
Ms22e,Masunosho,Chiganoura,5,2
Ms22w,Ryuonami,Tatsunami,3,4
Ms23e,Aiyama,Yamahibiki,2,5
Ms23w,Meisei,Tatsunami,5,2
Ms24e,Mizuguchi,Kasugayama,4,3
Ms24w,Yamatofuji,Onomatsu,4,3
Ms25e,Aokishin,Kasugano,3,4
Ms25w,Okinofuji,Hakkaku,4,3
Ms26e,Higoarashi,Kise,2,5
Ms26w,Yamaguchi,Miyagino,5,2
Ms27e,Kisenoyama,Kise,1,6
Ms27w,Gochozan,Minezaki,3,4
Ms28e,Nogami,Oguruma,4,3
Ms28w,Takagenji,Takanohana,3,4
Ms29e,Koba,Kise,3,4
Ms29w,Aozora,Kasugano,5,2
Ms30e,Sasanoyama,Kise,2,5
Ms30w,Mugendai,Fujishima,6,1
Ms31e,Rikishin,Tatsunami,6,1
Ms31w,Chiyosakae,Kokonoe,4,3
Ms32e,Onami,Arashio,5,2
Ms32w,Takamisato,Azumazeki,3,4
Ms33e,Tetsuyuzan,Onomatsu,3,4
Ms33w,Tokachiumi,Hakkaku,4,3
Ms34e,Sotairyu,Tokitsukaze,5,2
Ms34w,Ozora,Minezaki,2,5
Ms35e,Ryusei,Kagamiyama,2,5
Ms35w,Dewaotori,Dewanoumi,1,6
Ms36e,Daishoryu,Oitekaze,4,3
Ms36w,Terao,Shikoroyama,3,4
Ms37e,Tochihayate,Kasugano,1,6
Ms37w,Higonojo,Kise,4,3
Ms38e,Horyuyama,Tamanoi,3,4
Ms38w,Takayoshitoshi,Takanohana,3,4
Ms39e,Byakko,Azumazeki,3,4
Ms39w,Wakaryusei,Shibatayama,4,3
Ms40e,Kihonoumi,Dewanoumi,4,3
Ms40w,Akinoyama,Takadagawa,4,3
Ms41e,Kotofukujuno,Sadogatake,2,5
Ms41w,Omoto,Irumagawa,3,4
Ms42e,Maeta,Shibatayama,2,5
Ms42w,Kotokobai,Sadogatake,5,2
Ms43e,Katsunofuji,Sakaigawa,5,2
Ms43w,Sasakiyama,Kise,4,3
Ms44e,Koshinishiki,Tatsunami,2,5
Ms44w,Oiwato,Hakkaku,6,1
Ms45e,Komakiryu,Kise,3,4
Ms45w,Kainoryu,Tomozuna,4,3
Ms46e,Tomisakae,Isegahama,3,4
Ms46w,Kotokino,Sadogatake,4,3
Ms47e,Bungonishiki,Dewanoumi,2,5
Ms47w,Musashiumi,Fujishima,5,2
Ms48e,Takakasuga,Kasugayama,5,2
Ms48w,Mankajo,Kasugayama,5,2
Ms49e,Daikamikaze,Takadagawa,4,3
Ms49w,Yoshiazuma,Tamanoi,2,5
Ms50e,Matsubayama,Kasugayama,2,5
Ms50w,Goryu,Kise,5,2
Ms51e,Shunjin,Shikoroyama,3,4
Ms51w,Tochinohama,Kasugano,4,3
Ms52e,Okoryu,Sakaigawa,2,5
Ms52w,Kaonishiki,Azumazeki,3,4
Ms53e,Kotokuzan,Arashio,0,2
Ms53w,Nankairiki,Kise,6,1
Ms54e,Sasayama,Kise,1,2
Ms54w,Hitenryu,Tatsunami,4,3
Ms55e,Asakoki,Takasago,3,4
Ms55w,Kasugamaru,Kasugayama,0,7
Ms56e,Hakunishiki,Kasugayama,5,2
Ms56w,Daichi,Shikoroyama,0,0
Ms57e,Shinohara,Onomatsu,4,3
Ms57w,Mitoyutaka,Nishikido,4,3
Ms58e,Aoi,Shikoroyama,1,6
Ms58w,Masutoo,Chiganoura,3,4
Ms59e,Gokushindo,Nishikido,6,1
Ms59w,Rikito,Tokitsukaze,5,2
Ms60e,Fukamiyama,Onoe,3,4
Ms60w,Fukugoriki,Arashio,2,5
Sd1e,Chiyoraizan,Kokonoe,4,3
Sd1w,Goshi,Arashio,6,1
Sd2e,Nishiyama,Onoe,4,3
Sd2w,Hitachigo,Fujishima,3,4
Sd3e,Masakaze,Oguruma,3,4
Sd3w,Genkaiho,Otake,4,3
Sd4e,Asatenmai,Takasago,3,4
Sd4w,Kirinohana,Michinoku,0,0
Sd5e,Oazuma,Tamanoi,3,4
Sd5w,Hirotsukasa,Irumagawa,4,3
Sd6e,Rao,Tatsunami,3,4
Sd6w,Azumasato,Tamanoi,2,5
Sd7e,Tochiseiryu,Kasugano,5,2
Sd7w,Mitozakura,Azumazeki,4,3
Sd8e,Hokutoshu,Hakkaku,5,2
Sd8w,Aomihama,Dewanoumi,3,4
Sd9e,Hagane,Izutsu,5,2
Sd9w,Onojo,Takadagawa,2,5
Sd10e,Ryuseio,Shibatayama,4,3
Sd10w,Tamakongo,Kataonami,3,4
Sd11e,Sadahikari,Sakaigawa,1,6
Sd11w,Oki,Shikoroyama,5,2
