rank,rikishi,heya,w,l
Y1e,Harumafuji,Isegahama,11,4
Y1w,Kakuryu,Izutsu,14,1
Y2e,Hakuho,Miyagino,11,4
O1e,Goeido,Sakaigawa,9,6
O1w,Kisenosato,Tagonoura,12,3
O2e,Kotoshogiku,Sadogatake,5,10
O2w,Terunofuji,Isegahama,8,7
S1e,Takayasu,Tagonoura,7,8
S1w,Okinoumi,Hakkaku,5,10
K1e,Mitakeumi,Dewanoumi,6,9
K1w,Tamawashi,Kataonami,10,5
M1e,Tochiozan,Kasugano,6,9
M1w,Aoiyama,Kasugano,4,11
M2e,Kaisei,Tomozuna,3,12
M2w,Yoshikaze,Oguruma,6,9
M3e,Endo,Oitekaze,7,8
M3w,Shodai,Tokitsukaze,11,4
M4e,Kotoyuki,Sadogatake,6,9
M4w,Chiyonokuni,Kokonoe,5,10
M5e,Shohozan,Nishonoseki,8,7
M5w,Takarafuji,Isegahama,9,6
M6e,Nishikigi,Isenoumi,4,11
M6w,Tochinoshin,Kasugano,10,5
M7e,Takekaze,Oguruma,9,6
M7w,Takanoiwa,Takanohana,6,9
M8e,Sadanoumi,Sakaigawa,3,12
M8w,Ikioi,Isenoumi,10,5
M9e,Myogiryu,Sakaigawa,8,7
M9w,Kagayaki,Takadagawa,6,9
M10e,Chiyoshoma,Kokonoe,9,6
M10w,Arawashi,Minezaki,11,4
M11e,Kyokushuho,Tomozuna,3,12
M11w,Hokutofuji,Hakkaku,9,6
M12e,Daishomaru,Oitekaze,7,8
M12w,Chiyootori,Kokonoe,6,9
M13e,Hidenoumi,Kise,4,11
M13w,Ichinojo,Minato,7,8
M14e,Sokokurai,Arashio,9,6
M14w,Chiyotairyu,Kokonoe,7,8
M15e,Ishiura,Miyagino,10,5
M15w,Toyohibiki,Sakaigawa,6,9
M16e,Gagamaru,Kise,8,7
J1e,Chiyomaru,Kokonoe,6,9
J1w,Amakaze,Oguruma,5,10
J2e,Kotoeko,Sadogatake,6,9
J2w,Chiyoo,Kokonoe,8,7
J3e,Tokushoryu,Kise,6,9
J3w,Sato,Takanohana,12,3
J4e,Onosho,Onomatsu,7,8
J4w,Daieisho,Oitekaze,8,7
J5e,Ura,Kise,8,7
J5w,Tsurugisho,Oitekaze,7,8
J6e,Osunaarashi,Otake,9,4
J6w,Azumaryu,Tamanoi,8,7
