rank,rikishi,heya,w,l
Y1e,Hakuho,Miyagino,0,3
Y1w,Kakuryu,Izutsu,12,3
Y2e,Harumafuji,Isegahama,0,0
O1e,Terunofuji,Isegahama,12,3
O1w,Kisenosato,Tagonoura,11,4
O2e,Goeido,Sakaigawa,7,8
O2w,Kotoshogiku,Sadogatake,11,4
S1e,Tochiozan,Kasugano,8,7
S1w,Myogiryu,Sakaigawa,8,7
K1e,Tochinoshin,Kasugano,10,5
K1w,Okinoumi,Hakkaku,6,9
M1e,Aoiyama,Kasugano,7,8
M1w,Yoshikaze,Oguruma,11,4
M2e,Osunaarashi,Otake,8,7
M2w,Sadanofuji,Sakaigawa,2,13
M3e,Sadanoumi,Sakaigawa,6,9
M3w,Takayasu,Tagonoura,1,3
M4e,Ichinojo,Minato,9,6
M4w,Takarafuji,Isegahama,4,11
M5e,Tamawashi,Kataonami,4,11
M5w,Kaisei,Tomozuna,6,9
M6e,Aminishiki,Isegahama,8,7
M6w,Tokushoryu,Kise,6,9
M7e,Endo,Oitekaze,8,7
M7w,Amuru,Onomatsu,8,7
M8e,Takekaze,Oguruma,5,10
M8w,Toyonoshima,Tokitsukaze,10,5
M9e,Gagamaru,Kise,6,9
M9w,Kagamio,Kagamiyama,4,11
M10e,Kotoyuki,Sadogatake,9,6
M10w,Kyokushuho,Tomozuna,8,7
M11e,Chiyotairyu,Kokonoe,6,9
M11w,Homarefuji,Isegahama,9,6
M12e,Ikioi,Isenoumi,11,4
M12w,Chiyootori,Kokonoe,6,9
M13e,Daieisho,Oitekaze,7,8
M13w,Tokitenku,Tokitsukaze,7,8
M14e,Kitataiki,Kitanoumi,7,8
M14w,Sokokurai,Arashio,8,7
M15e,Asasekiryu,Takasago,7,8
M15w,Hidenoumi,Kise,6,9
M16e,Seiro,Shikoroyama,7,8
J1e,Fujiazuma,Tamanoi,6,9
J1w,Chiyomaru,Kokonoe,1,8
J2e,Kitaharima,Kitanoumi,7,8
J2w,Takanoiwa,Takanohana,9,6
J3e,Toyohibiki,Sakaigawa,10,5
J3w,Arawashi,Minezaki,7,8
J4e,Jokoryu,Kise,8,7
J4w,Satoyama,Onoe,7,8
J5e,Kagayaki,Takadagawa,10,5
J5w,Mitakeumi,Dewanoumi,12,3
J6e,Asahisho,Tomozuna,6,9
J6w,Shohozan,Nishonoseki,13,2
J7e,Tenkaiho,Onoe,5,10
J7w,Wakanoshima,Shibatayama,7,8
J8e,Tamaasuka,Kataonami,4,11
J8w,Daishomaru,Oitekaze,6,9
J9e,Onosho,Onomatsu,9,6
J9w,Tokushinho,Kise,7,8
J10e,Amakaze,Oguruma,7,8
J10w,Akiseyama,Kise,9,6
J11e,Chiyoo,Kokonoe,7,8
J11w,Abi,Shikoroyama,5,10
J12e,Ishiura,Miyagino,8,7
J12w,Shodai,Tokitsukaze,11,4
J13e,Kyokutaisei,Tomozuna,9,6
J13w,Shotenro,Fujishima,3,12
J14e,Nishikigi,Isenoumi,8,7
J14w,Kizenryu,Kise,6,9
Ms1e,Dewahayate,Dewanoumi,3,4
Ms1w,Asabenkei,Takasago,6,1
