rank,rikishi,heya,w,l
Y1e,Asashoryu,Takasago,15,0
O1e,Tochiazuma,Tamanoi,9,6
O1w,Chiyotaikai,Kokonoe,10,5
O2e,Kaio,Tomozuna,10,5
O2w,Musoyama,Musashigawa,5,4
S1e,Tosanoumi,Isenoumi,4,11
S1w,Tamanoshima,Kataonami,5,10
K1e,Tochinonada,Kasugano,6,9
K1w,Wakanosato,Naruto,9,6
M1e,Toki,Takasago,1,11
M1w,Hokutoriki,Hakkaku,5,10
M2e,Iwakiyama,Sakaigawa,6,9
M2w,Kyokushuzan,Oshima,8,7
M3e,Takamisakari,Azumazeki,4,11
M3w,Kyokutenho,Oshima,8,7
M4e,Tokitsuumi,Tokitsukaze,7,8
M4w,Kotomitsuki,Sadogatake,13,2
M5e,Kakizoe,Musashigawa,11,4
M5w,Kasuganishiki,Kasugano,4,10
M6e,Dejima,Musashigawa,10,5
M6w,Takekaze,Oguruma,4,11
M7e,Shimotori,Tokitsukaze,11,4
M7w,Miyabiyama,Musashigawa,11,4
M8e,Aminishiki,Ajigawa,9,6
M8w,Jumonji,Michinoku,8,7
M9e,Kotoryu,Sadogatake,7,8
M9w,Kinkaiyama,Dewanoumi,8,7
M10e,Takanonami,Futagoyama,8,7
M10w,Kokkai,Oitekaze,8,7
M11e,Yotsukasa,Irumagawa,5,10
M11w,Tochisakae,Kasugano,9,6
M12e,Asasekiryu,Takasago,7,8
M12w,Wakatoba,Oshiogawa,4,11
M13e,Kotonowaka,Sadogatake,0,0
M13w,Takanowaka,Naruto,4,11
M14e,Ushiomaru,Azumazeki,7,8
M14w,Buyuzan,Musashigawa,10,5
M15e,Kitazakura,Kitanoumi,3,12
M15w,Kaiho,Hakkaku,7,8
M16e,Asanowaka,Takasago,10,5
M16w,Tamakasuga,Kataonami,7,8
M17e,Hayateumi,Oitekaze,7,8
J1e,Toyozakura,Michinoku,8,7
J1w,Kobo,Miyagino,7,8
J2e,Otsukasa,Irumagawa,8,7
J2w,Kasugao,Kasugayama,5,10
J3e,Harunoyama,Matsugane,10,5
J3w,Chiyotenzan,Kokonoe,11,4
J4e,Oikari,Isenoumi,9,6
