rank,rikishi,heya,w,l
Y1e,Akebono,Azumazeki,13,2
Y1w,Takanohana,Futagoyama,1,4
O1e,Musashimaru,Musashigawa,8,7
O1w,Takanonami,Futagoyama,8,7
O2e,Wakanohana,Futagoyama,14,1
S1e,Tochiazuma,Tamanoi,2,4
S1w,Musoyama,Musashigawa,9,6
K1e,Kotonishiki,Sadogatake,6,9
K1w,Kaio,Tomozuna,8,7
M1e,Chiyotaikai,Kokonoe,8,7
M1w,Shikishima,Tatsutagawa,3,12
M2e,Dejima,Musashigawa,0,0
M2w,Akinoshima,Futagoyama,9,6
M3e,Tochinonada,Kasugano,9,6
M3w,Ganyu,Kitanoumi,3,12
M4e,Kotonowaka,Sadogatake,8,7
M4w,Takatoriki,Futagoyama,7,8
M5e,Kotoryu,Sadogatake,4,11
M5w,Tochinowaka,Kasugano,5,10
M6e,Tosanoumi,Isenoumi,10,5
M6w,Wakanojo,Magaki,5,10
M7e,Kyokushuzan,Oshima,4,11
M7w,Aogiyama,Tokitsukaze,11,4
M8e,Terao,Izutsu,5,10
M8w,Oginishiki,Dewanoumi,9,6
M9e,Minatofuji,Minato,8,7
M9w,Tamakasuga,Kataonami,8,7
M10e,Kotoinazuma,Sadogatake,6,9
M10w,Mainoumi,Dewanoumi,5,10
M11e,Asahiyutaka,Oshima,8,7
M11w,Asanosho,Wakamatsu,7,8
M12e,Kyokutenho,Oshima,6,9
M12w,Hamanoshima,Mihogaseki,8,7
M13e,Kitakachidoki,Isenoumi,8,7
M13w,Gojoro,Magaki,9,6
M14e,Higonoumi,Mihogaseki,9,6
M14w,Mitoizumi,Takasago,9,6
M15e,Akinoshu,Izutsu,8,7
M15w,Asanowaka,Wakamatsu,8,7
M16e,Yamato,Magaki,0,0
J1e,Wakanosato,Naruto,9,6
J1w,Kaiho,Hakkaku,8,7
J2e,Misugisato,Futagoyama,6,9
J2w,Toki,Takasago,12,3
J3e,Daizen,Nishonoseki,6,9
J3w,Kinkaiyama,Dewanoumi,9,6
J4e,Zenshinyama,Takadagawa,6,9
J4w,Oginohana,Dewanoumi,0,0
J5e,Tokitsunada,Tokitsukaze,7,8
J5w,Dewaarashi,Dewanoumi,8,7
J6e,Chiyotenzan,Kokonoe,8,7
J6w,Susanoumi,Kitanoumi,5,10
J7e,Daishoho,Tatsunami,10,5
