rank,rikishi,heya,w,l
Y1e,Takanohana,Futagoyama,13,2
Y1w,Akebono,Azumazeki,12,3
O1e,Takanonami,Futagoyama,9,6
O1w,Musashimaru,Musashigawa,10,5
O2e,Wakanohana,Futagoyama,8,7
S1e,Tosanoumi,Isenoumi,8,7
S1w,Tamakasuga,Kataonami,7,8
K1e,Oginishiki,Dewanoumi,4,11
K1w,Kaio,Tomozuna,0,0
K2w,Tochiazuma,Tamanoi,9,6
M1e,Musoyama,Musashigawa,9,6
M1w,Takatoriki,Futagoyama,11,4
M2e,Aogiyama,Tokitsukaze,6,9
M2w,Kotoinazuma,Sadogatake,5,10
M3e,Akinoshima,Futagoyama,6,9
M3w,Higonoumi,Mihogaseki,2,13
M4e,Dejima,Musashigawa,8,7
M4w,Kotonowaka,Sadogatake,6,9
M5e,Kotonishiki,Sadogatake,5,10
M5w,Asahiyutaka,Oshima,6,9
M6e,Tochinowaka,Kasugano,5,10
M6w,Kenko,Takadagawa,0,0
M7e,Asanosho,Wakamatsu,7,8
M7w,Minatofuji,Minato,7,8
M8e,Asanowaka,Wakamatsu,7,8
M8w,Ganyu,Kitanoumi,8,7
M9e,Mainoumi,Dewanoumi,5,10
M9w,Konishiki,Takasago,8,7
M10e,Mitoizumi,Takasago,8,7
M10w,Shikishima,Tatsutagawa,8,7
M11e,Tochinonada,Kasugano,10,5
M11w,Kyokushuzan,Oshima,9,6
M12e,Rikio,Naruto,9,6
M12w,Kotoryu,Sadogatake,8,7
M13e,Terao,Izutsu,9,6
M13w,Kitakachidoki,Isenoumi,7,8
M14e,Hamanoshima,Mihogaseki,9,6
M14w,Daishi,Oshiogawa,2,4
M15e,Gojoro,Magaki,4,11
M15w,Yamato,Magaki,6,9
J1e,Chiyotaikai,Kokonoe,11,4
J1w,Kushimaumi,Dewanoumi,9,6
J2e,Akinoshu,Izutsu,9,6
J2w,Misugisato,Futagoyama,9,6
J3e,Wakanojo,Magaki,10,5
J3w,Tokitsuumi,Tokitsukaze,5,10
J4e,Kyokutenho,Oshima,8,7
J4w,Tokitsunada,Tokitsukaze,7,8
J5e,Wakashoyo,Futagoyama,1,14
J5w,Daihisho,Asahiyama,0,0
J6e,Tomonohana,Tatsunami,8,7
J6w,Toyonoumi,Futagoyama,6,9
J7e,Otsukasa,Irumagawa,5,10
J7w,Oginohana,Dewanoumi,7,8
J8e,Zenshinyama,Takadagawa,8,6
J8w,Daizen,Nishonoseki,7,8
J9e,Kaiho,Hakkaku,6,9
