rank,rikishi,heya,w,l
Y1e,Asashoryu,Takasago,15,0
O1e,Kaio,Tomozuna,5,1
O1w,Tochiazuma,Tamanoi,12,3
O2w,Chiyotaikai,Kokonoe,10,5
S1e,Hakuho,Miyagino,9,6
S1w,Tosanoumi,Isenoumi,4,11
K1e,Kotomitsuki,Sadogatake,13,2
K1w,Wakanosato,Naruto,6,9
M1e,Tamanoshima,Kataonami,5,10
M1w,Roho,Otake,7,8
M2e,Kokkai,Oitekaze,5,10
M2w,Tochinonada,Kasugano,5,10
M3e,Miyabiyama,Musashigawa,8,7
M3w,Kyokutenho,Oshima,6,9
M4e,Kaiho,Hakkaku,4,11
M4w,Iwakiyama,Sakaigawa,5,10
M5e,Kotooshu,Sadogatake,10,5
M5w,Kakizoe,Musashigawa,9,6
M6e,Dejima,Musashigawa,9,6
M6w,Hokutoriki,Hakkaku,8,7
M7e,Takamisakari,Azumazeki,5,10
M7w,Jumonji,Michinoku,6,9
M8e,Kotonowaka,Sadogatake,8,7
M8w,Asasekiryu,Takasago,8,7
M9e,Ama,Ajigawa,8,7
M9w,Kyokushuzan,Oshima,12,3
M10e,Futeno,Dewanoumi,11,4
M10w,Toyozakura,Michinoku,4,11
M11e,Aminishiki,Ajigawa,8,7
M11w,Kisenosato,Naruto,5,10
M12e,Buyuzan,Musashigawa,6,9
M12w,Tokitsuumi,Tokitsukaze,3,12
M13e,Takanowaka,Naruto,5,10
M13w,Toyonoshima,Tokitsukaze,6,9
M14e,Kotoshogiku,Sadogatake,10,5
M14w,Hayateumi,Oitekaze,3,4
M15e,Takekaze,Oguruma,9,6
M15w,Tokitenku,Tokitsukaze,8,7
M16e,Tamakasuga,Kataonami,8,7
M16w,Katayama,Onomatsu,8,7
M17e,Shimotori,Tokitsukaze,5,10
M17w,Toki,Takasago,6,9
J1e,Wakatoba,Oguruma,6,9
J1w,Ishide,Hanaregoma,8,7
J2e,Tochisakae,Kasugano,12,3
J2w,Tamaasuka,Kataonami,10,5
J3e,Takanotsuru,Naruto,4,11
J3w,Hakurozan,Hatachiyama,10,5
J4e,Senshuyama,Takasago,9,6
J4w,Otsukasa,Irumagawa,9,6
J5e,Kasugao,Kasugayama,7,8
J5w,Kitazakura,Kitanoumi,8,7
J6e,Daishodai,Oitekaze,9,6
J6w,Asofuji,Ajigawa,6,9
J7e,Kasuganishiki,Kasugano,7,8
J7w,Wakanoyama,Musashigawa,8,7
J8e,Kotoryu,Sadogatake,0,0
J8w,Tochinohana,Kasugano,11,4
J9e,Kobo,Miyagino,7,8
J9w,Kinkaiyama,Dewanoumi,7,8
J10e,Yotsukasa,Irumagawa,7,8
J10w,Gojoro,Magaki,3,8
J11e,Kanbayashi,Hakkaku,7,8
J11w,Chiyotenzan,Kokonoe,7,8
J12e,Sumanofuji,Nakamura,5,10
J12w,Harunoyama,Matsugane,8,7
J13e,Daimanazuru,Asahiyama,8,7
J13w,Kotokasuga,Sadogatake,8,7
J14e,Dewanosato,Dewanoumi,3,12
J14w,Maikaze,Oguruma,6,9
Ms1e,Kaido,Tomozuna,3,4
Ms1w,Masatsukasa,Irumagawa,3,4
Ms2e,Chiyohakuho,Kokonoe,4,3
Ms2w,Kyokunankai,Oshima,6,1
Ms3e,Onishi,Oguruma,5,2
Ms3w,Asanowaka,Takasago,0,0
Ms4e,Ushiomaru,Azumazeki,7,0
Ms4w,Asahimaru,Takasago,3,4
Ms5e,Koryu,Hanakago,0,3
Ms5w,Hamanishiki,Oitekaze,2,5
Ms6e,Ichinotani,Nakamura,1,7
Ms6w,Shiraishi,Mihogaseki,5,2
Ms7e,Masutsuyoshi,Mihogaseki,3,4
Ms7w,Fukkoyama,Dewanoumi,2,5
Ms8e,Dairaido,Takadagawa,4,3
Ms8w,Wakainami,Tatsunami,3,4
Ms9e,Toyonokuni,Tokitsukaze,3,4
Ms9w,Raiko,Hakkaku,5,2
Ms10e,Wakakirin,Oguruma,0,0
Ms10w,Gokenzan,Takanohana,1,6
Ms11e,Tamamitsukuni,Kataonami,5,2
Ms11w,Hakiai,Kitanoumi,4,3
Ms12e,Hokutoiwa,Hakkaku,3,4
Ms12w,Kakuryu,Izutsu,4,3
Ms13e,Komanofuji,Hanaregoma,4,3
Ms13w,Kotokanyu,Sadogatake,3,4
Ms14e,Bushuyama,Musashigawa,4,3
Ms14w,Kirinowaka,Michinoku,2,5
Ms15e,Ryuho,Michinoku,5,2
Ms15w,Tamarikido,Kataonami,3,4
Ms16e,Musashiryu,Musashigawa,4,3
Ms16w,Hokutojo,Hakkaku,5,2
Ms17e,Nakanokuni,Minato,2,5
Ms17w,Kotokuni,Sadogatake,2,5
Ms18e,Ryuo,Miyagino,4,3
Ms18w,Yoshiazuma,Tamanoi,4,3
Ms19e,Takakoyama,Naruto,2,5
Ms19w,Hochiyama,Sakaigawa,5,2
Ms20e,Fujiryu,Onomatsu,3,4
Ms20w,Daishochi,Shibatayama,4,3
Ms21e,Daishoma,Oitekaze,5,2
Ms21w,Matsumidori,Onomatsu,2,5
Ms22e,Baruto,Mihogaseki,6,1
Ms22w,Oga,Takasago,4,3
Ms23e,Kaishozan,Hanaregoma,3,4
Ms23w,Kaonishiki,Azumazeki,3,4
Ms24e,Nishikikaze,Oguruma,3,4
Ms24w,Homasho,Shikoroyama,6,1
Ms25e,Ryukai,Naruto,2,5
Ms25w,Maenoyu,Takadagawa,0,0
Ms26e,Dewanofuji,Dewanoumi,4,3
Ms26w,Kitamura,Hanaregoma,4,3
Ms27e,Takamifuji,Azumazeki,5,2
Ms27w,Tenichi,Kitanoumi,2,5
Ms28e,Nakao,Matsugane,3,4
Ms28w,Hananosato,Takasago,3,4
Ms29e,Hakuba,Michinoku,3,4
Ms29w,Hoshikaze,Oguruma,3,4
Ms30e,Mokonami,Tatsunami,5,2
Ms30w,Daisogen,Shikihide,3,4
Ms31e,Isobe,Irumagawa,4,3
Ms31w,Kakuo,Izutsu,4,3
Ms32e,Enatsukasa,Irumagawa,1,6
Ms32w,Hoshihikari,Hakkaku,2,5
Ms33e,Yoshio,Tatsunami,3,4
Ms33w,Dewaotori,Dewanoumi,6,1
Ms34e,Kirinoumi,Michinoku,3,4
Ms34w,Nodera,Matsugane,4,3
Ms35e,Takanoyama,Naruto,4,3
Ms35w,Asahibenten,Oshima,4,3
Ms36e,Shimatora,Kitanoumi,1,6
Ms36w,Munakata,Kasugano,2,5
Ms37e,Kimurayama,Kasugano,3,4
Ms37w,Kakureizan,Izutsu,4,3
Ms38e,Surugatsukasa,Irumagawa,6,1
Ms38w,Kitataiki,Kitanoumi,5,2
Ms39e,Kimenryu,Takasago,2,5
Ms39w,Yutakamaru,Tatsunami,4,3
Ms40e,Satoyama,Mihogaseki,5,2
Ms40w,Ryuyo,Kitanoumi,3,4
Ms41e,Ashu,Ajigawa,2,5
Ms41w,Kurazono,Mihogaseki,3,4
Ms42e,Tochinoyama,Chiganoura,3,4
Ms42w,Miyamoto,Musashigawa,5,2
Ms43e,Omusashi,Musashigawa,3,4
Ms43w,Takaazuma,Tamanoi,0,1
Ms44e,Fukuzono,Izutsu,4,3
Ms44w,Daitensho,Takashima,5,2
Ms45e,Wakagiyama,Tokitsukaze,2,5
Ms45w,Fujinokaze,Oguruma,6,1
Ms46e,Yakigaya,Onomatsu,5,2
Ms46w,Musashifuji,Musashigawa,4,3
Ms47e,Daiyuchi,Shibatayama,4,3
Ms47w,Arawashi,Araiso,2,5
Ms48e,Kyokutenzan,Oshima,1,6
Ms48w,Tamaryoma,Kataonami,5,2
Ms49e,Yotsuguruma,Isenoumi,4,3
Ms49w,Toshinyama,Tamanoi,3,4
Ms50e,Tokinoboru,Tokitsukaze,3,4
Ms50w,Daiki,Asahiyama,2,5
Ms51e,Furuichi,Onomatsu,4,3
Ms51w,Yamasaki,Musashigawa,5,2
Ms52e,Shinyu,Azumazeki,1,6
Ms52w,Hokutoarashi,Hakkaku,4,3
Ms53e,Sadanishiki,Dewanoumi,3,4
Ms53w,Tamao,Kataonami,4,3
Ms54e,Mitanoyama,Takadagawa,2,5
Ms54w,Akiyama,Minezaki,2,5
Ms55e,Futasegawa,Kiriyama,4,3
Ms55w,Kotoyutaka,Sadogatake,4,3
Ms56e,Niioka,Oguruma,3,4
Ms56w,Takamaru,Asahiyama,2,5
Ms57e,Takakitamura,Naruto,3,4
Ms57w,Terukaze,Oguruma,5,2
Ms58e,Kagaya,Kasugano,5,2
Ms58w,Tokinoyutaka,Tokitsukaze,3,4
Ms59e,Saita,Hanaregoma,4,3
Ms59w,Ryushoyama,Mihogaseki,0,7
