rank,rikishi,heya,w,l
Y1e,Hakuho,Miyagino,12,3
O1e,Baruto,Onoe,11,4
O1w,Harumafuji,Isegahama,14,1
O2e,Kaio,Tomozuna,3,8
O2w,Kotooshu,Sadogatake,9,6
S1e,Kotoshogiku,Sadogatake,11,4
S1w,Kisenosato,Naruto,10,5
S2w,Kakuryu,Izutsu,10,5
K1e,Goeido,Sakaigawa,5,10
K1w,Tochinoshin,Kasugano,6,9
M1e,Tosayutaka,Tokitsukaze,0,4
M1w,Yoshikaze,Oguruma,7,8
M2e,Kyokutenho,Oshima,2,13
M2w,Toyonoshima,Tokitsukaze,9,6
M3e,Wakakoyu,Onomatsu,5,10
M3w,Aminishiki,Isegahama,2,13
M4e,Okinoumi,Hakkaku,8,7
M4w,Takekaze,Oguruma,8,7
M5e,Kaisei,Tomozuna,6,9
M5w,Wakanosato,Naruto,9,6
M6e,Tamawashi,Kataonami,5,10
M6w,Aran,Mihogaseki,10,5
M7e,Tokitenku,Tokitsukaze,8,7
M7w,Gagamaru,Kitanoumi,5,10
M8e,Tochiozan,Kasugano,10,5
M8w,Miyabiyama,Fujishima,8,7
M9e,Homasho,Shikoroyama,11,4
M9w,Asasekiryu,Takasago,6,9
M10e,Kitataiki,Kitanoumi,7,8
M10w,Takarafuji,Isegahama,4,11
M11e,Takayasu,Naruto,9,6
M11w,Tochinowaka,Kasugano,8,7
M12e,Daido,Onomatsu,6,9
M12w,Toyohibiki,Sakaigawa,8,7
M13e,Sagatsukasa,Irumagawa,8,7
M13w,Shotenro,Fujishima,7,8
M14e,Takamisakari,Azumazeki,3,12
M14w,Tochinonada,Kasugano,6,9
M15e,Fujiazuma,Tamanoi,10,5
M15w,Kimurayama,Kasugano,7,8
J1e,Masunoyama,Chiganoura,11,4
J1w,Tamaasuka,Kataonami,8,7
J2e,Yoshiazuma,Tamanoi,9,6
J2w,Bushuyama,Fujishima,7,8
J3e,Matsutani,Matsugane,7,8
J3w,Tamanoshima,Kataonami,6,9
J4e,Kokkai,Oitekaze,9,6
J4w,Aoiyama,Tagonoura,7,8
J5e,Hochiyama,Sakaigawa,9,6
J5w,Takanoyama,Naruto,10,5
J6e,Sadanoumi,Sakaigawa,7,8
J6w,Kaonishiki,Azumazeki,6,9
J7e,Sadanofuji,Sakaigawa,9,6
J7w,Sotairyu,Tokitsukaze,8,7
J8e,Akiseyama,Kitanoumi,2,13
J8w,Kanbayashi,Hakkaku,3,12
J9e,Hamanishiki,Oitekaze,5,10
J9w,Shironoryu,Sakaigawa,8,7
J10e,Tsurugidake,Fujishima,10,5
J10w,Tenkaiho,Onoe,10,5
J11e,Chiyonokuni,Kokonoe,8,7
J11w,Kakizoe,Fujishima,1,14
J12e,Masuraumi,Onomatsu,10,5
J12w,Myogiryu,Sakaigawa,11,4
J13e,Hitenryu,Tatsunami,6,9
J13w,Arawashi,Hanakago,5,10
Ms1e,Nionoumi,Kitanoumi,5,2
Ms1w,Oniarashi,Asahiyama,1,6
Ms2e,Kyokushuho,Oshima,5,2
Ms2w,Chiyozakura,Kokonoe,5,2
Ms3e,Chiyoarashi,Kokonoe,5,2
Ms3w,Kotoyutaka,Sadogatake,2,5
Ms4e,Towanoyama,Dewanoumi,2,5
Ms4w,Kitazono,Oguruma,3,4
Ms5e,Kotoyuki,Sadogatake,4,3
Ms5w,Naoe,Oguruma,7,0
Ms6e,Tochitsubasa,Kasugano,1,5
Ms6w,Satoyama,Onoe,5,2
Ms7e,Buseizan,Fujishima,3,4
Ms7w,Tokushoryu,Kitanoumi,4,3
Ms8e,Tokushinho,Kitanoumi,4,3
Ms8w,Ikioi,Isenoumi,4,3
Ms9e,Kitaharima,Kitanoumi,4,3
Ms9w,Hokutokuni,Hakkaku,5,2
Ms10e,Kotokuni,Sadogatake,2,5
Ms10w,Asahisho,Oshima,3,4
Ms11e,Tochiyashiki,Kasugano,3,4
Ms11w,Hishofuji,Nakamura,6,1
Ms12e,Chiyootori,Kokonoe,3,4
Ms12w,Takateru,Oitekaze,1,3
Ms13e,Kotomisen,Sadogatake,4,3
Ms13w,Tochihiryu,Kasugano,5,2
Ms14e,Wakaryusei,Hanaregoma,2,5
Ms14w,Ryuden,Takadagawa,3,4
Ms15e,Sensho,Shikihide,3,4
Ms15w,Kazafuzan,Nishikido,3,4
Ms16e,Kei,Onomatsu,2,5
Ms16w,Ryuo,Miyagino,2,5
Ms17e,Byakko,Nakamura,3,4
Ms17w,Kihonoumi,Dewanoumi,4,3
Ms18e,Azumaryu,Tamanoi,5,2
Ms18w,Hakiai,Kitanoumi,3,4
Ms19e,Aozora,Tagonoura,4,3
Ms19w,Wakanoshima,Hanaregoma,5,2
Ms20e,Dairaido,Takadagawa,5,2
Ms20w,Maeta,Hanaregoma,4,3
Ms21e,Kosei,Azumazeki,4,3
Ms21w,Ryuonami,Tatsunami,4,3
Ms22e,Fukugoriki,Arashio,3,4
Ms22w,Kumagai,Isenoumi,2,5
Ms23e,Nakanokuni,Minato,3,4
Ms23w,Notozakura,Onomatsu,3,4
Ms24e,Tenroku,Onomatsu,2,5
Ms24w,Shosei,Sakaigawa,1,6
Ms25e,Homarefuji,Isegahama,6,1
Ms25w,Fujimoto,Onomatsu,4,3
Ms26e,Higonojo,Kitanoumi,3,4
Ms26w,Rikiryu,Hanakago,5,2
Ms27e,Kamei,Kitanoumi,4,3
Ms27w,Kasugakuni,Kasugayama,1,6
Ms28e,Chiyomaru,Kokonoe,4,3
Ms28w,Kagamio,Kagamiyama,2,5
Ms29e,Higoarashi,Kitanoumi,5,2
Ms29w,Ryuho,Michinoku,0,0
Ms30e,Takunishiki,Chiganoura,2,5
Ms30w,Masutoo,Chiganoura,4,3
Ms31e,Nankairiki,Kitanoumi,4,3
Ms31w,Hokuo,Takadagawa,2,5
Ms32e,Chokozan,Shikihide,4,3
Ms32w,Teraomaru,Shikoroyama,3,4
Ms33e,Kairyu,Tagonoura,3,4
Ms33w,Dewahayate,Dewanoumi,5,2
Ms34e,Sakigake,Hanaregoma,3,4
Ms34w,Mankajo,Kasugayama,3,4
Ms35e,Sakaguchi,Tamanoi,3,4
Ms35w,Terashita,Onomatsu,6,1
Ms36e,Asatenmai,Takasago,2,5
Ms36w,Rendaiyama,Kitanoumi,3,4
Ms37e,Amatsu,Onomatsu,2,5
Ms37w,Seiro,Shikoroyama,5,2
Ms38e,Kawanari,Oguruma,5,2
Ms38w,Yamashita,Kitanoumi,5,2
Ms39e,Tochinohama,Kasugano,4,3
Ms39w,Migikataagari,Otake,4,3
Ms40e,Takageppo,Takanohana,5,2
Ms40w,Wakakasuga,Kasugayama,1,6
Ms41e,Hoshizakura,Hakkaku,2,5
Ms41w,Yotsuguruma,Isenoumi,4,3
Ms42e,Yakunoshima,Chiganoura,3,4
Ms42w,Tochinoyama,Chiganoura,4,3
Ms43e,Kotokino,Sadogatake,4,3
Ms43w,Bungonishiki,Dewanoumi,3,4
