rank,rikishi,heya,w,l
Y1e,Hakuho,Miyagino,14,1
Y1w,Kakuryu,Izutsu,11,4
Y2e,Harumafuji,Isegahama,3,2
O1e,Kotoshogiku,Sadogatake,9,6
O1w,Kisenosato,Tagonoura,9,6
O2w,Goeido,Sakaigawa,8,7
S1e,Myogiryu,Sakaigawa,0,0
S1w,Takekaze,Oguruma,7,8
K1e,Jokoryu,Kise,4,11
K1w,Chiyotairyu,Kokonoe,1,10
M1e,Terunofuji,Isegahama,6,9
M1w,Endo,Oitekaze,3,12
M2e,Takayasu,Tagonoura,7,8
M2w,Toyonoshima,Tokitsukaze,6,6
M3e,Aoiyama,Kasugano,10,5
M3w,Yoshikaze,Oguruma,7,8
M4e,Takarafuji,Isegahama,8,7
M4w,Osunaarashi,Otake,7,8
M5e,Toyohibiki,Sakaigawa,8,7
M5w,Ikioi,Isenoumi,10,5
M6e,Aminishiki,Isegahama,10,5
M6w,Kaisei,Tomozuna,8,7
M7e,Shohozan,Matsugane,6,9
M7w,Chiyootori,Kokonoe,8,7
M8e,Tochiozan,Kasugano,11,4
M8w,Arawashi,Minezaki,5,10
M9e,Tamawashi,Kataonami,7,8
M9w,Tochinowaka,Kasugano,4,11
M10e,Ichinojo,Minato,13,2
M10w,Kitataiki,Kitanoumi,7,8
M11e,Chiyomaru,Kokonoe,4,11
M11w,Takanoiwa,Takanohana,7,8
M12e,Sadanoumi,Sakaigawa,8,7
M12w,Sadanofuji,Sakaigawa,4,11
M13e,Homasho,Shikoroyama,0,0
M13w,Sokokurai,Arashio,7,8
M14e,Kyokutenho,Tomozuna,8,7
M14w,Azumaryu,Tamanoi,0,0
M15e,Kyokushuho,Tomozuna,7,8
M15w,Okinoumi,Hakkaku,10,5
M16e,Tokitenku,Tokitsukaze,6,9
M16w,Kagamio,Kagamiyama,6,9
J1e,Tokushoryu,Kise,12,3
J1w,Amuru,Onomatsu,9,6
J2e,Homarefuji,Isegahama,11,4
