rank,rikishi,heya,w,l
Y1e,Hakuho,Miyagino,13,2
O1e,Kotooshu,Sadogatake,3,8
O1w,Kaio,Tomozuna,9,6
O2e,Baruto,Onoe,10,5
O2w,Harumafuji,Isegahama,10,5
S1e,Kotoshogiku,Sadogatake,10,5
S1w,Kisenosato,Naruto,8,7
K1e,Kakuryu,Izutsu,12,3
K1w,Toyonoshima,Tokitsukaze,5,10
M1e,Goeido,Sakaigawa,11,4
M1w,Tokusegawa,Asahiyama,0,0
M2e,Homasho,Shikoroyama,3,12
M2w,Tochiozan,Kasugano,4,11
M3e,Kitataiki,Kitanoumi,3,12
M3w,Aminishiki,Isegahama,7,8
M4e,Okinoumi,Hakkaku,7,8
M4w,Takekaze,Oguruma,7,8
M5e,Aran,Mihogaseki,6,9
M5w,Wakanosato,Naruto,7,8
M6e,Tamawashi,Kataonami,7,8
M6w,Tochinoshin,Kasugano,12,3
M7e,Hakuba,Michinoku,0,0
M7w,Yoshikaze,Oguruma,9,6
M8e,Kyokutenho,Oshima,8,7
M8w,Shotenro,Fujishima,4,11
M9e,Tosayutaka,Tokitsukaze,10,5
M9w,Asasekiryu,Takasago,7,8
M10e,Kasugao,Kasugayama,0,0
M10w,Wakakoyu,Onomatsu,8,7
M11e,Koryu,Hanakago,0,0
M11w,Tochinowaka,Kasugano,7,8
M12e,Mokonami,Tatsunami,0,0
M12w,Toyohibiki,Sakaigawa,7,8
M13e,Kotokasuga,Sadogatake,0,0
M13w,Tokitenku,Tokitsukaze,8,7
M14e,Gagamaru,Kitanoumi,8,7
M14w,Tochinonada,Kasugano,6,9
M15e,Takamisakari,Azumazeki,7,8
M16e,Miyabiyama,Fujishima,8,7
M16w,Kaisei,Tomozuna,10,5
M17e,Kimurayama,Kasugano,7,8
J1e,Takayasu,Naruto,8,7
J1w,Tamanoshima,Kataonami,4,11
J2e,Bushuyama,Fujishima,5,10
J2w,Masatsukasa,Irumagawa,0,0
J3e,Takarafuji,Isegahama,9,6
J3w,Toyozakura,Michinoku,0,0
J4e,Daido,Onomatsu,8,7
J4w,Sakaizawa,Onoe,0,0
J5w,Shimotori,Tokitsukaze,0,0
J6e,Kyokunankai,Oshima,0,0
J6w,Kokkai,Oitekaze,5,10
J7e,Asofuji,Isegahama,0,0
J7w,Akiseyama,Kitanoumi,4,11
J8e,Sadanoumi,Sakaigawa,5,10
J8w,Fujiazuma,Tamanoi,9,6
J9e,Masunoyama,Chiganoura,9,6
J9w,Sadanofuji,Sakaigawa,5,10
J10e,Wakatenro,Magaki,0,0
J10w,Hochiyama,Sakaigawa,7,8
J11e,Shironoryu,Sakaigawa,5,10
J11w,Kiyoseumi,Kitanoumi,0,0
J12e,Sagatsukasa,Irumagawa,13,2
J12w,Tamaasuka,Kataonami,8,7
J13e,Masuraumi,Onomatsu,5,10
J13w,Yoshiazuma,Tamanoi,8,7
J14e,Chiyohakuho,Kokonoe,0,0
J14w,Tsurugidake,Fujishima,6,9
Ms1e,Aoiyama,Tagonoura,5,2
Ms1w,Kakizoe,Fujishima,3,4
Ms2e,Takanoyama,Naruto,5,2
Ms2w,Kanbayashi,Hakkaku,4,3
Ms3e,Arawashi,Hanakago,3,4
Ms3w,Kaonishiki,Azumazeki,5,2
Ms4e,Nionoumi,Kitanoumi,3,4
Ms4w,Matsutani,Matsugane,7,0
Ms5e,Hoshihikari,Hakkaku,0,0
Ms5w,Tochitsubasa,Kasugano,2,5
Ms6e,Minami,Onoe,4,3
Ms6w,Kitaharima,Kitanoumi,2,5
Ms7e,Sotairyu,Tokitsukaze,6,1
Ms7w,Tokushoryu,Kitanoumi,3,4
Ms8e,Myogiryu,Sakaigawa,4,3
Ms8w,Ikioi,Isenoumi,3,4
Ms9e,Chiyonokuni,Kokonoe,5,2
Ms9w,Tochiyashiki,Kasugano,3,4
Ms10e,Mochimaru,Tatsunami,4,3
Ms10w,Hamanishiki,Oitekaze,6,1
Ms11e,Takateru,Oitekaze,3,4
Ms11w,Tochihiryu,Kasugano,3,4
Ms12e,Kyokushuho,Oshima,4,3
Ms12w,Rikiryu,Hanakago,1,6
Ms13e,Byakko,Nakamura,2,5
Ms13w,Hokutoriki,Hakkaku,0,0
Ms14e,Towanoyama,Dewanoumi,4,3
Ms14w,Daishoki,Takadagawa,0,0
Ms15e,Ryuho,Michinoku,1,5
Ms15w,Naoe,Oguruma,4,3
Ms15TD,Meigetsuin,Kokonoe,0,3
Ms16e,Oniarashi,Asahiyama,5,2
Ms16w,Buseizan,Fujishima,4,3
Ms17e,Chiyoarashi,Kokonoe,5,2
Ms17w,Tokushinho,Kitanoumi,4,3
Ms18e,Satsumahibiki,Sakaigawa,2,5
Ms18w,Kitazono,Oguruma,5,2
Ms19e,Aozora,Tagonoura,3,4
Ms19w,Wakanoshima,Hanaregoma,3,4
Ms20e,Higonojo,Kitanoumi,2,5
Ms20w,Satoyama,Onoe,5,2
Ms21e,Asahisho,Oshima,4,3
Ms21w,Hishofuji,Nakamura,4,3
Ms22e,Kasugakuni,Kasugayama,2,5
Ms22w,Kumagai,Isenoumi,3,4
Ms23e,Nakanokuni,Minato,3,4
Ms23w,Kotomisen,Sadogatake,4,3
Ms24e,Chiyozakura,Kokonoe,6,1
Ms24w,Kotoyutaka,Sadogatake,6,1
Ms25e,Yamashita,Kitanoumi,1,6
Ms25w,Jumonji,Michinoku,0,0
Ms26e,Kotokuni,Sadogatake,5,2
Ms26w,Daishoumi,Oitekaze,0,0
Ms27e,Ryuden,Takadagawa,4,3
Ms27w,Teraomaru,Shikoroyama,2,5
Ms28e,Kirinowaka,Michinoku,0,0
Ms28w,Kagamio,Kagamiyama,3,4
Ms29e,Sakaguchi,Tamanoi,2,2
Ms29w,Terashita,Onomatsu,2,5
Ms30e,Kotoyuki,Sadogatake,6,1
Ms30w,Takanoiwa,Takanohana,1,2
Ms31e,Hokuo,Takadagawa,3,4
Ms31w,Ryuo,Miyagino,4,3
Ms32e,Chokozan,Shikihide,3,4
Ms32w,Wakaryusei,Hanaregoma,5,2
Ms33e,Sakigake,Hanaregoma,3,4
Ms33w,Seiro,Shikoroyama,2,5
Ms34e,Sensho,Shikihide,5,2
Ms34w,Kihonoumi,Dewanoumi,4,3
Ms35e,Hakiai,Kitanoumi,4,3
Ms35w,Araumi,Isenoumi,2,5
Ms36e,Dairaido,Takadagawa,4,3
Ms36w,Saishin,Chiganoura,0,0
Ms37e,Kazafuzan,Nishikido,5,2
Ms37w,Kei,Onomatsu,5,2
Ms38e,Migikataagari,Otake,3,4
Ms38w,Daishoyama,Oitekaze,3,4
Ms39e,Yotsuguruma,Isenoumi,3,4
Ms39w,Chiyootori,Kokonoe,6,1
Ms40e,Kosei,Azumazeki,4,3
Ms40w,Fukunohana,Dewanoumi,1,6
Ms41e,Fukugoriki,Arashio,4,3
Ms41w,Takakiho,Takanohana,2,5
Ms42e,Tenroku,Onomatsu,4,3
Ms42w,Toyonokuni,Tokitsukaze,2,5
Ms43e,Tokitsukasa,Irumagawa,3,4
Ms43w,Homarefuji,Isegahama,4,3
Ms44e,Futeno,Dewanoumi,0,0
Ms44w,Azumaryu,Tamanoi,5,2
Ms45e,Kamei,Kitanoumi,4,3
Ms45w,Tamao,Kataonami,1,6
Ms46e,Daikamifusa,Asahiyama,0,0
Ms46w,Shoketsu,Hanaregoma,3,4
Ms47e,Katsunofuji,Sakaigawa,3,4
Ms47w,Higoarashi,Kitanoumi,4,3
Ms48e,Maeta,Hanaregoma,5,2
Ms48w,Ryujinsakari,Nishikido,3,4
Ms49e,Nankairiki,Kitanoumi,4,3
Ms49w,Matsumoto,Shikoroyama,3,4
Ms50e,Shirononami,Onoe,0,0
Ms50w,Ryuonami,Tatsunami,5,2
Ms51e,Tokachiumi,Hakkaku,2,5
Ms51w,Tenichi,Kitanoumi,3,4
Ms52e,Enatsukasa,Irumagawa,0,0
Ms52w,Notozakura,Onomatsu,5,2
Ms53e,Kobo,Miyagino,0,0
Ms53w,Kairyu,Tagonoura,4,3
Ms54e,Asabenkei,Takasago,0,1
Ms54w,Kaishin,Tomozuna,2,5
Ms55e,Takatoshi,Takanohana,3,4
Ms55w,Akinokawa,Takadagawa,3,4
Ms56e,Musashiumi,Fujishima,3,4
Ms56w,Yamatofuji,Onomatsu,3,4
Ms57e,Chiyomaru,Kokonoe,5,2
Ms57w,Asatenmai,Takasago,4,3
Ms58e,Taiga,Shikihide,2,5
Ms58w,Amatsu,Onomatsu,4,3
Ms59e,Kaorufuji,Mihogaseki,1,6
Ms59w,Kawanari,Oguruma,4,3
Ms60e,Tochinohama,Kasugano,4,3
Ms60w,Takunishiki,Chiganoura,5,2
Sd1e,Takageppo,Takanohana,4,3
Sd1w,Aokishin,Tagonoura,0,7
Sd2e,Tochinoyama,Chiganoura,4,3
Sd2w,Akinoyama,Takadagawa,2,5
Sd3e,Suzaku,Hakkaku,2,5
Sd3w,Hokuoryu,Nakamura,2,5
Sd4e,Fujimoto,Onomatsu,6,1
Sd4w,Dewahayate,Dewanoumi,5,2
Sd5e,Koshinoryu,Fujishima,3,4
Sd5w,Mankajo,Kasugayama,5,2
Sd6e,Isanokuni,Sakaigawa,2,5
Sd6w,Raiko,Takadagawa,0,0
Sd7e,Torugawa,Minezaki,4,3
Sd7w,Tamadaiki,Kataonami,0,0
Sd8e,Higo,Izutsu,3,4
Sd8w,Masumiura,Mihogaseki,4,3
Sd9e,Sachiazuma,Tamanoi,4,3
Sd9w,Fukunokuni,Kasugayama,3,4
Sd10e,Dewanosato,Dewanoumi,2,5
Sd10w,Asanotosa,Takasago,0,0
Sd11e,Rendaiyama,Kitanoumi,5,2
Sd11w,Musoketsu,Hanaregoma,1,6
Sd12e,Masutoo,Chiganoura,6,1
Sd12w,Tokizakura,Nakamura,3,4
Sd13e,Kotodaishin,Sadogatake,3,4
Sd13w,Sasakiyama,Kitanoumi,4,3
Sd14e,Hoshizakura,Hakkaku,5,2
Sd14w,Chiyonishiki,Kokonoe,4,3
Sd15e,Bungonishiki,Dewanoumi,5,2
Sd15w,Kotootori,Sadogatake,4,3
Sd16e,Hamaeiko,Onoe,3,4
Sd16w,Wakakengo,Matsugane,3,4
