rank,rikishi,heya,w,l
Y1e,Musashimaru,Musashigawa,13,2
Y1w,Takanohana,Futagoyama,0,0
O1e,Tochiazuma,Tamanoi,10,5
O1w,Chiyotaikai,Kokonoe,7,8
O2e,Musoyama,Musashigawa,10,5
O2w,Kaio,Tomozuna,12,3
S1e,Kotomitsuki,Sadogatake,8,7
S1w,Asashoryu,Takasago,11,4
K1e,Wakanosato,Naruto,9,6
K1w,Takanonami,Futagoyama,6,9
M1e,Buyuzan,Musashigawa,0,3
M1w,Tosanoumi,Isenoumi,7,8
M2e,Kyokutenho,Oshima,6,9
M2w,Kotonowaka,Sadogatake,4,11
M3e,Tochinonada,Kasugano,8,7
M3w,Kyokushuzan,Oshima,2,13
M4e,Akinoshima,Futagoyama,7,8
M4w,Tokitsuumi,Tokitsukaze,2,6
M5e,Toki,Takasago,8,7
M5w,Otsukasa,Irumagawa,6,9
M6e,Aminishiki,Ajigawa,10,5
M6w,Hayateumi,Oitekaze,0,2
M7e,Dejima,Musashigawa,6,9
M7w,Tamakasuga,Kataonami,8,7
M8e,Miyabiyama,Musashigawa,9,6
M8w,Kaiho,Hakkaku,7,8
M9e,Tamanoshima,Kataonami,6,9
M9w,Daizen,Nishonoseki,9,6
M10e,Tochisakae,Kasugano,5,10
M10w,Chiyotenzan,Kokonoe,0,0
M11e,Hamanishiki,Oitekaze,7,8
M11w,Takanowaka,Naruto,11,4
M12e,Shimotori,Tokitsukaze,6,9
M12w,Oikari,Isenoumi,7,8
M13e,Takamisakari,Azumazeki,9,6
M13w,Towanoyama,Dewanoumi,0,1
M14e,Oginishiki,Dewanoumi,4,11
M14w,Takatoriki,Futagoyama,6,9
M15e,Tamarikido,Kataonami,4,11
M15w,Wakanoyama,Musashigawa,9,6
J1e,Tochinohana,Kasugano,8,7
J1w,Kotoryu,Sadogatake,12,3
J2e,Kobo,Miyagino,5,10
J2w,Jumonji,Michinoku,11,4
J3e,Sentoryu,Tomozuna,0,0
J3w,Kasuganishiki,Kasugano,6,9
J4e,Kitazakura,Kitanoumi,7,8
J4w,Higonoumi,Mihogaseki,9,6
J5e,Ushiomaru,Azumazeki,6,8
J5w,Asanowaka,Takasago,10,5
J6e,Hokutoriki,Hakkaku,11,4
J6w,Terao,Izutsu,8,7
J7e,Aogiyama,Tokitsukaze,8,7
J7w,Wakakosho,Matsugane,8,7
J8e,Kuniazuma,Tamanoi,0,2
J8w,Minatofuji,Minato,6,9
J9e,Daishi,Oshiogawa,3,12
J9w,Takanotsuru,Naruto,7,8
J10e,Harunoyama,Matsugane,9,6
J10w,Juzan,Oshiogawa,8,7
J11e,Iwakiyama,Nakadachi,8,7
J11w,Sumanofuji,Nakamura,6,9
J12e,Wakatenro,Magaki,5,10
J12w,Kotokanyu,Sadogatake,5,10
J13e,Hokutoiwa,Hakkaku,8,7
J13w,Senshuyama,Takasago,10,5
Ms1e,Gojoro,Magaki,7,0
Ms1w,Kasugao,Kasugayama,3,4
Ms2e,Daishodai,Oitekaze,4,3
Ms2w,Hamanoshima,Mihogaseki,2,5
Ms3e,Tamanokuni,Kataonami,1,7
Ms3w,Toyonokuni,Tokitsukaze,3,4
Ms4e,Wakatoryu,Matsugane,1,6
Ms4w,Kotonomine,Sadogatake,4,3
Ms5e,Komahikari,Hanaregoma,5,2
Ms5w,Wakatoba,Oshiogawa,6,1
Ms6e,Asasekiryu,Takasago,5,2
Ms6w,Gokenzan,Futagoyama,4,3
Ms7e,Wakatsutomu,Matsugane,1,6
Ms7w,Kinkaiyama,Dewanoumi,3,4
Ms8e,Maikaze,Oguruma,2,5
Ms8w,Tochinoyama,Kasugano,4,3
Ms9e,Tomikaze,Oguruma,5,2
Ms9w,Wakaazuma,Tamanoi,4,3
Ms10e,Goto,Futagoyama,4,3
Ms10w,Tochifudo,Kasugano,2,5
Ms11e,Otoryu,Oshiogawa,2,5
Ms11w,Daimanazuru,Asahiyama,3,4
Ms12e,Kotoiwakuni,Sadogatake,3,4
Ms12w,Toyozakura,Michinoku,6,1
Ms13e,Asahibenten,Oshima,3,4
Ms13w,Takahijiri,Futagoyama,4,3
Ms14e,Yotsukasa,Irumagawa,4,3
Ms14w,Tanaka,Tomozuna,4,3
Ms15e,Kokkai,Oitekaze,3,4
Ms15w,Oga,Takasago,3,4
Ms15TD,Asamiyoshi,Takasago,5,2
Ms16e,Kyokutenzan,Oshima,3,4
Ms16w,Masutsuyoshi,Mihogaseki,4,3
Ms17e,Fukuzono,Izutsu,5,2
Ms17w,Shinmei,Musashigawa,0,1
Ms18e,Saigo,Nakamura,2,5
Ms18w,Tochitenko,Kasugano,5,2
Ms19e,Fukkoyama,Dewanoumi,5,2
Ms19w,Natsubori,Futagoyama,2,5
Ms20e,Kotohino,Sadogatake,3,4
Ms20w,Raiko,Hakkaku,3,4
Ms21e,Kakuo,Izutsu,4,3
Ms21w,Yoshiazuma,Tamanoi,4,3
Ms22e,Hokutoarashi,Hakkaku,4,3
Ms22w,Tenichi,Kitanoumi,2,5
Ms23e,Kakizoe,Musashigawa,6,1
Ms23w,Wakakinryu,Oshiogawa,2,5
Ms24e,Toshinyama,Tamanoi,3,4
Ms24w,Hoshitango,Michinoku,3,4
Ms25e,Nishikikaze,Oguruma,5,2
Ms25w,Raido,Takadagawa,4,3
Ms26e,Yoshio,Tatsunami,4,3
Ms26w,Kanechika,Kitanoumi,2,5
Ms27e,Ryukai,Naruto,4,3
Ms27w,Wakanojo,Magaki,3,4
Ms28e,Chiyohakuho,Kokonoe,2,5
Ms28w,Chiyonohana,Kokonoe,2,5
Ms29e,Tochitaiki,Kasugano,4,3
Ms29w,Tokiyutaka,Tokitsukaze,2,5
Ms30e,Furuichi,Onomatsu,3,4
Ms30w,Wakainami,Tatsunami,6,1
Ms31e,Wakayuki,Matsugane,4,3
Ms31w,Hidenokuni,Magaki,4,3
Ms32e,Takamihana,Azumazeki,3,4
Ms32w,Asofuji,Ajigawa,5,2
Ms33e,Rachimi,Kokonoe,3,4
Ms33w,Kirinoumi,Michinoku,5,2
Ms34e,Ryuho,Michinoku,5,2
Ms34w,Yokutsukasa,Irumagawa,4,3
Ms35e,Kotokuni,Sadogatake,1,6
Ms35w,Kiozan,Oshiogawa,1,6
Ms36e,Ominami,Onomatsu,3,4
Ms36w,Kimenryu,Takasago,5,2
Ms37e,Kyokunankai,Oshima,3,4
Ms37w,Hokutojo,Hakkaku,2,5
Ms38e,Dewanofuji,Dewanoumi,4,3
Ms38w,Shimatora,Kitanoumi,4,3
Ms39e,Fukutaro,Hanakago,3,4
Ms39w,Motohashi,Oshiogawa,3,4
Ms40e,Tamaasuka,Kataonami,5,2
Ms40w,Munakata,Kasugano,2,5
Ms41e,Kaishozan,Hanaregoma,5,2
Ms41w,Fujinokaze,Oguruma,4,3
Ms42e,Matsunotani,Magaki,5,2
Ms42w,Tochiarashi,Kasugano,2,5
Ms43e,Masunobori,Mihogaseki,3,4
Ms43w,Daishoma,Oitekaze,3,4
Ms44e,Shigezakura,Nakamura,4,3
Ms44w,Omusashi,Musashigawa,3,4
Ms45e,Tamatsurugi,Tamanoi,2,5
Ms45w,Kanko,Kitanoumi,1,6
Ms46e,Yoshikiyama,Futagoyama,3,4
Ms46w,Ryuyo,Kitanoumi,3,4
Ms47e,Torafusuyama,Mihogaseki,6,1
Ms47w,Susanoumi,Kitanoumi,4,3
