rank,rikishi,heya,w,l
Y1e,Asashoryu,Takasago,12,3
Y1w,Musashimaru,Musashigawa,3,5
O1e,Chiyotaikai,Kokonoe,10,5
O1w,Tochiazuma,Tamanoi,13,2
O2e,Kaio,Tomozuna,10,5
O2w,Musoyama,Musashigawa,9,6
S1e,Wakanosato,Naruto,7,8
S1w,Kyokutenho,Oshima,4,11
K1e,Takamisakari,Azumazeki,5,10
K1w,Iwakiyama,Sakaigawa,6,9
M1e,Tochinonada,Kasugano,8,7
M1w,Kotomitsuki,Sadogatake,6,9
M2e,Toki,Takasago,9,6
M2w,Tosanoumi,Isenoumi,10,5
M3e,Aminishiki,Ajigawa,5,10
M3w,Tamanoshima,Kataonami,10,5
M4e,Miyabiyama,Musashigawa,6,9
M4w,Asasekiryu,Takasago,3,12
M5e,Takanonami,Futagoyama,5,10
M5w,Kyokushuzan,Oshima,8,7
M6e,Kinkaiyama,Dewanoumi,6,9
M6w,Tokitsuumi,Tokitsukaze,8,7
M7e,Hokutoriki,Hakkaku,10,5
M7w,Kotoryu,Sadogatake,7,8
M8e,Buyuzan,Musashigawa,4,11
M8w,Kakizoe,Musashigawa,8,7
M9e,Kasuganishiki,Kasugano,8,7
M9w,Shimotori,Tokitsukaze,8,7
M10e,Jumonji,Michinoku,8,7
M10w,Tochisakae,Kasugano,7,8
M11e,Wakatoba,Oshiogawa,7,8
M11w,Takekaze,Oguruma,9,6
M12e,Kotonowaka,Sadogatake,7,3
M12w,Takanowaka,Naruto,7,8
M13e,Tamakasuga,Kataonami,6,9
M13w,Otsukasa,Irumagawa,5,10
M14e,Toyozakura,Michinoku,6,9
M14w,Dejima,Musashigawa,11,4
M15e,Tamarikido,Kataonami,2,6
M15w,Yotsukasa,Irumagawa,9,6
J1e,Kaiho,Hakkaku,8,7
J1w,Gojoro,Magaki,3,6
J2e,Wakanoyama,Musashigawa,4,11
J2w,Kokkai,Oitekaze,14,1
J3e,Asanowaka,Takasago,9,6
J3w,Kobo,Miyagino,8,7
J4e,Ushiomaru,Azumazeki,11,4
J4w,Hayateumi,Oitekaze,9,6
J5e,Kitazakura,Kitanoumi,10,5
J5w,Harunoyama,Matsugane,8,7
J6e,Chiyotenzan,Kokonoe,8,7
J6w,Kaido,Tomozuna,5,10
J7e,Futeno,Dewanoumi,8,7
J7w,Kasugao,Kasugayama,9,6
J8e,Juzan,Oshiogawa,4,11
J8w,Aogiyama,Tokitsukaze,0,10
J9e,Masutsuyoshi,Mihogaseki,6,9
J9w,Takanotsuru,Naruto,8,7
J10e,Senshuyama,Takasago,4,11
J10w,Dewanofuji,Dewanoumi,4,11
J11e,Tochinohana,Kasugano,8,7
J11w,Oikari,Isenoumi,11,4
J12e,Nakao,Matsugane,7,8
J12w,Bushuyama,Musashigawa,7,8
J13e,Towanoyama,Dewanoumi,9,6
J13w,Oginishiki,Dewanoumi,0,0
Ms1e,Ama,Ajigawa,3,4
Ms1w,Tokitenku,Tokitsukaze,3,4
Ms2e,Wakainami,Tatsunami,2,5
Ms2w,Kotoiwakuni,Sadogatake,1,6
Ms3e,Wakatenro,Magaki,5,2
Ms3w,Gokenzan,Futagoyama,4,3
Ms4e,Daishodai,Oitekaze,3,4
Ms4w,Asofuji,Ajigawa,3,4
Ms5e,Roho,Taiho,5,2
Ms5w,Sentoryu,Tomozuna,2,5
Ms6e,Tochifudo,Kasugano,5,2
Ms6w,Hamanishiki,Oitekaze,4,3
Ms7e,Hamanoshima,Mihogaseki,3,4
Ms7w,Sumanofuji,Nakamura,4,3
Ms8e,Kotokasuga,Sadogatake,3,4
Ms8w,Raiko,Hakkaku,4,3
Ms9e,Hakuho,Miyagino,6,1
Ms9w,Kotonomine,Sadogatake,3,4
Ms10e,Hokutojo,Hakkaku,1,6
Ms10w,Wakakosho,Matsugane,4,3
Ms11e,Ryuho,Michinoku,4,3
Ms11w,Kotokuni,Sadogatake,4,3
Ms12e,Tamanokuni,Kataonami,2,5
Ms12w,Wakatoryu,Matsugane,3,4
Ms13e,Yoshiazuma,Tamanoi,3,4
Ms13w,Nadatsukasa,Irumagawa,5,2
Ms14e,Shigezakura,Nakamura,5,2
Ms14w,Asahibenten,Oshima,2,5
Ms15e,Ishide,Hanaregoma,3,4
Ms15w,Ryuo,Miyagino,0,0
Ms16e,Toyonokuni,Tokitsukaze,2,5
Ms16w,Daimanazuru,Asahiyama,7,0
