rank,rikishi,heya,w,l
Y1e,Asashoryu,Takasago,11,4
Y1w,Hakuho,Miyagino,15,0
O1e,Kotooshu,Sadogatake,10,5
O1w,Kotomitsuki,Sadogatake,8,7
O2e,Harumafuji,Isegahama,9,6
O2w,Kaio,Tomozuna,8,7
O3e,Chiyotaikai,Kokonoe,2,9
S1e,Baruto,Onoe,9,6
S1w,Kakuryu,Izutsu,7,8
K1e,Kisenosato,Naruto,6,9
K1w,Goeido,Sakaigawa,7,8
M1e,Takekaze,Oguruma,6,9
M1w,Aminishiki,Isegahama,5,10
M2e,Kotoshogiku,Sadogatake,10,5
M2w,Tokitenku,Tokitsukaze,5,10
M3e,Tochiozan,Kasugano,5,10
M3w,Bushuyama,Musashigawa,6,9
M4e,Hokutoriki,Hakkaku,8,7
M4w,Iwakiyama,Sakaigawa,2,13
M5e,Toyonoshima,Tokitsukaze,11,4
M5w,Kakizoe,Musashigawa,8,7
M6e,Wakanosato,Naruto,7,8
M6w,Kyokutenho,Oshima,8,7
M7e,Tamanoshima,Kataonami,4,11
M7w,Homasho,Shikoroyama,6,9
M8e,Aran,Mihogaseki,7,8
M8w,Tochinoshin,Kasugano,12,3
M9e,Yoshikaze,Oguruma,10,5
M9w,Miyabiyama,Musashigawa,12,3
M10e,Asasekiryu,Takasago,8,7
M10w,Kokkai,Oitekaze,8,7
M11e,Tamawashi,Kataonami,10,5
M11w,Takamisakari,Azumazeki,8,7
M12e,Shotenro,Musashigawa,9,6
M12w,Toyohibiki,Sakaigawa,5,10
M13e,Tosayutaka,Tokitsukaze,8,7
M13w,Mokonami,Tatsunami,9,6
M14e,Kasugao,Kasugayama,3,12
M14w,Kimurayama,Kasugano,4,11
M15e,Yamamotoyama,Onoe,2,12
M15w,Shimotori,Tokitsukaze,8,7
M16e,Tamaasuka,Kataonami,3,5
J1e,Masatsukasa,Irumagawa,4,11
J1w,Hakuba,Michinoku,8,7
J2e,Tochinonada,Kasugano,8,7
J2w,Futeno,Dewanoumi,7,5
J3e,Asofuji,Isegahama,6,9
J3w,Toyozakura,Michinoku,5,10
J4e,Kaiho,Hakkaku,4,11
J4w,Sagatsukasa,Irumagawa,8,7
J5e,Kitataiki,Kitanoumi,10,5
J5w,Okinoumi,Hakkaku,8,7
J6e,Koryu,Hanakago,10,5
J6w,Kotokasuga,Sadogatake,8,7
J7e,Kyokunankai,Oshima,6,9
J7w,Sakaizawa,Onoe,6,9
J8e,Jumonji,Michinoku,5,10
J8w,Tokusegawa,Kiriyama,10,5
J9e,Wakatenro,Magaki,8,7
J9w,Wakakoyu,Onomatsu,9,6
J10e,Kirinowaka,Michinoku,8,7
J10w,Daishoumi,Oitekaze,4,11
J11e,Tosanoumi,Isenoumi,9,6
J11w,Kiyoseumi,Kise,8,7
J12e,Chiyohakuho,Kokonoe,9,6
J12w,Shirononami,Onoe,9,6
J13e,Kasuganishiki,Kasugano,9,6
J13w,Hoshikaze,Oguruma,9,6
J14e,Gagamaru,Kise,8,7
J14w,Kotoyutaka,Sadogatake,4,11
Ms1e,Sokokurai,Arashio,5,2
Ms1w,Miyamoto,Sakaigawa,5,2
Ms2e,Surugatsukasa,Irumagawa,4,3
Ms2w,Tokushinho,Kise,5,2
Ms3e,Sotairyu,Tokitsukaze,2,6
Ms3w,Ryuho,Michinoku,4,3
Ms4e,Hochiyama,Sakaigawa,3,4
Ms4w,Nakanokuni,Minato,3,4
Ms5e,Nakanishi,Onomatsu,4,3
Ms5w,Matsutani,Matsugane,3,4
Ms6e,Kitazakura,Kitanoumi,2,5
Ms6w,Kaisei,Tomozuna,3,4
Ms7e,Kanbayashi,Hakkaku,5,2
Ms7w,Hoshihikari,Hakkaku,3,4
Ms8e,Satsumahibiki,Sakaigawa,5,2
Ms8w,Kaonishiki,Azumazeki,2,5
Ms9e,Satoyama,Onoe,2,5
Ms9w,Sadanofuji,Sakaigawa,6,1
Ms10e,Takanoyama,Naruto,4,3
Ms10w,Shoketsu,Hanaregoma,2,5
Ms11e,Takateru,Oitekaze,4,3
Ms11w,Rikiryu,Hanakago,4,3
Ms12e,Dairaido,Takadagawa,4,3
Ms12w,Kitazono,Oguruma,3,4
Ms13e,Mochimaru,Tatsunami,4,3
Ms13w,Fukao,Kise,1,6
Ms14e,Takekabuto,Musashigawa,3,4
Ms14w,Yoshiazuma,Tamanoi,4,3
Ms15e,Ryuden,Takadagawa,5,2
Ms15w,Wakaryusei,Hanaregoma,5,2
Ms16e,Towanoyama,Dewanoumi,4,3
Ms16w,Arawashi,Hanakago,3,4
Ms17e,Kasugakuni,Kasugayama,4,3
Ms17w,Shironoryu,Sakaigawa,3,4
Ms18e,Matsumidori,Onomatsu,2,5
Ms18w,Daitensho,Takashima,2,5
Ms19e,Aoki,Kise,6,1
Ms19w,Nakano,Musashigawa,4,3
Ms20e,Fujiazuma,Tamanoi,5,2
Ms20w,Minami,Onoe,5,2
Ms21e,Yamashita,Kise,1,6
Ms21w,Oniarashi,Asahiyama,3,4
Ms22e,Daishoyama,Oitekaze,3,4
Ms22w,Higonojo,Kise,3,4
Ms23e,Kurosawa,Onomatsu,7,0
Ms23w,Dewaotori,Dewanoumi,2,5
Ms24e,Nishikikaze,Oguruma,1,6
Ms24w,Fukunohana,Dewanoumi,3,4
Ms25e,Sasaki,Naruto,4,3
Ms25w,Nionoumi,Kitanoumi,3,4
Ms26e,Kotokuni,Sadogatake,2,3
Ms26w,Kyokushuho,Oshima,4,3
Ms27e,Takayasu,Naruto,4,3
Ms27w,Yotsuguruma,Isenoumi,3,4
Ms28e,Takarafuji,Isegahama,5,2
Ms28w,Hamanishiki,Oitekaze,2,5
Ms29e,Mizuguchi,Kasugayama,2,5
Ms29w,Tochinowaka,Kasugano,6,1
Ms30e,Tochiyashiki,Kasugano,0,0
Ms30w,Kagamio,Kagamiyama,2,5
Ms31e,Yanagawa,Mihogaseki,5,2
Ms31w,Tamadaiki,Kataonami,4,3
Ms32e,Amuru,Onomatsu,4,3
Ms32w,Masunoyama,Chiganoura,3,4
Ms33e,Tamarikido,Kataonami,4,1
Ms33w,Takunishiki,Chiganoura,3,4
Ms34e,Daiyubu,Shibatayama,5,2
Ms34w,Kihonoumi,Dewanoumi,3,4
Ms35e,Kamei,Kise,4,3
Ms35w,Ryuo,Miyagino,5,2
Ms36e,Hoshizakura,Hakkaku,3,4
Ms36w,Kotomisen,Sadogatake,2,5
Ms37e,Tokitsukasa,Irumagawa,1,6
Ms37w,Tochitsubasa,Kasugano,4,3
Ms38e,Toyonokuni,Tokitsukaze,5,2
Ms38w,Tenichi,Kitanoumi,1,6
Ms39e,Homarefuji,Isegahama,3,4
Ms39w,Furuichi,Onomatsu,2,5
Ms40e,Masutoo,Chiganoura,2,5
Ms40w,Sadanoumi,Sakaigawa,5,2
Ms41e,Ikioi,Isenoumi,4,3
Ms41w,Araumi,Isenoumi,3,4
Ms42e,Kitaharima,Kitanoumi,6,1
Ms42w,Yamasaki,Musashigawa,4,3
Ms43e,Kisomitsuru,Tokitsukaze,3,4
Ms43w,Aozora,Tagonoura,4,3
Ms44e,Tamao,Kataonami,3,4
Ms44w,Daimanazuru,Asahiyama,3,4
Ms45e,Wakanoshima,Hanaregoma,5,2
Ms45w,Hakiai,Kitanoumi,5,2
Ms46e,Yamatofuji,Onomatsu,5,2
Ms46w,Kirinishiki,Michinoku,1,6
Ms47e,Wakarikido,Matsugane,4,3
Ms47w,Bugendai,Musashigawa,2,5
Ms48e,Omiryu,Hanaregoma,4,3
Ms48w,Wakakengo,Matsugane,2,5
Ms49e,Asanotosa,Takasago,2,5
Ms49w,Taiga,Shikihide,4,3
Ms50e,Chiyonohana,Kokonoe,3,4
Ms50w,Gorikiyama,Takadagawa,3,4
Ms51e,Fujimoto,Onomatsu,3,4
Ms51w,Kotoyuki,Sadogatake,5,2
Ms52e,Azumaryu,Tamanoi,4,3
Ms52w,Mankajo,Kasugayama,3,4
Ms53e,Seiro,Shikoroyama,4,3
Ms53w,Maeta,Hanaregoma,3,4
Ms54e,Kawanari,Oguruma,4,3
Ms54w,Yonemura,Hakkaku,5,2
Ms55e,Keno,Onomatsu,1,2
Ms55w,Wakakasuga,Kasugayama,3,4
Ms56e,Kihakuriki,Otake,3,4
Ms56w,Kiozan,Oguruma,0,0
Ms57e,Nankairiki,Kise,5,2
Ms57w,Chiyoarashi,Kokonoe,4,3
Ms58e,Daionami,Tatsunami,4,3
Ms58w,Bungonishiki,Dewanoumi,4,3
Ms59e,Hishofuji,Nakamura,4,3
Ms59w,Masuhikari,Chiganoura,0,7
Ms60e,Akinomine,Minezaki,6,1
Ms60w,Tochinoyama,Chiganoura,2,5
Sd1e,Katsunofuji,Sakaigawa,2,5
Sd1w,Inoue,Kise,3,4
Sd2e,Ryuyo,Kitanoumi,3,4
Sd2w,Sakigake,Hanaregoma,4,3
Sd3e,Kaishoryu,Tomozuna,4,3
Sd3w,Naoe,Oguruma,4,3
Sd4e,Tochifudo,Kasugano,3,4
Sd4w,Tokachiumi,Hakkaku,4,3
Sd5e,Araumago,Isenoumi,2,5
Sd5w,Arashiumi,Azumazeki,0,0
Sd6e,Kairyu,Tagonoura,4,3
Sd6w,Satsukiumi,Sakaigawa,2,5
Sd7e,Wakamifuji,Magaki,5,2
Sd7w,Tochihiryu,Kasugano,5,2
Sd8e,Sadanishiki,Dewanoumi,1,6
Sd8w,Rendaiyama,Kise,2,5
Sd9e,Ryujinsakari,Nishikido,3,4
Sd9w,Chokozan,Shikihide,6,1
Sd10e,Hananosato,Takasago,6,1
Sd10w,Daishoki,Takadagawa,3,4
Sd11e,Tenroku,Onomatsu,5,2
Sd11w,Hokuoryu,Nakamura,2,5
Sd12e,Chiyonoshin,Kokonoe,2,5
Sd12w,Kotoninsei,Sadogatake,4,3
Sd13e,Tokio,Kise,5,2
Sd13w,Kotokensei,Sadogatake,3,4
Sd14e,Tokizakura,Nakamura,4,3
Sd14w,Takanoiwa,Takanohana,7,0
Sd15e,Minanosato,Takasago,3,4
Sd15w,Ryutei,Nishonoseki,3,4
Sd16e,Hokuo,Takadagawa,3,4
Sd16w,Teruazuma,Tamanoi,4,3
Sd17e,Higo,Izutsu,3,4
Sd17w,Kabutoiwa,Kise,1,6
Sd18e,Chiyonokuni,Kokonoe,4,3
Sd18w,Kainowaka,Tomozuna,3,4
Sd19e,Kumagai,Isenoumi,5,2
Sd19w,Aoba,Isegahama,5,2
Sd20e,Miyamaru,Kitanoumi,2,5
Sd20w,Toyohikari,Tokitsukaze,3,4
Sd21e,Isenohana,Isegahama,2,5
Sd21w,Danyu,Kitanoumi,3,4
Sd22e,Asahisho,Oshima,4,3
Sd22w,Takakiho,Takanohana,4,3
Sd23e,Toshinyama,Tamanoi,4,3
Sd23w,Hidenofuji,Kasugayama,5,2
Sd24e,Mizakura,Miyagino,4,3
Sd24w,Kimenryu,Takasago,5,2
Sd25e,Nogami,Oguruma,1,6
Sd25w,Wakainami,Tatsunami,5,2
Sd26e,Chiyomaru,Kokonoe,2,5
Sd26w,Dewahayate,Dewanoumi,4,3
Sd27e,Kei,Onomatsu,4,3
Sd27w,Fukudayama,Otake,2,5
Sd28e,Takedani,Hakkaku,4,3
Sd28w,Ogifuji,Isegahama,3,4
Sd29e,Shunba,Magaki,3,4
Sd29w,Teraomaru,Shikoroyama,5,2
Sd30e,Haruzakura,Kasugayama,2,5
Sd30w,Torugawa,Minezaki,3,4
Sd31e,Aokishin,Tagonoura,3,4
Sd31w,Kotokino,Sadogatake,4,3
Sd32e,Kosei,Azumazeki,1,6
Sd32w,Tochinoshima,Kasugano,3,4
Sd33e,Matsumoto,Shikoroyama,3,4
Sd33w,Sakaguchi,Tamanoi,6,1
Sd34e,Migikataagari,Otake,5,2
Sd34w,Asanawa,Takasago,2,5
Sd35e,Okoryu,Sakaigawa,2,5
Sd35w,Kaishin,Tomozuna,4,3
Sd36e,Ota,Kitanoumi,2,5
Sd36w,Byakko,Nakamura,4,3
Sd37e,Hamaeiko,Onoe,4,3
Sd37w,Kakureizan,Izutsu,6,1
Sd38e,Koshinoryu,Musashigawa,5,2
Sd38w,Hayasegawa,Kiriyama,3,4
Sd39e,Takaisamu,Takanohana,3,4
Sd39w,Higoarashi,Kise,4,3
Sd40e,Hitachigo,Musashigawa,5,2
Sd40w,Oazuma,Tamanoi,3,4
Sd41e,Chiyoraizan,Kokonoe,4,3
Sd41w,Kaisenryu,Tomozuna,2,5
Sd42e,Orora,Kitanoumi,3,4
Sd42w,Toho,Otake,4,3
Sd43e,Kaisho,Shikihide,1,6
Sd43w,Hidaka,Naruto,3,4
Sd44e,Dewanosato,Dewanoumi,5,2
Sd44w,Hokutoiwa,Hakkaku,6,1
Sd45e,Komanokuni,Shibatayama,2,5
Sd45w,Maeshinpu,Takadagawa,2,5
Sd46e,Kyokuhozan,Oshima,4,3
Sd46w,Satsumanishiki,Matsugane,4,3
Sd47e,Kyokushoten,Oshima,5,2
Sd47w,Sasagawa,Takasago,1,6
Sd48e,Koriyama,Mihogaseki,3,4
Sd48w,Takageppo,Takanohana,4,3
Sd49e,Daio,Takadagawa,2,5
Sd49w,Saito,Onomatsu,3,2
Sd50e,Kotokashiwadani,Sadogatake,4,3
Sd50w,Chiyohakuryu,Kokonoe,5,2
Sd51e,Daishoryu,Oitekaze,5,2
Sd51w,Ryukiyama,Hanakago,3,4
Sd52e,Takamiryu,Azumazeki,3,4
Sd52w,Kasugaryu,Kasugayama,3,4
Sd53e,Kotookuyama,Sadogatake,2,5
Sd53w,Isoazuma,Tamanoi,5,2
Sd54e,Asabenkei,Takasago,4,3
Sd54w,Kotootori,Sadogatake,4,3
Sd55e,Wakayuki,Matsugane,3,4
Sd55w,Maegunzan,Takadagawa,5,2
Sd56e,Budozan,Musashigawa,3,4
Sd56w,Daishowaka,Oitekaze,3,4
Sd57e,Asahio,Oshima,1,6
Sd57w,Hienriki,Oguruma,4,3
Sd58e,Tochitenko,Kasugano,3,4
Sd58w,Hisanotora,Tagonoura,0,0
