rank,rikishi,heya,w,l
Y1e,Hakuho,Miyagino,13,2
O1e,Baruto,Onoe,10,5
O1w,Harumafuji,Isegahama,11,4
O2e,Kisenosato,Naruto,9,6
O2w,Kotooshu,Sadogatake,8,7
O3w,Kotoshogiku,Sadogatake,9,6
S1e,Kakuryu,Izutsu,13,2
S1w,Aminishiki,Isegahama,7,8
K1e,Gagamaru,Kitanoumi,6,9
K1w,Tochiozan,Kasugano,5,10
M1e,Myogiryu,Sakaigawa,7,8
M1w,Tochinowaka,Kasugano,5,10
M2e,Tokitenku,Tokitsukaze,3,12
M2w,Yoshikaze,Oguruma,3,10
M3e,Kyokutenho,Oshima,5,10
M3w,Tochinoshin,Kasugano,5,10
M4e,Toyonoshima,Tokitsukaze,11,4
M4w,Aran,Mihogaseki,9,6
M5e,Wakakoyu,Onomatsu,7,8
M5w,Homasho,Shikoroyama,11,4
M6e,Shohozan,Matsugane,7,8
M6w,Goeido,Sakaigawa,12,3
M7e,Takayasu,Naruto,10,5
M7w,Toyohibiki,Sakaigawa,9,6
M8e,Chiyonokuni,Kokonoe,3,10
M8w,Takekaze,Oguruma,9,6
M9e,Okinoumi,Hakkaku,8,7
M9w,Miyabiyama,Fujishima,8,7
M10e,Sadanofuji,Sakaigawa,6,9
M10w,Aoiyama,Kasugano,8,7
M11e,Asasekiryu,Takasago,5,10
M11w,Tenkaiho,Onoe,6,9
M12e,Daido,Onomatsu,7,8
M12w,Fujiazuma,Tamanoi,5,10
M13e,Kitataiki,Kitanoumi,9,6
M13w,Wakanosato,Naruto,8,7
M14e,Takarafuji,Isegahama,6,9
M14w,Ikioi,Isenoumi,5,10
M15e,Tamawashi,Kataonami,7,8
M15w,Hochiyama,Sakaigawa,4,11
M16e,Shotenro,Fujishima,9,6
M16w,Takanoyama,Naruto,4,11
J1e,Chiyotairyu,Kokonoe,11,4
J1w,Kotoyuki,Sadogatake,6,9
J2e,Sagatsukasa,Irumagawa,6,9
J2w,Tosayutaka,Tokitsukaze,6,7
J3e,Amuru,Onomatsu,0,0
J3w,Sotairyu,Tokitsukaze,6,9
J4e,Asahisho,Oshima,9,6
J4w,Kaisei,Tomozuna,10,5
J5e,Nionoumi,Kitanoumi,6,9
J5w,Kokkai,Oitekaze,4,11
J6e,Yoshiazuma,Tamanoi,8,7
J6w,Tamaasuka,Kataonami,9,6
J7e,Masunoyama,Chiganoura,10,5
J7w,Kimikaze,Oguruma,12,3
J8e,Takamisakari,Azumazeki,8,7
J8w,Tsurugidake,Fujishima,0,7
J9e,Bushuyama,Fujishima,8,7
J9w,Kyokushuho,Oshima,9,6
J10e,Tokushinho,Kitanoumi,7,8
J10w,Kitaharima,Kitanoumi,5,10
J11e,Chiyootori,Kokonoe,9,6
J11w,Kimurayama,Kasugano,8,7
J12e,Hokutokuni,Hakkaku,6,9
J12w,Oiwato,Hakkaku,10,5
J13e,Satoyama,Onoe,8,7
J13w,Masuraumi,Onomatsu,8,7
J14e,Sensho,Shikihide,2,8
J14w,Arawashi,Hanakago,7,8
Ms1e,Kitazono,Oguruma,4,3
Ms1w,Wakanoshima,Hanaregoma,3,4
Ms2e,Hakiai,Kitanoumi,1,4
