rank,rikishi,heya,w,l
Y1e,Hakuho,Miyagino,15,0
O1e,Baruto,Onoe,8,7
O1w,Harumafuji,Isegahama,10,5
O2e,Kotooshu,Sadogatake,10,5
O2w,Kotomitsuki,Sadogatake,0,0
O3w,Kaio,Tomozuna,6,5
S1e,Kisenosato,Naruto,7,8
S1w,Kotoshogiku,Sadogatake,5,10
K1e,Hakuba,Michinoku,4,11
K1w,Tochinoshin,Kasugano,6,9
M1e,Tochiozan,Kasugano,9,6
M1w,Asasekiryu,Takasago,4,11
M2e,Aran,Mihogaseki,11,4
M2w,Aminishiki,Isegahama,6,7
M3e,Kyokutenho,Oshima,7,8
M3w,Tokitenku,Tokitsukaze,8,7
M4e,Goeido,Sakaigawa,0,0
M4w,Kitataiki,Kitanoumi,6,9
M5e,Toyonoshima,Tokitsukaze,0,0
M5w,Miyabiyama,Musashigawa,0,0
M6e,Kakuryu,Izutsu,11,4
M6w,Toyohibiki,Sakaigawa,0,0
M7e,Wakanosato,Naruto,9,6
M7w,Tokusegawa,Kiriyama,8,7
M8e,Wakakoyu,Onomatsu,0,0
M8w,Yoshikaze,Oguruma,5,10
M9e,Shimotori,Tokitsukaze,6,9
M9w,Kakizoe,Musashigawa,3,12
M10e,Mokonami,Tatsunami,8,7
M10w,Tosayutaka,Tokitsukaze,8,7
M11e,Takekaze,Oguruma,6,9
M11w,Takamisakari,Azumazeki,9,6
M12e,Gagamaru,Kitanoumi,5,10
M12w,Kokkai,Oitekaze,8,7
M13e,Homasho,Shikoroyama,11,4
M13w,Kimurayama,Kasugano,8,7
M14e,Tamawashi,Kataonami,7,8
M14w,Okinoumi,Hakkaku,0,0
M15e,Bushuyama,Musashigawa,8,7
M15w,Hokutoriki,Hakkaku,8,7
M16e,Tamaasuka,Kataonami,5,10
M16w,Shotenro,Musashigawa,5,10
J1e,Kotokasuga,Sadogatake,8,7
J1w,Sagatsukasa,Irumagawa,3,12
J2e,Iwakiyama,Sakaigawa,0,0
J2w,Daido,Onomatsu,0,0
J3e,Sokokurai,Arashio,8,7
J3w,Masatsukasa,Irumagawa,13,2
J4e,Koryu,Hanakago,9,6
J4w,Kiyoseumi,Kitanoumi,0,0
J5e,Tamanoshima,Kataonami,6,9
J5w,Kasugao,Kasugayama,9,6
J6e,Tochinonada,Kasugano,9,6
J6w,Chiyohakuho,Kokonoe,0,0
J7e,Sakaizawa,Onoe,7,8
J7w,Tosanoumi,Isenoumi,8,7
J8e,Matsutani,Matsugane,6,9
J8w,Tokushinho,Kitanoumi,7,8
J9e,Hoshikaze,Oguruma,7,8
J9w,Asofuji,Isegahama,7,8
J10e,Yamamotoyama,Onoe,5,7
J10w,Kasuganishiki,Kasugano,0,0
J11e,Toyozakura,Michinoku,8,7
J11w,Hochiyama,Sakaigawa,8,7
J12e,Kaisei,Tomozuna,8,7
J12w,Kyokunankai,Oshima,10,5
J13e,Masuraumi,Onomatsu,3,12
J13w,Wakatenro,Magaki,9,6
J14e,Kanbayashi,Hakkaku,5,10
J14w,Sadanoumi,Sakaigawa,9,6
