rank,rikishi,heya,w,l
Y1e,Hakuho,Miyagino,14,1
Y1w,Asashoryu,Takasago,14,1
O1e,Kotooshu,Sadogatake,9,6
O1w,Kotomitsuki,Sadogatake,9,6
O2e,Harumafuji,Isegahama,9,6
O2w,Kaio,Tomozuna,8,7
O3e,Chiyotaikai,Kokonoe,2,9
S1e,Kisenosato,Naruto,7,8
S1w,Kotoshogiku,Sadogatake,6,9
K1e,Baruto,Onoe,12,3
K1w,Aminishiki,Isegahama,7,8
M1e,Tochinoshin,Kasugano,4,11
M1w,Miyabiyama,Musashigawa,4,11
M2e,Shotenro,Musashigawa,2,13
M2w,Kyokutenho,Oshima,5,10
M3e,Tamanoshima,Kataonami,5,10
M3w,Kakuryu,Izutsu,11,4
M4e,Toyonoshima,Tokitsukaze,7,8
M4w,Tokitenku,Tokitsukaze,8,7
M5e,Goeido,Sakaigawa,10,5
M5w,Takekaze,Oguruma,9,6
M6e,Asasekiryu,Takasago,6,9
M6w,Homasho,Shikoroyama,7,8
M7e,Aran,Mihogaseki,7,8
M7w,Takamisakari,Azumazeki,6,9
M8e,Iwakiyama,Sakaigawa,8,7
M8w,Shimotori,Tokitsukaze,4,11
M9e,Mokonami,Tatsunami,5,10
M9w,Toyohibiki,Sakaigawa,6,9
M10e,Tosayutaka,Tokitsukaze,6,9
M10w,Bushuyama,Musashigawa,10,5
M11e,Kakizoe,Musashigawa,9,6
M11w,Kasugao,Kasugayama,6,9
M12e,Tochiozan,Kasugano,11,4
M12w,Tochinonada,Kasugano,4,11
M13e,Tamaasuka,Kataonami,6,9
M13w,Wakanosato,Naruto,10,5
M14e,Kokkai,Oitekaze,8,7
M14w,Hokutoriki,Hakkaku,11,4
M15e,Yoshikaze,Oguruma,9,6
M15w,Futeno,Dewanoumi,5,10
M16e,Masatsukasa,Irumagawa,7,8
J1e,Tamawashi,Kataonami,11,4
J1w,Kasuganishiki,Kasugano,2,10
J2e,Kimurayama,Kasugano,9,6
J2w,Yamamotoyama,Onoe,9,6
J3e,Chiyohakuho,Kokonoe,3,8
J3w,Kotokasuga,Sadogatake,6,9
J4e,Kitataiki,Kitanoumi,7,8
J4w,Kirinowaka,Michinoku,5,10
J5e,Hakuba,Michinoku,9,6
J5w,Koryu,Hanakago,7,8
J6e,Tokusegawa,Kiriyama,6,9
J6w,Wakakoyu,Onomatsu,6,9
J7e,Jumonji,Michinoku,7,8
J7w,Shirononami,Onoe,5,6
J8e,Asofuji,Isegahama,9,6
J8w,Wakatenro,Magaki,7,8
J9e,Tosanoumi,Isenoumi,7,8
J9w,Kiyoseumi,Kise,7,8
J10e,Kyokunankai,Oshima,8,5
J10w,Sotairyu,Tokitsukaze,5,10
J11e,Kaiho,Hakkaku,9,6
J11w,Sagatsukasa,Irumagawa,9,6
J12e,Hoshikaze,Oguruma,7,8
J12w,Tokushinho,Kise,6,9
J13e,Toyozakura,Michinoku,10,5
J13w,Daishoumi,Oitekaze,8,7
J14e,Sakaizawa,Onoe,9,6
J14w,Okinoumi,Hakkaku,10,5
Ms1e,Kotoyutaka,Sadogatake,4,3
Ms1w,Sokokurai,Arashio,4,3
Ms2e,Kanbayashi,Hakkaku,3,4
Ms2w,Miyamoto,Sakaigawa,5,2
Ms3e,Hoshihikari,Hakkaku,3,4
Ms3w,Kaonishiki,Azumazeki,3,4
Ms4e,Surugatsukasa,Irumagawa,5,2
Ms4w,Takanoyama,Naruto,3,4
Ms5e,Fukao,Kise,2,5
Ms5w,Takekabuto,Musashigawa,2,5
Ms6e,Ryuho,Michinoku,5,2
Ms6w,Nakanokuni,Minato,4,3
Ms7e,Matsutani,Matsugane,4,3
Ms7w,Kitazakura,Kitanoumi,4,3
Ms8e,Aozora,Tagonoura,0,7
Ms8w,Hochiyama,Sakaigawa,5,2
Ms9e,Nakano,Musashigawa,2,5
Ms9w,Nakanishi,Onomatsu,5,2
Ms10e,Gagamaru,Kise,7,0
Ms10w,Yoshiazuma,Tamanoi,3,4
Ms11e,Higonojo,Kise,2,5
Ms11w,Towanoyama,Dewanoumi,3,4
Ms12e,Fukunohana,Dewanoumi,2,5
Ms12w,Satsumahibiki,Sakaigawa,5,2
Ms13e,Kotokuni,Sadogatake,2,5
Ms13w,Shoketsu,Hanaregoma,4,3
Ms14e,Sadanofuji,Sakaigawa,5,2
Ms14w,Matsumidori,Onomatsu,3,4
Ms15e,Fujiazuma,Tamanoi,3,4
Ms15w,Takateru,Oitekaze,4,3
Ms16e,Rikiryu,Hanakago,4,3
Ms16w,Daishoyama,Oitekaze,3,4
Ms17e,Kitazono,Oguruma,4,3
Ms17w,Dewaotori,Dewanoumi,3,4
Ms18e,Katsunofuji,Sakaigawa,0,0
Ms18w,Mochimaru,Tatsunami,4,3
Ms19e,Amuru,Onomatsu,2,5
Ms19w,Ryuden,Takadagawa,4,3
Ms20e,Wakaryusei,Hanaregoma,4,3
Ms20w,Yotsuguruma,Isenoumi,3,4
Ms21e,Kasugakuni,Kasugayama,4,3
Ms21w,Tamao,Kataonami,1,6
Ms22e,Satoyama,Onoe,6,1
Ms22w,Dairaido,Takadagawa,5,2
Ms23e,Takakoyama,Naruto,0,0
Ms23w,Kagamio,Kagamiyama,3,3
Ms24e,Furuichi,Onomatsu,2,5
Ms24w,Yanagawa,Mihogaseki,3,4
Ms25e,Ikioi,Isenoumi,2,5
Ms25w,Arawashi,Hanakago,5,2
Ms26e,Minami,Onoe,4,3
Ms26w,Daiyubu,Shibatayama,3,4
Ms27e,Oniarashi,Asahiyama,4,3
Ms27w,Daitensho,Takashima,5,2
Ms28e,Nankairiki,Kise,1,6
Ms28w,Kotomisen,Sadogatake,3,4
Ms29e,Toyonokuni,Tokitsukaze,3,4
Ms29w,Hishofuji,Nakamura,1,6
Ms30e,Nishikikaze,Oguruma,4,3
Ms30w,Nionoumi,Kitanoumi,4,3
Ms31e,Ryugi,Hanaregoma,0,0
Ms31w,Yamashita,Kise,5,2
Ms32e,Omiryu,Hanaregoma,2,5
Ms32w,Sadanoumi,Sakaigawa,3,4
Ms33e,Yamasaki,Musashigawa,3,4
Ms33w,Kurosawa,Onomatsu,5,2
Ms34e,Hamanishiki,Oitekaze,4,3
Ms34w,Daimanazuru,Asahiyama,3,4
Ms35e,Sasaki,Naruto,5,2
Ms35w,Hakiai,Kitanoumi,3,4
Ms36e,Yamatofuji,Onomatsu,3,4
Ms36w,Takayasu,Naruto,5,2
Ms37e,Tamadaiki,Kataonami,4,3
Ms37w,Maeta,Hanaregoma,2,5
Ms38e,Kawanari,Oguruma,2,5
Ms38w,Yonemura,Hakkaku,2,5
Ms39e,Masunoyama,Chiganoura,4,3
Ms39w,Tamarikido,Kataonami,4,3
Ms40e,Takunishiki,Chiganoura,4,3
Ms40w,Ri,Kasugano,5,2
Ms41e,Tochiyashiki,Kasugano,5,2
Ms41w,Shironoryu,Sakaigawa,6,1
Ms42e,Ryuo,Miyagino,4,3
Ms42w,Tochinoyama,Chiganoura,2,5
Ms43e,Fujimoto,Onomatsu,3,4
Ms43w,Kotoyuki,Sadogatake,3,4
Ms44e,Aoba,Isegahama,1,6
Ms44w,Mankajo,Kasugayama,3,4
Ms45e,Seiro,Shikoroyama,3,4
Ms45w,Tenichi,Kitanoumi,4,3
Ms46e,Homarefuji,Isegahama,4,3
Ms46w,Kaisei,Tomozuna,7,0
Ms47e,Hidenofuji,Kasugayama,1,6
Ms47w,Masutoo,Chiganoura,4,3
Ms48e,Daionami,Tatsunami,3,4
Ms48w,Tenroku,Onomatsu,2,5
Ms49e,Kitaharima,Kitanoumi,4,3
Ms49w,Kamei,Kise,5,2
Ms50e,Inoue,Kise,3,4
Ms50w,Hoshizakura,Hakkaku,5,2
Ms51e,Kaishoryu,Tomozuna,3,4
Ms51w,Tokitsukasa,Irumagawa,5,2
Ms52e,Tochitsubasa,Kasugano,5,2
Ms52w,Wakanoshima,Hanaregoma,4,3
Ms53e,Higo,Izutsu,2,5
Ms53w,Arashiumi,Azumazeki,3,4
Ms54e,Chiyonokuni,Kokonoe,2,5
Ms54w,Wakamifuji,Magaki,3,4
Ms55e,Kyokushuho,Oshima,6,1
Ms55w,Kirinishiki,Michinoku,4,3
Ms56e,Danyu,Kitanoumi,2,5
Ms56w,Asahisho,Oshima,2,5
Ms57e,Bugendai,Musashigawa,4,3
Ms57w,Takakiho,Takanohana,2,5
Ms58e,Takarafuji,Isegahama,6,1
Ms58w,Daishoki,Takadagawa,3,4
Ms59e,Wakakengo,Matsugane,4,3
Ms59w,Taiga,Shikihide,4,3
Ms60e,Chiyonohana,Kokonoe,4,3
Ms60w,Araumi,Isenoumi,5,2
Sd1e,Ozakiumi,Dewanoumi,0,0
Sd1w,Mizuguchi,Kasugayama,6,1
