rank,rikishi,heya,w,l
Y1e,Akebono,Azumazeki,11,4
O1e,Wakanohana,Futagoyama,11,4
O1w,Takanohana,Futagoyama,14,1
S1e,Musashimaru,Musashigawa,12,3
S1w,Takanonami,Futagoyama,13,2
S2eHD,Kotonishiki,Sadogatake,9,6
S2wHD,Konishiki,Takasago,2,13
K1e,Tomonohana,Tatsunami,4,11
K1w,Wakashoyo,Futagoyama,6,9
M1e,Kotonowaka,Sadogatake,6,9
M1w,Tochinowaka,Kasugano,8,7
M2e,Akinoshima,Futagoyama,4,11
M2w,Kotobeppu,Sadogatake,3,12
M3e,Daizen,Nishonoseki,8,7
M3w,Musoyama,Musashigawa,10,5
M4e,Misugisato,Futagoyama,8,7
M4w,Kotofuji,Sadogatake,3,12
M5e,Oginishiki,Dewanoumi,7,8
M5w,Daishoho,Tatsunami,0,0
M6e,Kenko,Takadagawa,6,9
M6w,Kaio,Tomozuna,8,7
M7e,Takatoriki,Futagoyama,6,9
M7w,Kushimaumi,Dewanoumi,1,2
M8e,Terao,Izutsu,8,7
M8w,Kitakachidoki,Isenoumi,8,7
M9e,Kiraiho,Takadagawa,6,9
M9w,Tamakairiki,Kataonami,2,13
M10e,Kyokudozan,Oshima,8,7
M10w,Takamisugi,Futagoyama,8,7
M11e,Mitoizumi,Takasago,8,7
M11w,Toyonoumi,Futagoyama,6,9
M12e,Mainoumi,Dewanoumi,8,7
M12w,Kotoinazuma,Sadogatake,8,7
M13e,Higonoumi,Mihogaseki,8,7
M13w,Kasugafuji,Ajigawa,9,6
M14e,Hamanoshima,Mihogaseki,8,7
M14w,Kirishima,Izutsu,8,7
M15e,Daishoyama,Tatsunami,9,6
M15w,Tokitsunada,Tokitsukaze,9,6
M16e,Kototsubaki,Sadogatake,7,8
J1e,Asanowaka,Wakamatsu,9,6
J1w,Aogiyama,Tokitsukaze,9,6
J2e,Asahisato,Oshima,9,6
J2w,Minatofuji,Minato,8,7
J3e,Hoshiandesu,Michinoku,8,7
J3w,Kotogaume,Sadogatake,10,5
J4e,Kyokugozan,Oshima,8,7
J4w,Oginohana,Dewanoumi,5,10
J5e,Tatsuhikari,Tatsunami,6,9
J5w,Daishi,Oshiogawa,7,8
J6e,Naminohana,Futagoyama,11,4
J6w,Hitachiryu,Oshiogawa,8,7
J7e,Asahiyutaka,Oshima,7,8
J7w,Hananokuni,Hanaregoma,2,6
J8e,Tomoefuji,Kokonoe,7,8
J8w,Shikishima,Tatsutagawa,6,9
J9e,Kanechika,Kitanoumi,7,8
J9w,Tochitenko,Kasugano,5,10
J10e,Enazakura,Oshiogawa,7,8
J10w,Zenshinyama,Takadagawa,8,7
J11e,Ohidake,Tamanoi,4,11
J11w,Mutsuhokkai,Ajigawa,8,7
J12e,Oyamato,Irumagawa,5,10
J12w,Chokairyu,Kagamiyama,6,9
J13e,Kirinishiki,Kagamiyama,8,7
J13w,Hoshitango,Michinoku,10,5
Ms1e,Ryudo,Tamanoi,4,3
Ms1w,Owakamatsu,Taiho,4,3
Ms2e,Daiden,Taiho,4,3
