rank,rikishi,heya,w,l
Y1e,Musashimaru,Musashigawa,9,6
Y1w,Takanohana,Futagoyama,0,0
O1e,Kaio,Tomozuna,0,4
O1w,Chiyotaikai,Kokonoe,4,5
O2e,Musoyama,Musashigawa,10,5
O2w,Miyabiyama,Musashigawa,3,7
S1e,Tochiazuma,Tamanoi,12,3
S1w,Dejima,Musashigawa,5,10
K1e,Wakanosato,Naruto,7,8
K1w,Tamanoshima,Kataonami,7,8
M1e,Kotonowaka,Sadogatake,7,8
M1w,Asashoryu,Wakamatsu,10,5
M2e,Kotomitsuki,Sadogatake,13,2
M2w,Takanowaka,Naruto,8,7
M3e,Tosanoumi,Isenoumi,8,7
M3w,Tamakasuga,Kataonami,5,10
M4e,Kaiho,Hakkaku,10,5
M4w,Tokitsuumi,Tokitsukaze,9,6
M5e,Takanonami,Futagoyama,5,10
M5w,Tochinonada,Kasugano,8,7
M6e,Kyokushuzan,Oshima,6,9
M6w,Toki,Takasago,7,8
M7e,Hayateumi,Oitekaze,6,9
M7w,Kotoryu,Sadogatake,9,6
M8e,Kyokutenho,Oshima,9,6
M8w,Daizen,Nishonoseki,9,6
M9e,Higonoumi,Mihogaseki,5,10
M9w,Otsukasa,Irumagawa,7,8
M10e,Tochinohana,Kasugano,0,4
M10w,Oginishiki,Dewanoumi,8,7
M11e,Chiyotenzan,Kokonoe,8,7
M11w,Akinoshima,Futagoyama,9,6
M12e,Wakanoyama,Musashigawa,8,7
M12w,Tochisakae,Kasugano,0,0
M13e,Kitazakura,Kitanoumi,8,7
M13w,Aminishiki,Ajigawa,7,8
M14e,Takatoriki,Futagoyama,6,9
M14w,Hamanishiki,Oitekaze,8,7
M15e,Daishi,Oshiogawa,5,10
M15w,Wakatsutomu,Matsugane,3,12
J1e,Kobo,Miyagino,8,7
J1w,Terao,Izutsu,7,8
J2e,Jumonji,Michinoku,0,0
J2w,Sentoryu,Tomozuna,7,8
J3e,Wakakosho,Matsugane,7,8
J3w,Juzan,Oshiogawa,4,11
J4e,Asanowaka,Wakamatsu,8,7
J4w,Kuniazuma,Tamanoi,0,0
J5e,Wakatoryu,Matsugane,6,9
J5w,Aogiyama,Tokitsukaze,12,3
J6e,Minatofuji,Minato,6,9
J6w,Oikari,Isenoumi,9,6
J7e,Harunoyama,Matsugane,8,7
J7w,Yotsukasa,Irumagawa,6,9
J8e,Buyuzan,Musashigawa,11,4
J8w,Hamanoshima,Mihogaseki,5,10
J9e,Tamarikido,Kataonami,12,3
J9w,Wakatoba,Oshiogawa,6,9
J10e,Senshuyama,Takasago,3,12
J10w,Towanoyama,Dewanoumi,8,7
J11e,Tomonohana,Tatsunami,5,10
J11w,Shimotori,Tokitsukaze,11,4
J12e,Takanotsuru,Naruto,10,5
J12w,Masutsuyoshi,Mihogaseki,7,8
J13e,Kotokanyu,Sadogatake,5,10
J13w,Kasuganishiki,Kasugano,9,6
Ms1e,Tamanokuni,Kataonami,2,5
Ms1w,Gojoro,Magaki,6,1
Ms2e,Takamisakari,Azumazeki,4,3
Ms2w,Tochinoyama,Kasugano,3,4
Ms3e,Ushiomaru,Azumazeki,4,3
Ms3w,Wakatenro,Magaki,5,2
Ms4e,Toyozakura,Michinoku,4,3
Ms4w,Kinkaiyama,Dewanoumi,4,3
Ms5e,Wakaazuma,Tamanoi,2,5
Ms5w,Hidenokuni,Magaki,2,5
Ms6e,Nishikikaze,Oguruma,3,4
Ms6w,Hokutoriki,Hakkaku,6,1
Ms7e,Sumanofuji,Nakamura,5,2
Ms7w,Raido,Takadagawa,3,4
Ms8e,Futatsukuba,Tatsunami,1,6
Ms8w,Hokutoiwa,Hakkaku,4,3
Ms9e,Kotohino,Sadogatake,3,4
Ms9w,Kotoiwakuni,Sadogatake,4,3
Ms10e,Asasekiryu,Wakamatsu,4,3
Ms10w,Otoryu,Oshiogawa,0,0
Ms11e,Kasugao,Kasugayama,4,3
Ms11w,Hoshitango,Michinoku,2,5
Ms12e,Goto,Futagoyama,5,2
Ms12w,Tochitenko,Kasugano,1,6
Ms13e,Nadatsukasa,Irumagawa,0,0
Ms13w,Minami,Tokitsukaze,3,4
Ms14e,Daishodai,Oitekaze,4,3
Ms14w,Kainowaka,Tomozuna,1,6
Ms15e,Gokenzan,Futagoyama,3,4
Ms15w,Komahikari,Hanaregoma,5,2
Ms15TD,Kakizoe,Musashigawa,0,0
Ms16e,Fukkoyama,Dewanoumi,2,5
Ms16w,Asofuji,Ajigawa,5,2
Ms17e,Kotokuni,Sadogatake,3,4
Ms17w,Torafusuyama,Mihogaseki,3,4
Ms18e,Yoshiazuma,Tamanoi,5,2
Ms18w,Wakainami,Tatsunami,3,4
Ms19e,Kaishozan,Hanaregoma,4,3
Ms19w,Oga,Takasago,4,3
Ms20e,Maikaze,Oguruma,4,3
Ms20w,Aranonami,Musashigawa,3,4
Ms21e,Munakata,Kasugano,4,3
Ms21w,Shinmei,Musashigawa,3,4
Ms22e,Dewanofuji,Dewanoumi,4,3
Ms22w,Kotonomine,Sadogatake,5,2
Ms23e,Furuichi,Onomatsu,0,0
Ms23w,Susanoumi,Kitanoumi,1,6
