rank,rikishi,heya,w,l
Y1e,Takanohana,Futagoyama,13,2
Y1w,Akebono,Azumazeki,13,2
O1e,Musashimaru,Musashigawa,9,6
O1w,Takanonami,Futagoyama,10,5
O2e,Wakanohana,Futagoyama,0,0
S1e,Kaio,Tomozuna,7,5
S1w,Tosanoumi,Isenoumi,10,5
K1e,Musoyama,Musashigawa,6,9
K1w,Takatoriki,Futagoyama,6,9
M1e,Tamakasuga,Kataonami,8,7
M1w,Kotonishiki,Sadogatake,5,10
M2e,Tochinowaka,Kasugano,5,10
M2w,Akinoshima,Futagoyama,7,8
M3e,Asanosho,Wakamatsu,5,10
M3w,Dejima,Musashigawa,7,8
M4e,Asanowaka,Wakamatsu,5,10
M4w,Kyokushuzan,Oshima,2,13
M5e,Mitoizumi,Takasago,4,11
M5w,Oginishiki,Dewanoumi,11,4
M6e,Tochiazuma,Tamanoi,11,4
M6w,Aogiyama,Tokitsukaze,8,7
M7e,Ganyu,Kitanoumi,7,8
M7w,Shikishima,Tatsutagawa,6,9
M8e,Kotoryu,Sadogatake,5,10
M8w,Kotoinazuma,Sadogatake,8,7
M9e,Daishi,Oshiogawa,5,10
M9w,Higonoumi,Mihogaseki,8,7
M10e,Hamanoshima,Mihogaseki,6,9
M10w,Kotonowaka,Sadogatake,8,7
M11e,Kenko,Takadagawa,8,7
M11w,Kitakachidoki,Isenoumi,7,8
M12e,Minatofuji,Minato,8,7
M12w,Asahiyutaka,Oshima,9,6
M13e,Terao,Izutsu,0,0
M13w,Gojoro,Magaki,7,8
M14e,Konishiki,Takasago,8,7
M14w,Yamato,Magaki,7,8
M15e,Mainoumi,Dewanoumi,9,6
M15w,Rikio,Naruto,8,7
M16e,Tochinonada,Kasugano,9,6
J1e,Oginohana,Dewanoumi,4,11
J1w,Chiyotaikai,Kokonoe,9,6
J2e,Daihisho,Asahiyama,6,6
J2w,Kushimaumi,Dewanoumi,9,6
J3e,Tokitsunada,Tokitsukaze,7,8
J3w,Wakanojo,Magaki,8,7
J4e,Zenshinyama,Takadagawa,6,9
