rank,rikishi,heya,w,l
Y1e,Asashoryu,Takasago,13,2
O1e,Chiyotaikai,Kokonoe,7,8
O1w,Hakuho,Miyagino,13,2
O2e,Kotooshu,Sadogatake,8,7
O2w,Kaio,Tomozuna,8,7
O3w,Tochiazuma,Tamanoi,8,4
S1e,Kotomitsuki,Sadogatake,10,5
S1w,Kotoshogiku,Sadogatake,7,8
K1e,Ama,Ajigawa,8,7
K1w,Tokitenku,Tokitsukaze,7,8
M1e,Kisenosato,Naruto,6,9
M1w,Toyonoshima,Tokitsukaze,8,7
M2e,Kyokutenho,Oshima,4,11
M2w,Asasekiryu,Takasago,4,11
M3e,Miyabiyama,Musashigawa,4,4
M3w,Kasugao,Kasugayama,5,10
M4e,Futeno,Dewanoumi,3,12
M4w,Takekaze,Oguruma,7,8
M5e,Homasho,Shikoroyama,11,4
M5w,Tamakasuga,Kataonami,4,11
M6e,Takamisakari,Azumazeki,7,8
M6w,Kakizoe,Musashigawa,8,7
M7e,Kokkai,Oitekaze,10,5
M7w,Roho,Otake,7,8
M8e,Dejima,Musashigawa,7,8
M8w,Tamanoshima,Kataonami,10,5
M9e,Aminishiki,Ajigawa,9,6
M9w,Tochinonada,Kasugano,7,8
M10e,Kasuganishiki,Kasugano,4,11
M10w,Tokitsuumi,Tokitsukaze,8,7
M11e,Iwakiyama,Sakaigawa,5,10
M11w,Kakuryu,Izutsu,9,6
M12e,Ushiomaru,Azumazeki,6,9
M12w,Yoshikaze,Oguruma,5,10
M13e,Hakurozan,Kitanoumi,5,10
M13w,Baruto,Onoe,0,0
M14e,Tochiozan,Kasugano,11,4
M14w,Tosanoumi,Isenoumi,6,9
M15e,Shimotori,Tokitsukaze,9,6
M15w,Tochinohana,Kasugano,8,7
M16e,Wakanosato,Naruto,11,4
M16w,Jumonji,Michinoku,4,9
J1e,Otsukasa,Irumagawa,11,4
J1w,Hochiyama,Sakaigawa,8,7
J2e,Kaiho,Hakkaku,6,9
J2w,Takanowaka,Naruto,4,11
J3e,Ryuo,Miyagino,9,6
J3w,Masatsukasa,Irumagawa,7,8
J4e,Satoyama,Onoe,12,3
J4w,Hokutoriki,Hakkaku,9,6
J5e,Toyozakura,Michinoku,7,8
J5w,Kitazakura,Kitanoumi,9,6
J6e,Tochisakae,Kasugano,9,6
J6w,Katayama,Onomatsu,7,8
J7e,Asofuji,Ajigawa,6,9
J7w,Ryuho,Michinoku,8,7
J8e,Shunketsu,Hanaregoma,8,7
J8w,Toyohibiki,Sakaigawa,8,7
J9e,Kobo,Miyagino,6,9
J9w,Goeido,Sakaigawa,11,4
J10e,Bushuyama,Musashigawa,6,9
J10w,Hakuba,Michinoku,8,7
J11e,Koryu,Hanakago,8,7
J11w,Kyokunankai,Oshima,6,9
J12e,Daimanazuru,Asahiyama,8,7
J12w,Tamarikido,Kataonami,8,7
J13e,Takamifuji,Azumazeki,6,9
J13w,Shirononami,Onoe,8,7
J14e,Hokutoiwa,Hakkaku,2,13
J14w,Oga,Takasago,5,10
Ms1e,Mokonami,Tatsunami,4,3
Ms1w,Chiyohakuho,Kokonoe,4,3
Ms2e,Wakanoho,Magaki,5,2
Ms2w,Sakaizawa,Onoe,5,2
Ms3e,Buyuzan,Musashigawa,3,4
Ms3w,Musashiryu,Musashigawa,1,6
Ms4e,Ichihara,Kise,5,2
Ms4w,Tamaasuka,Kataonami,3,4
Ms5e,Tochinoyama,Chiganoura,3,4
Ms5w,Dairaido,Takadagawa,3,4
Ms6e,Sumanofuji,Nakamura,3,4
Ms6w,Wakatenro,Magaki,4,3
Ms7e,Kotokasuga,Sadogatake,4,3
Ms7w,Wakakirin,Oguruma,5,2
Ms8e,Daishoyama,Oitekaze,2,5
Ms8w,Wakatoba,Oguruma,2,5
Ms9e,Kanbayashi,Hakkaku,4,3
Ms9w,Miyamoto,Musashigawa,4,3
Ms10e,Kitataiki,Kitanoumi,6,1
Ms10w,Takakoyama,Naruto,1,6
Ms11e,Rikiryu,Hanakago,3,4
Ms11w,Tokusegawa,Kiriyama,3,4
Ms12e,Towanoyama,Dewanoumi,3,4
Ms12w,Dewaotori,Dewanoumi,3,4
Ms13e,Daiyubu,Shibatayama,4,3
Ms13w,Yoshiazuma,Tamanoi,5,2
Ms14e,Hokutojo,Hakkaku,3,4
Ms14w,Kagaya,Kasugano,4,3
Ms15e,Furuichi,Onomatsu,2,5
Ms15w,Raiko,Hakkaku,5,2
Ms15TD,Mori,Oitekaze,2,5
Ms16e,Fukuoka,Hakkaku,3,4
Ms16w,Shimoda,Oitekaze,3,4
