rank,rikishi,heya,w,l
Y1e,Hakuho,Miyagino,12,3
Y1w,Harumafuji,Isegahama,12,3
O1e,Kakuryu,Izutsu,14,1
O1w,Kotoshogiku,Sadogatake,8,7
O2e,Kisenosato,Tagonoura,9,6
S1e,Goeido,Sakaigawa,12,3
S1w,Kotooshu,Sadogatake,1,10
S2w,Tochiozan,Kasugano,9,6
K1e,Toyonoshima,Tokitsukaze,5,10
K1w,Shohozan,Matsugane,5,10
M1e,Endo,Oitekaze,6,9
M1w,Tamawashi,Kataonami,5,10
M2e,Okinoumi,Hakkaku,4,11
M2w,Tochinowaka,Kasugano,4,11
M3e,Kaisei,Tomozuna,6,9
M3w,Takayasu,Tagonoura,5,10
M4e,Yoshikaze,Oguruma,10,5
M4w,Ikioi,Isenoumi,7,8
M5e,Chiyootori,Kokonoe,9,6
M5w,Aoiyama,Kasugano,9,6
M6e,Aminishiki,Isegahama,8,7
M6w,Takekaze,Oguruma,9,6
M7e,Toyohibiki,Sakaigawa,6,9
M7w,Chiyotairyu,Kokonoe,9,6
M8e,Takarafuji,Isegahama,9,6
M8w,Kyokutenho,Tomozuna,9,6
M9e,Kitataiki,Kitanoumi,6,9
M9w,Gagamaru,Kise,6,9
M10e,Myogiryu,Sakaigawa,8,7
M10w,Terunofuji,Isegahama,8,7
M11e,Osunaarashi,Otake,8,6
M11w,Tokushoryu,Kise,9,6
M12e,Chiyomaru,Kokonoe,8,7
M12w,Sadanofuji,Sakaigawa,2,13
M13e,Fujiazuma,Tamanoi,0,0
M13w,Jokoryu,Kise,8,7
M14e,Azumaryu,Tamanoi,6,9
M14w,Masunoyama,Chiganoura,8,7
M15e,Tenkaiho,Onoe,3,8
M15w,Takanoiwa,Takanohana,10,5
M16e,Kagamio,Kagamiyama,5,10
M16w,Satoyama,Onoe,4,11
J1e,Kyokushuho,Tomozuna,8,7
J1w,Tamaasuka,Kataonami,6,9
J2e,Asahisho,Tomozuna,7,8
J2w,Homasho,Shikoroyama,14,1
J3e,Tokitenku,Tokitsukaze,10,5
J3w,Asasekiryu,Takasago,7,8
J4e,Shotenro,Fujishima,4,9
J4w,Sadanoumi,Sakaigawa,8,7
J5e,Daido,Onomatsu,8,7
J5w,Sotairyu,Tokitsukaze,8,7
J6e,Chiyonokuni,Kokonoe,9,6
J6w,Homarefuji,Isegahama,7,8
J7e,Chiyoo,Kokonoe,8,7
J7w,Tokushinho,Kise,6,9
J8e,Arawashi,Minezaki,10,5
J8w,Wakanosato,Tagonoura,9,6
J9e,Sokokurai,Arashio,11,4
J9w,Higonojo,Kise,6,9
J10e,Seiro,Shikoroyama,6,9
J10w,Yoshiazuma,Tamanoi,6,9
J11e,Wakakoyu,Onomatsu,7,8
J11w,Daikiho,Miyagino,6,9
J12e,Kotoyuki,Sadogatake,7,8
J12w,Tochihiryu,Kasugano,5,10
J13e,Amuru,Onomatsu,8,7
J13w,Akiseyama,Kise,9,6
J14e,Sagatsukasa,Irumagawa,4,11
J14w,Kitaharima,Kitanoumi,7,8
Ms1e,Tosayutaka,Tokitsukaze,5,2
Ms1w,Sakigake,Shibatayama,4,3
Ms2e,Higoarashi,Kise,3,4
Ms2w,Yamatofuji,Onomatsu,3,4
Ms3e,Takanoyama,Tagonoura,4,3
Ms3w,Ichinojo,Minato,6,1
Ms4e,Tanzo,Onomatsu,2,5
Ms4w,Wakanoshima,Shibatayama,4,3
Ms5e,Ishiura,Miyagino,4,3
Ms5w,Kizenryu,Kise,4,3
Ms6e,Mankajo,Kasugayama,2,5
Ms6w,Kansei,Sakaigawa,0,3
Ms7e,Kotomisen,Sadogatake,3,4
Ms7w,Daieisho,Oitekaze,5,2
Ms8e,Kairyu,Dewanoumi,2,5
Ms8w,Iwasaki,Kise,4,3
Ms9e,Sensho,Shikihide,3,4
Ms9w,Kihonoumi,Dewanoumi,3,4
Ms10e,Terao,Shikoroyama,1,6
Ms10w,Nishikigi,Isenoumi,2,5
Ms11e,Kyokutaisei,Tomozuna,6,1
Ms11w,Fujimoto,Onomatsu,2,5
Ms12e,Horyuyama,Tamanoi,5,2
Ms12w,Dairaido,Takadagawa,4,3
Ms13e,Tatsu,Takadagawa,4,3
Ms13w,Horikiri,Shikoroyama,3,4
Ms14e,Gochozan,Minezaki,4,3
Ms14w,Fukugoriki,Arashio,3,4
