rank,rikishi,heya,w,l
Y1e,Asahifuji,Oshima,0,0
Y1w,Hokutoumi,Kokonoe,4,4
O1e,Kirishima,Izutsu,10,5
O1w,Konishiki,Takasago,13,2
S1e,Takatoriki,Fujishima,8,7
S1w,Akinoshima,Fujishima,4,11
K1e,Tochinowaka,Kasugano,10,5
K1w,Kotonishiki,Sadogatake,12,3
K2eHD,Wakahanada,Fujishima,7,8
M1e,Takahanada,Fujishima,7,8
M1w,Akebono,Azumazeki,8,7
M2e,Mitoizumi,Takasago,8,7
M2w,Misugisato,Futagoyama,6,9
M3e,Kushimaumi,Dewanoumi,6,9
M3w,Kirinishiki,Kagamiyama,7,8
M4e,Terao,Izutsu,6,9
M4w,Takamisugi,Futagoyama,5,10
M5e,Wakasegawa,Isegahama,6,9
M5w,Kototsubaki,Sadogatake,4,11
M6e,Kasugafuji,Ajigawa,6,9
M6w,Kotofuji,Sadogatake,6,9
M7e,Daishoyama,Tatsunami,9,6
M7w,Sakahoko,Izutsu,0,0
M8e,Kotonowaka,Sadogatake,7,8
M8w,Kyokudozan,Oshima,8,7
M9e,Mainoumi,Dewanoumi,8,7
M9w,Kitakachidoki,Isenoumi,9,6
M10e,Kotogaume,Sadogatake,8,7
M10w,Ryogoku,Dewanoumi,10,5
M11e,Tochitsukasa,Kasugano,2,13
M11w,Daizen,Nishonoseki,7,8
M12e,Musashimaru,Musashigawa,11,4
M12w,Daishoho,Tatsunami,7,8
M13e,Takanonami,Fujishima,8,7
M13w,Ozutsu,Taiho,7,8
M14e,Owakamatsu,Taiho,6,5
M14w,Kotoinazuma,Sadogatake,7,8
M15e,Kiraiho,Takadagawa,9,6
M15w,Toyonoumi,Fujishima,7,8
M16e,Tomoefuji,Kokonoe,9,6
J1e,Enazakura,Oshiogawa,4,11
J1w,Hananokuni,Hanaregoma,7,8
J2e,Oginohana,Dewanoumi,8,7
J2w,Tatsuhikari,Tatsunami,10,5
J3e,Takanofuji,Kokonoe,8,7
J3w,Tachihikari,Tomozuna,8,7
J4e,Kenko,Takadagawa,9,6
J4w,Wakashoyo,Futagoyama,10,5
J5e,Kyokugozan,Oshima,7,8
J5w,Tsunenoyama,Dewanoumi,10,5
J6e,Wakanoyama,Musashigawa,8,7
J6w,Tokitsunada,Tokitsukaze,8,7
J7e,Tamakairiki,Kataonami,9,6
J7w,Saganobori,Oshiogawa,7,8
J8e,Asahisato,Oshima,6,9
J8w,Oginishiki,Dewanoumi,6,9
J9e,Daigaku,Tokitsukaze,10,5
J9w,Taishin,Kitanoumi,5,10
J10e,Tamaryu,Kataonami,6,9
J10w,Daikiko,Musashigawa,6,9
J11e,Akinomine,Mihogaseki,5,10
J11w,Sasshunada,Izutsu,8,7
J12e,Kumao,Takasago,5,10
J12w,Hitachiryu,Oshiogawa,8,7
J13e,Teraki,Tokitsukaze,4,11
J13w,Zenshinyama,Takadagawa,8,7
Ms1e,Ganyu,Kitanoumi,4,3
Ms1w,Minatofuji,Minato,4,3
Ms2e,Koga,Tomozuna,5,2
Ms2w,Naminohana,Futagoyama,5,2
Ms3e,Tochisagami,Kasugano,2,5
Ms3w,Komafudo,Hanaregoma,3,4
Ms4e,Kanechika,Kitanoumi,4,3
Ms4w,Osuzuki,Tokitsukaze,7,0
Ms5e,Seifuriki,Oshiogawa,4,3
Ms5w,Yoshinobori,Kumagatani,6,1
Ms6e,Akinokuni,Tokitsukaze,3,4
Ms6w,Kengaku,Miyagino,3,4
Ms7e,Asahiyutaka,Oshima,3,4
Ms7w,Goken,Takasago,0,3
Ms8e,Musashiryu,Musashigawa,2,5
Ms8w,Ryugahama,Tokitsukaze,1,6
Ms9e,Hoshiandesu,Michinoku,4,3
Ms9w,Rikitoshi,Asahiyama,4,3
Ms10e,Wakadozan,Futagoyama,3,4
Ms10w,Ota,Wakamatsu,3,4
Ms11e,Shinminato,Minato,4,3
Ms11w,Genkai,Asahiyama,5,2
Ms12e,Tatsutanaka,Tatsunami,4,3
Ms12w,Kondo,Onaruto,5,2
Ms13e,Tochitenko,Kasugano,5,2
Ms13w,Ominato,Minato,2,5
Ms14e,Takeru,Azumazeki,3,4
Ms14w,Daishiryu,Hanaregoma,2,5
Ms15e,Kotobeppu,Sadogatake,4,3
Ms15w,Kiyota,Dewanoumi,4,3
Ms16e,Kotoasaki,Sadogatake,1,6
Ms16w,Dairyu,Taiho,5,2
Ms17e,Hidenoumi,Mihogaseki,4,3
Ms17w,Fukunosato,Tatsutagawa,4,3
Ms18e,Dodoyama,Musashigawa,3,4
Ms18w,Wakatosho,Magaki,4,3
Ms19e,Rikio,Naruto,3,4
Ms19w,Isamigoma,Hanaregoma,1,5
Ms20e,Mutsuhokkai,Ajigawa,4,3
Ms20w,Kotoarashi,Sadogatake,3,3
Ms21e,Wakakaze,Futagoyama,2,5
Ms21w,Daishi,Oshiogawa,3,4
Ms22e,Jinryu,Tokitsukaze,3,4
Ms22w,Daishinto,Tokitsukaze,6,1
Ms23e,Ohidake,Tamanoi,2,5
Ms23w,Otsuka,Isenoumi,3,4
Ms24e,Tochinofuji,Kasugano,5,2
Ms24w,Kototohaku,Sadogatake,3,4
Ms25e,Chokairyu,Kagamiyama,6,1
Ms25w,Kanesaku,Kitanoumi,3,4
Ms26e,Nohira,Izutsu,4,3
Ms26w,Goto,Fujishima,4,3
Ms27e,Nakajima,Fujishima,5,2
Ms27w,Komahiryu,Hanaregoma,2,5
Ms28e,Tenraiyama,Mihogaseki,4,3
Ms28w,Kusunosato,Futagoyama,4,3
Ms29e,Kotononada,Sadogatake,5,2
Ms29w,Wakaarashi,Futagoyama,2,5
Ms30e,Daishoryu,Taiho,4,3
Ms30w,Hoshitango,Michinoku,5,2
Ms31e,Daikaizan,Hanaregoma,5,2
Ms31w,Kisezakura,Kise,1,6
Ms32e,Wakakiyama,Fujishima,3,4
Ms32w,Koriyama,Mihogaseki,3,4
Ms33e,Yohoyama,Izutsu,3,4
Ms33w,Kotodaiei,Sadogatake,3,4
Ms34e,Setonofuji,Musashigawa,2,5
Ms34w,Kochiryu,Takadagawa,5,2
Ms35e,Shigenoumi,Musashigawa,4,3
Ms35w,Aratakayama,Fujishima,4,3
Ms36e,Hogan,Taiho,4,3
Ms36w,Kotonoshima,Sadogatake,3,4
Ms37e,Godoriki,Fujishima,1,6
Ms37w,Daiko,Kasugano,2,5
Ms38e,Saganosato,Taiho,4,3
Ms38w,Kakehata,Isenoumi,5,2
Ms39e,Kotohakusan,Sadogatake,2,5
Ms39w,Oishida,Taiho,4,3
Ms40e,Mutsukonryu,Ajigawa,2,5
Ms40w,Takamiwaka,Azumazeki,3,4
Ms41e,Tsujimoto,Izutsu,2,5
Ms41w,Yamanishiki,Dewanoumi,3,4
Ms42e,Kiyonofuji,Isegahama,6,1
Ms42w,Kurachi,Nishonoseki,3,4
Ms43e,Asahinami,Oshima,3,4
Ms43w,Takanosho,Fujishima,2,5
Ms44e,Hokutoasahi,Oshima,5,2
Ms44w,Mineyama,Miyagino,5,2
Ms45e,Mitsueyama,Tokitsukaze,4,3
Ms45w,Ishinotani,Dewanoumi,4,3
Ms46e,Masakaze,Oguruma,3,4
Ms46w,Morimoto,Kasugano,5,2
Ms47e,Ozora,Azumazeki,4,3
Ms47w,Tamamusashi,Musashigawa,3,4
Ms48e,Kuroiwa,Isenoumi,2,5
Ms48w,Narutokuni,Onaruto,1,6
Ms49e,Fusanokuni,Tokitsukaze,6,1
Ms49w,Kotonakano,Sadogatake,4,3
Ms50e,Hidenohana,Hanaregoma,6,1
Ms50w,Akinoryu,Izutsu,4,3
Ms51e,Umenosato,Takasago,5,2
Ms51w,Wakahayato,Miyagino,2,5
Ms52e,Fusanoryu,Wakamatsu,0,7
Ms52w,Sekizawa,Kagamiyama,3,4
Ms53e,Yamanami,Tatsunami,4,3
Ms53w,Fuchita,Kitanoumi,5,2
Ms54e,Kotonobori,Sadogatake,4,3
Ms54w,Nagasawa,Mihogaseki,1,6
Ms55e,Shingen,Nishonoseki,3,4
Ms55w,Kototaikai,Sadogatake,5,2
Ms56e,Yoshitane,Tatsutagawa,4,3
Ms56w,Hidezakura,Nakamura,2,5
Ms57e,Nishihara,Oshima,6,1
Ms57w,Ikeda,Kitanoumi,3,4
Ms58e,Moriyama,Izutsu,3,4
Ms58w,Araya,Magaki,3,4
