rank,rikishi,heya,w,l
Y1e,Asashoryu,Takasago,10,5
O1e,Hakuho,Miyagino,15,0
O1w,Kotooshu,Sadogatake,9,6
O2e,Kaio,Tomozuna,10,5
O2w,Tochiazuma,Tamanoi,0,0
O3w,Chiyotaikai,Kokonoe,10,5
S1e,Kotomitsuki,Sadogatake,12,3
S1w,Ama,Ajigawa,8,7
K1e,Toyonoshima,Tokitsukaze,4,11
K1w,Kotoshogiku,Sadogatake,7,8
M1e,Homasho,Shikoroyama,5,10
M1w,Tokitenku,Tokitsukaze,8,7
M2e,Kokkai,Oitekaze,3,12
M2w,Tamanoshima,Kataonami,6,9
M3e,Kakizoe,Musashigawa,0,12
M3w,Kisenosato,Naruto,6,9
M4e,Aminishiki,Ajigawa,9,6
M4w,Tochiozan,Kasugano,6,9
M5e,Takekaze,Oguruma,8,7
M5w,Kakuryu,Izutsu,6,9
M6e,Tokitsuumi,Tokitsukaze,3,12
M6w,Kasugao,Kasugayama,5,10
M7e,Takamisakari,Azumazeki,9,6
M7w,Wakanosato,Naruto,10,5
M8e,Kyokutenho,Oshima,0,0
M8w,Asasekiryu,Takasago,12,3
M9e,Roho,Otake,10,5
M9w,Miyabiyama,Musashigawa,9,6
M10e,Dejima,Musashigawa,12,3
M10w,Shimotori,Tokitsukaze,0,0
M11e,Otsukasa,Irumagawa,4,11
M11w,Tochinonada,Kasugano,8,7
M12e,Tamakasuga,Kataonami,5,10
M12w,Satoyama,Onoe,7,8
M13e,Futeno,Dewanoumi,10,5
M13w,Tochinohana,Kasugano,4,11
M14e,Ryuo,Miyagino,10,5
M14w,Hochiyama,Sakaigawa,6,9
M15e,Ushiomaru,Azumazeki,5,10
M15w,Iwakiyama,Sakaigawa,6,9
M16e,Hokutoriki,Hakkaku,9,6
M16w,Kasuganishiki,Kasugano,4,11
J1e,Yoshikaze,Oguruma,8,7
J1w,Tosanoumi,Isenoumi,8,7
J2e,Kitazakura,Kitanoumi,9,6
J2w,Hakurozan,Kitanoumi,9,6
J3e,Goeido,Sakaigawa,6,9
J3w,Tochisakae,Kasugano,0,11
J4e,Masatsukasa,Irumagawa,6,6
J4w,Ryuho,Michinoku,4,11
J5e,Kaiho,Hakkaku,9,6
J5w,Shunketsu,Hanaregoma,8,7
J6e,Jumonji,Michinoku,6,9
J6w,Toyohibiki,Sakaigawa,10,5
J7e,Toyozakura,Michinoku,7,8
J7w,Katayama,Onomatsu,5,10
J8e,Hakuba,Michinoku,7,8
J8w,Koryu,Hanakago,6,9
J9e,Takanowaka,Naruto,4,11
J9w,Daimanazuru,Asahiyama,8,7
J10e,Tamarikido,Kataonami,8,7
J10w,Asofuji,Ajigawa,8,7
J11e,Shirononami,Onoe,9,6
J11w,Baruto,Onoe,14,1
J12e,Kobo,Miyagino,6,9
J12w,Bushuyama,Musashigawa,6,9
J13e,Wakanoho,Magaki,10,5
J13w,Mokonami,Tatsunami,8,7
J14e,Chiyohakuho,Kokonoe,7,8
J14w,Kyokunankai,Oshima,8,7
Ms1e,Sakaizawa,Onoe,5,2
Ms1w,Hoshihikari,Hakkaku,4,3
Ms2e,Takamifuji,Azumazeki,4,3
Ms2w,Ichihara,Kise,4,3
Ms3e,Kitataiki,Kitanoumi,5,2
Ms3w,Wakakirin,Oguruma,7,0
Ms4e,Wakatenro,Magaki,3,4
Ms4w,Kotokasuga,Sadogatake,5,2
Ms5e,Oga,Takasago,0,0
Ms5w,Yoshiazuma,Tamanoi,4,3
Ms6e,Kanbayashi,Hakkaku,2,5
Ms6w,Miyamoto,Musashigawa,3,4
Ms7e,Buyuzan,Musashigawa,3,4
Ms7w,Raiko,Hakkaku,2,5
Ms8e,Tamaasuka,Kataonami,5,2
Ms8w,Daiyubu,Shibatayama,3,4
Ms9e,Tochinoyama,Chiganoura,3,4
Ms9w,Dairaido,Takadagawa,4,3
Ms10e,Sumanofuji,Nakamura,1,6
Ms10w,Kagaya,Kasugano,4,3
Ms11e,Hokutoiwa,Hakkaku,2,5
Ms11w,Kirinowaka,Michinoku,6,1
Ms12e,Kimurayama,Kasugano,5,2
Ms12w,Tokitairyu,Tokitsukaze,1,6
Ms13e,Daitensho,Takashima,4,3
Ms13w,Isobe,Irumagawa,3,4
