rank,rikishi,heya,w,l
Y1e,Akebono,Azumazeki,13,2
Y1w,Takanohana,Futagoyama,5,3
Y2e,Musashimaru,Musashigawa,10,5
O1e,Chiyotaikai,Kokonoe,11,4
O1w,Miyabiyama,Musashigawa,6,9
O2e,Dejima,Musashigawa,10,5
O2w,Musoyama,Musashigawa,4,11
S1e,Kaio,Tomozuna,11,4
S1w,Tochiazuma,Tamanoi,12,3
S2w,Takanonami,Futagoyama,7,8
K1e,Tosanoumi,Isenoumi,7,8
K1w,Tamakasuga,Kataonami,2,13
M1e,Akinoshima,Futagoyama,8,7
M1w,Tochinohana,Kasugano,5,10
M2e,Toki,Takasago,6,9
M2w,Takanowaka,Naruto,6,9
M3e,Tochinonada,Kasugano,7,8
M3w,Asanowaka,Wakamatsu,5,10
M4e,Oginishiki,Dewanoumi,7,8
M4w,Wakanoyama,Musashigawa,7,8
M5e,Hayateumi,Oitekaze,8,7
M5w,Higonoumi,Mihogaseki,4,11
M6e,Kaiho,Hakkaku,7,8
M6w,Kotoryu,Sadogatake,9,6
M7e,Kotonowaka,Sadogatake,8,7
M7w,Kyokutenho,Oshima,9,6
M8e,Kyokushuzan,Oshima,5,10
M8w,Takatoriki,Futagoyama,9,6
M9e,Chiyotenzan,Kokonoe,10,5
M9w,Minatofuji,Minato,7,8
M10e,Hamanoshima,Mihogaseki,6,9
M10w,Daizen,Nishonoseki,5,10
M11e,Takamisakari,Azumazeki,10,5
M11w,Tokitsuumi,Tokitsukaze,9,6
M12e,Shikishima,Tatsutagawa,3,12
M12w,Otsukasa,Irumagawa,8,7
M13e,Sentoryu,Tomozuna,8,7
M13w,Aminishiki,Ajigawa,10,5
M14e,Aogiyama,Tokitsukaze,6,9
M14w,Kinkaiyama,Dewanoumi,8,7
J1e,Wakanosato,Naruto,13,2
J1w,Kotonishiki,Sadogatake,8,7
J2e,Oikari,Isenoumi,8,7
J2w,Jumonji,Tatsutagawa,8,7
J3e,Daishi,Oshiogawa,10,5
J3w,Terao,Izutsu,6,9
J4e,Tamanonada,Kataonami,7,8
J4w,Tamarikido,Kataonami,9,6
J5e,Yotsukasa,Irumagawa,6,9
J5w,Asanosho,Wakamatsu,0,1
J6e,Tochisakae,Kasugano,12,3
J6w,Kotomitsuki,Sadogatake,9,6
