rank,rikishi,heya,w,l
Y1e,Hakuho,Miyagino,14,1
Y1w,Asashoryu,Takasago,10,5
O1e,Harumafuji,Isegahama,9,6
O1w,Kotooshu,Sadogatake,13,2
O2e,Kaio,Tomozuna,8,7
O2w,Kotomitsuki,Sadogatake,12,3
O3e,Chiyotaikai,Kokonoe,8,7
S1e,Kakuryu,Izutsu,5,10
S1w,Kisenosato,Naruto,9,6
K1e,Kyokutenho,Oshima,6,9
K1w,Kotoshogiku,Sadogatake,8,7
M1e,Aran,Mihogaseki,4,11
M1w,Goeido,Sakaigawa,5,10
M2e,Tochiozan,Kasugano,2,13
M2w,Toyohibiki,Sakaigawa,3,12
M3e,Iwakiyama,Sakaigawa,5,10
M3w,Baruto,Onoe,11,4
M4e,Miyabiyama,Musashigawa,8,7
M4w,Takamisakari,Azumazeki,6,9
M5e,Aminishiki,Isegahama,11,4
M5w,Tochinoshin,Kasugano,9,6
M6e,Bushuyama,Musashigawa,5,10
M6w,Tamanoshima,Kataonami,9,6
M7e,Toyonoshima,Tokitsukaze,8,7
M7w,Mokonami,Tatsunami,6,9
M8e,Kokkai,Oitekaze,5,10
M8w,Kakizoe,Musashigawa,6,9
M9e,Takekaze,Oguruma,8,7
M9w,Tochinonada,Kasugano,6,9
M10e,Shotenro,Musashigawa,11,4
M10w,Tokitenku,Tokitsukaze,9,6
M11e,Yamamotoyama,Onoe,4,7
M11w,Tamawashi,Kataonami,5,10
M12e,Asasekiryu,Takasago,9,6
M12w,Yoshikaze,Oguruma,6,9
M13e,Futeno,Dewanoumi,6,9
M13w,Dejima,Musashigawa,2,10
M14e,Shimotori,Tokitsukaze,9,6
M14w,Tosayutaka,Tokitsukaze,8,7
M15e,Homasho,Shikoroyama,10,5
M15w,Kasugao,Kasugayama,8,7
M16e,Wakakoyu,Onomatsu,4,11
J1e,Chiyohakuho,Kokonoe,7,8
J1w,Tamaasuka,Kataonami,11,4
J2e,Koryu,Hanakago,6,9
J2w,Tosanoumi,Isenoumi,5,10
J3e,Masatsukasa,Irumagawa,9,6
J3w,Hakuba,Michinoku,7,8
J4e,Hokutoriki,Hakkaku,11,4
J4w,Asofuji,Isegahama,6,9
J5e,Shirononami,Onoe,7,6
J5w,Kimurayama,Kasugano,8,7
J6e,Kyokunankai,Oshima,6,9
J6w,Wakanosato,Naruto,14,1
J7e,Kotokasuga,Sadogatake,8,7
J7w,Kasuganishiki,Kasugano,9,6
J8e,Sakaizawa,Onoe,5,4
J8w,Kirinowaka,Michinoku,8,7
J9e,Kaiho,Hakkaku,7,8
J9w,Tokusegawa,Kiriyama,8,7
J10e,Jumonji,Michinoku,8,7
J10w,Kitataiki,Kitanoumi,9,6
J11e,Wakatenro,Magaki,8,7
J11w,Kiyoseumi,Kise,8,7
J12e,Toyozakura,Michinoku,7,8
J12w,Daishoumi,Oitekaze,7,8
J13e,Hoshihikari,Hakkaku,5,10
J13w,Kitazakura,Kitanoumi,3,12
J14e,Kotokuni,Sadogatake,1,14
J14w,Kotoyutaka,Sadogatake,7,8
Ms1e,Sagatsukasa,Irumagawa,4,3
Ms1w,Sotairyu,Tokitsukaze,6,1
Ms2e,Hoshikaze,Oguruma,4,3
Ms2w,Tokushinho,Kise,4,3
Ms3e,Nakanokuni,Minato,3,4
Ms3w,Sadanofuji,Sakaigawa,2,5
Ms4e,Fukuoka,Hakkaku,4,3
Ms4w,Sokokurai,Arashio,4,3
Ms5e,Rikiryu,Hanakago,2,5
Ms5w,Gagamaru,Kise,3,4
Ms6e,Yoshiazuma,Tamanoi,3,4
Ms6w,Towanoyama,Dewanoumi,3,4
Ms7e,Kanbayashi,Hakkaku,5,2
Ms7w,Miyamoto,Sakaigawa,5,2
Ms8e,Surugatsukasa,Irumagawa,4,3
Ms8w,Fujiazuma,Tamanoi,3,4
Ms9e,Satoyama,Onoe,2,5
Ms9w,Kitazono,Oguruma,3,4
Ms10e,Takekabuto,Musashigawa,4,3
Ms10w,Ryuho,Michinoku,4,3
Ms11e,Mochimaru,Tatsunami,3,4
Ms11w,Takanoyama,Naruto,5,2
Ms12e,Hochiyama,Sakaigawa,4,3
Ms12w,Yanagawa,Mihogaseki,2,5
Ms13e,Nakano,Musashigawa,4,3
Ms13w,Kasugakuni,Kasugayama,3,4
Ms14e,Kurosawa,Onomatsu,1,6
