rank,rikishi,heya,w,l
Y1e,Chiyonofuji,Kokonoe,2,1
Y1w,Asahifuji,Oshima,11,4
Y2eHD,Onokuni,Hanaregoma,10,5
Y2wHD,Hokutoumi,Kokonoe,12,3
O1e,Kirishima,Izutsu,14,1
O1w,Konishiki,Takasago,0,1
S1e,Kotonishiki,Sadogatake,11,4
S1w,Tochinowaka,Kasugano,8,7
K1e,Akinoshima,Fujishima,5,10
K1w,Takamisugi,Futagoyama,2,13
M1e,Misugisato,Futagoyama,6,9
M1w,Akebono,Azumazeki,8,7
M2e,Terao,Izutsu,8,7
M2w,Daishoyama,Tatsunami,5,10
M3e,Kotofuji,Sadogatake,5,10
M3w,Jingaku,Izutsu,6,9
M4e,Sakahoko,Izutsu,6,9
M4w,Kirinishiki,Kagamiyama,5,10
M5e,Kasugafuji,Ajigawa,5,10
M5w,Kotogaume,Sadogatake,7,8
M6e,Kushimaumi,Dewanoumi,8,7
M6w,Wakasegawa,Isegahama,8,7
M7e,Takanofuji,Kokonoe,8,7
M7w,Kyokudozan,Oshima,8,7
M8e,Takatoriki,Fujishima,9,6
M8w,Hananokuni,Hanaregoma,8,7
M9e,Kotoinazuma,Sadogatake,3,5
M9w,Takahanada,Fujishima,6,9
M10e,Wakahanada,Fujishima,7,8
M10w,Ozutsu,Taiho,8,7
M11e,Mitoizumi,Takasago,7,8
M11w,Daijuyama,Futagoyama,8,7
M12e,Enazakura,Oshiogawa,10,5
M12w,Itai,Onaruto,8,7
M13e,Owakamatsu,Taiho,4,11
M13w,Kototsubaki,Sadogatake,9,6
M14e,Tagaryu,Kagamiyama,5,10
M14w,Kitakachidoki,Isenoumi,8,7
M15e,Daikiko,Musashigawa,5,10
M15w,Tomoefuji,Kokonoe,10,5
J1e,Kotonowaka,Sadogatake,10,5
J1w,Tsunenoyama,Dewanoumi,8,7
J2e,Sasshunada,Izutsu,6,9
J2w,Oginohana,Dewanoumi,12,3
J3e,Tochitsukasa,Kasugano,8,7
J3w,Toyonoumi,Fujishima,10,5
J4e,Tamaryu,Kataonami,8,7
J4w,Naminohana,Futagoyama,5,10
J5e,Kyokugozan,Oshima,6,9
J5w,Tamakairiki,Kataonami,7,8
J6e,Saganobori,Oshiogawa,7,8
J6w,Yoshinobori,Kumagatani,8,7
