rank,rikishi,heya,w,l
Y1e,Hokutoumi,Kokonoe,0,0
Y1w,Onokuni,Hanaregoma,0,0
Y2eHD,Asahifuji,Oshima,14,1
Y2wHD,Chiyonofuji,Kokonoe,1,3
O1e,Konishiki,Takasago,14,1
O1w,Kirishima,Izutsu,11,4
S1e,Kotonishiki,Sadogatake,8,7
S1w,Akebono,Azumazeki,7,8
K1e,Terao,Izutsu,5,10
K1w,Takatoriki,Fujishima,9,6
M1e,Akinoshima,Fujishima,9,6
M1w,Takahanada,Fujishima,9,6
M2e,Tochinowaka,Kasugano,7,8
M2w,Misugisato,Futagoyama,6,9
M3e,Kotogaume,Sadogatake,8,7
M3w,Jingaku,Izutsu,2,13
M4e,Daishoyama,Tatsunami,8,7
M4w,Itai,Onaruto,4,11
M5e,Takamisugi,Futagoyama,5,10
M5w,Sakahoko,Izutsu,6,9
M6e,Kushimaumi,Dewanoumi,6,9
M6w,Oginohana,Dewanoumi,6,9
M7e,Wakahanada,Fujishima,8,7
M7w,Kotofuji,Sadogatake,5,10
M8e,Toyonoumi,Fujishima,6,9
M8w,Wakasegawa,Isegahama,8,7
M9e,Kirinishiki,Kagamiyama,8,7
M9w,Kototsubaki,Sadogatake,7,8
M10e,Hananokuni,Hanaregoma,8,7
M10w,Kyokudozan,Oshima,8,7
M11e,Kotonowaka,Sadogatake,8,7
M11w,Kasugafuji,Ajigawa,9,6
M12e,Ozutsu,Taiho,7,8
M12w,Mitoizumi,Takasago,8,7
M13e,Kitakachidoki,Isenoumi,5,10
M13w,Tomoefuji,Kokonoe,8,7
M14e,Enazakura,Oshiogawa,10,5
M14w,Daijuyama,Futagoyama,3,12
M15e,Takanofuji,Kokonoe,8,7
M15w,Ryogoku,Dewanoumi,10,5
J1e,Tochitsukasa,Kasugano,6,9
J1w,Asahisato,Oshima,6,9
J2e,Daishoho,Tatsunami,11,4
J2w,Kyokugozan,Oshima,7,8
J3e,Kotoinazuma,Sadogatake,10,5
J3w,Owakamatsu,Taiho,9,6
J4e,Tamaryu,Kataonami,7,8
J4w,Kiraiho,Takadagawa,6,9
J5e,Daizen,Nishonoseki,6,9
J5w,Daigaku,Tokitsukaze,6,9
J6e,Daikiko,Musashigawa,9,6
J6w,Mainoumi,Dewanoumi,8,7
J7e,Takanonami,Fujishima,8,7
J7w,Tsunenoyama,Dewanoumi,7,8
J8e,Yoshinobori,Kumagatani,5,10
J8w,Sasshunada,Izutsu,8,7
J9e,Tagaryu,Kagamiyama,0,6
J9w,Tamakairiki,Kataonami,9,6
J10e,Tatsuhikari,Tatsunami,10,5
J10w,Kotohakusan,Sadogatake,7,8
J11e,Wakashoyo,Futagoyama,10,5
J11w,Kumao,Takasago,8,7
J12e,Komafudo,Hanaregoma,9,6
J12w,Naminohana,Futagoyama,8,7
J13e,Hitachiryu,Oshiogawa,7,8
J13w,Ryugahama,Tokitsukaze,4,11
Ms1e,Musashimaru,Musashigawa,5,2
Ms1w,Osuzuki,Tokitsukaze,3,4
Ms2e,Nakajima,Fujishima,3,4
Ms2w,Tochisagami,Kasugano,4,3
Ms3e,Tachihikari,Tomozuna,5,2
Ms3w,Minatofuji,Minato,4,3
Ms4e,Kenko,Takadagawa,5,2
Ms4w,Goken,Takasago,0,0
Ms5e,Umenosato,Takasago,2,5
Ms5w,Saganobori,Oshiogawa,6,1
Ms6e,Seifuriki,Oshiogawa,3,4
Ms6w,Zenshinyama,Takadagawa,3,4
Ms7e,Fuchita,Kitanoumi,1,6
Ms7w,Yamanakayama,Magaki,1,6
Ms8e,Tochitenko,Kasugano,4,3
Ms8w,Wakanoyama,Musashigawa,7,0
Ms9e,Fukunosato,Tatsutagawa,3,4
Ms9w,Yamanishiki,Dewanoumi,2,5
Ms10e,Kengaku,Miyagino,4,3
Ms10w,Akinomine,Mihogaseki,4,3
Ms11e,Nishida,Isenoumi,2,5
Ms11w,Momotaro,Asahiyama,3,4
Ms12e,Murai,Kitanoumi,4,3
Ms12w,Musashiryu,Musashigawa,3,4
Ms13e,Shinminato,Minato,2,5
Ms13w,Tokitsunada,Tokitsukaze,5,2
Ms14e,Wakatosho,Magaki,4,3
Ms14w,Oginishiki,Dewanoumi,5,2
Ms15e,Kotoamaki,Sadogatake,4,3
Ms15w,Dodoyama,Musashigawa,4,3
Ms16e,Shigenoumi,Musashigawa,2,5
Ms16w,Koriyama,Mihogaseki,2,5
Ms17e,Godoriki,Fujishima,0,4
Ms17w,Kisezakura,Kise,3,4
Ms18e,Hoshitango,Michinoku,5,2
Ms18w,Oishida,Taiho,3,4
Ms19e,Ohidake,Tamanoi,5,2
Ms19w,Hokutoasahi,Oshima,4,2
Ms20e,Toshoho,Onaruto,1,6
Ms20w,Ganyu,Kitanoumi,4,3
Ms21e,Kiyota,Dewanoumi,5,2
Ms21w,Suginohana,Futagoyama,3,4
