rank,rikishi,heya,w,l
Y1e,Asashoryu,Takasago,13,2
O1e,Chiyotaikai,Kokonoe,9,6
O1w,Kaio,Tomozuna,10,5
O2e,Musoyama,Musashigawa,6,9
O2w,Tochiazuma,Tamanoi,0,0
S1e,Wakanosato,Naruto,9,6
S1w,Kyokutenho,Oshima,6,9
K1e,Miyabiyama,Musashigawa,3,12
K1w,Kotomitsuki,Sadogatake,9,6
M1e,Tochinonada,Kasugano,5,10
M1w,Hokutoriki,Hakkaku,13,2
M2e,Asasekiryu,Takasago,3,12
M2w,Kakizoe,Musashigawa,6,9
M3e,Shimotori,Tokitsukaze,7,8
M3w,Dejima,Musashigawa,7,8
M4e,Tokitsuumi,Tokitsukaze,7,8
M4w,Takamisakari,Azumazeki,6,9
M5e,Kotonowaka,Sadogatake,8,7
M5w,Tamanoshima,Kataonami,12,3
M6e,Buyuzan,Musashigawa,4,11
M6w,Iwakiyama,Sakaigawa,10,5
M7e,Kokkai,Oitekaze,10,5
M7w,Kyokushuzan,Oshima,9,6
M8e,Takekaze,Oguruma,9,6
M8w,Tochisakae,Kasugano,7,8
M9e,Kotoryu,Sadogatake,10,5
M9w,Tosanoumi,Isenoumi,7,8
M10e,Harunoyama,Matsugane,4,11
M10w,Toki,Takasago,4,11
M11e,Aminishiki,Ajigawa,8,7
M11w,Hayateumi,Oitekaze,8,7
M12e,Kaiho,Hakkaku,9,6
M12w,Jumonji,Michinoku,8,7
M13e,Takanonami,Takanohana,0,3
M13w,Kinkaiyama,Dewanoumi,8,7
M14e,Kasuganishiki,Kasugano,0,0
M14w,Asanowaka,Takasago,4,11
M15e,Ushiomaru,Azumazeki,0,0
M15w,Futeno,Dewanoumi,7,8
M16e,Hakuho,Miyagino,12,3
M16w,Takanowaka,Naruto,8,7
M17e,Kobo,Miyagino,5,10
J1e,Tamakasuga,Kataonami,7,8
J1w,Toyozakura,Michinoku,9,6
J2e,Kasugao,Kasugayama,10,5
J2w,Otsukasa,Irumagawa,9,6
J3e,Yotsukasa,Irumagawa,6,9
J3w,Wakatoba,Oshiogawa,9,6
J4e,Kaido,Tomozuna,4,11
J4w,Oikari,Isenoumi,3,12
J5e,Chiyotenzan,Kokonoe,6,9
J5w,Kitazakura,Kitanoumi,5,10
J6e,Takanotsuru,Naruto,8,7
J6w,Roho,Otake,10,5
J7e,Ama,Ajigawa,6,9
J7w,Gojoro,Magaki,7,8
J8e,Tamarikido,Kataonami,1,3
J8w,Wakanoyama,Musashigawa,10,5
J9e,Bushuyama,Musashigawa,6,9
J9w,Sumanofuji,Nakamura,6,9
J10e,Kotooshu,Sadogatake,10,5
J10w,Tokitenku,Tokitsukaze,12,3
J11e,Hamanishiki,Oitekaze,9,6
J11w,Towanoyama,Dewanoumi,0,0
J12e,Dewanofuji,Dewanoumi,3,12
J12w,Hagiwara,Naruto,9,6
J13e,Daishodai,Oitekaze,6,9
J13w,Toyonoshima,Tokitsukaze,11,4
J14e,Tochifudo,Kasugano,4,11
J14w,Wakakosho,Matsugane,7,8
Ms1e,Kotokasuga,Sadogatake,3,4
Ms1w,Maikaze,Oguruma,3,4
Ms2e,Juzan,Oshiogawa,7,0
Ms2w,Nakao,Matsugane,0,0
Ms3e,Kotonomine,Sadogatake,4,3
Ms3w,Daimanazuru,Asahiyama,2,5
Ms4e,Ishide,Hanaregoma,3,4
Ms4w,Ichinotani,Nakamura,5,2
Ms5e,Nadatsukasa,Irumagawa,0,0
Ms5w,Kotoshogiku,Sadogatake,5,2
Ms6e,Masutsuyoshi,Mihogaseki,1,5
Ms6w,Katayama,Onomatsu,6,1
Ms7e,Yoshiazuma,Tamanoi,4,3
Ms7w,Kotokanyu,Sadogatake,4,3
Ms8e,Chiyohakuho,Kokonoe,3,4
Ms8w,Gokenzan,Takanohana,3,4
Ms9e,Takamifuji,Azumazeki,4,3
Ms9w,Fujinoyama,Takanohana,4,3
Ms10e,Kotokuni,Sadogatake,2,5
Ms10w,Yotsuguruma,Isenoumi,2,5
Ms11e,Sumiya,Nakamura,3,4
Ms11w,Fukkoyama,Dewanoumi,3,4
Ms12e,Suzukawa,Oshiogawa,5,2
Ms12w,Kaishoryu,Tomozuna,4,3
Ms13e,Daishoma,Oitekaze,4,3
Ms13w,Hamanoshima,Mihogaseki,0,0
Ms14e,Kaonishiki,Azumazeki,1,6
Ms14w,Asofuji,Ajigawa,5,2
Ms15e,Kaishozan,Hanaregoma,4,3
Ms15w,Kitataiki,Kitanoumi,3,4
Ms15TD,Nakano,Musashigawa,3,4
Ms16e,Oga,Takasago,2,5
Ms16w,Tamaasuka,Kataonami,5,2
Ms17e,Hochiyama,Sakaigawa,5,2
Ms17w,Raiko,Hakkaku,5,2
Ms18e,Furuichi,Onomatsu,3,4
Ms18w,Kimenryu,Takasago,2,5
Ms19e,Masatsukasa,Irumagawa,3,4
Ms19w,Tokinoyutaka,Tokitsukaze,2,5
Ms20e,Komanofuji,Hanaregoma,4,3
Ms20w,Tochitenko,Kasugano,2,5
Ms21e,Kyokunankai,Oshima,4,3
Ms21w,Ryuho,Michinoku,3,4
Ms22e,Ryuo,Miyagino,4,3
Ms22w,Tochinoyama,Kasugano,4,3
Ms23e,Hakurozan,Hatachiyama,6,1
Ms23w,Tochinohana,Kasugano,3,4
Ms24e,Musashiryu,Musashigawa,0,7
Ms24w,Kanbayashi,Hakkaku,4,3
Ms25e,Tachigami,Mihogaseki,4,3
Ms25w,Kyokutenzan,Oshima,5,2
Ms26e,Maenowaka,Takadagawa,5,2
Ms26w,Kirinowaka,Michinoku,4,3
Ms27e,Senshuyama,Takasago,6,1
Ms27w,Tooyama,Tamanoi,1,6
Ms28e,Shironishiki,Sakaigawa,1,6
Ms28w,Shimatora,Kitanoumi,5,2
Ms29e,Minaminoshima,Musashigawa,2,5
Ms29w,Kitamura,Hanaregoma,3,4
Ms30e,Tokinoboru,Tokitsukaze,3,4
Ms30w,Fujinokaze,Oguruma,4,3
Ms31e,Asahibenten,Oshima,3,4
Ms31w,Hakuba,Michinoku,3,4
Ms32e,Munakata,Kasugano,5,2
Ms32w,Takakoyama,Naruto,3,4
Ms33e,Dewanosato,Dewanoumi,4,3
Ms33w,Toshinyama,Tamanoi,4,3
Ms34e,Hokutojo,Hakkaku,2,5
Ms34w,Hananosato,Takasago,4,3
Ms35e,Koryu,Hanakago,4,3
Ms35w,Wakagiyama,Tokitsukaze,1,6
Ms36e,Natsubori,Takanohana,3,4
