rank,rikishi,heya,w,l
Y1e,Takanohana,Futagoyama,13,2
Y1w,Akebono,Azumazeki,10,5
Y2e,Wakanohana,Futagoyama,12,3
O1e,Musashimaru,Musashigawa,11,4
O1w,Takanonami,Futagoyama,10,5
S1e,Chiyotaikai,Kokonoe,9,6
S1w,Takatoriki,Futagoyama,8,7
K1e,Musoyama,Musashigawa,8,7
K1w,Dejima,Musashigawa,8,7
M1e,Kaio,Tomozuna,7,8
M1w,Tochiazuma,Tamanoi,8,7
M2e,Kotonowaka,Sadogatake,9,6
M2w,Minatofuji,Minato,3,12
M3e,Asahiyutaka,Oshima,3,12
M3w,Tamakasuga,Kataonami,6,9
M4e,Aogiyama,Tokitsukaze,5,10
M4w,Wakanosato,Naruto,6,9
M5e,Kyokushuzan,Oshima,4,11
M5w,Akinoshima,Futagoyama,0,0
M6e,Tochinonada,Kasugano,7,8
M6w,Kotoryu,Sadogatake,5,10
M7e,Kotonishiki,Sadogatake,5,10
M7w,Shikishima,Tatsutagawa,0,0
M8e,Mitoizumi,Takasago,5,10
M8w,Oginishiki,Dewanoumi,0,0
M9e,Tosanoumi,Isenoumi,0,0
M9w,Gojoro,Magaki,6,9
M10e,Kaiho,Hakkaku,8,7
M10w,Higonoumi,Mihogaseki,9,6
M11e,Tochinowaka,Kasugano,8,7
M11w,Ganyu,Kitanoumi,8,7
M12e,Hamanoshima,Mihogaseki,8,7
M12w,Asanowaka,Wakamatsu,7,8
M13e,Wakanojo,Magaki,8,7
M13w,Asanosho,Wakamatsu,8,7
M14e,Kotoinazuma,Sadogatake,4,11
M14w,Tokitsuumi,Tokitsukaze,8,7
M15e,Toki,Takasago,10,5
M15w,Akinoshu,Izutsu,8,7
M16e,Terao,Izutsu,9,6
J1e,Kinkaiyama,Dewanoumi,8,7
J1w,Oikari,Isenoumi,9,6
J2e,Dewaarashi,Dewanoumi,6,9
J2w,Mainoumi,Dewanoumi,8,7
J3e,Susanoumi,Kitanoumi,4,11
J3w,Toyonoumi,Futagoyama,6,9
J4e,Tokitsunada,Tokitsukaze,6,9
J4w,Zenshinyama,Takadagawa,7,8
J5e,Kyokutenho,Oshima,8,7
J5w,Kushimaumi,Dewanoumi,4,11
J6e,Daishi,Oshiogawa,7,8
J6w,Ohinode,Tatsunami,8,7
J7e,Kitakachidoki,Isenoumi,7,8
J7w,Daishoho,Tatsunami,8,7
J8e,Chiyotenzan,Kokonoe,12,3
J8w,Daizen,Nishonoseki,8,7
J9e,Tomonohana,Tatsunami,9,6
J9w,Dewataira,Dewanoumi,7,8
J10e,Tochinofuji,Kasugano,1,14
J10w,Wakahayato,Miyagino,9,6
J11e,Yotsukasa,Irumagawa,9,6
J11w,Otsukasa,Irumagawa,9,6
J12e,Toyozakura,Tatsutagawa,7,8
J12w,Kitazakura,Kitanoumi,9,6
J13e,Hoshitango,Michinoku,9,6
J13w,Gokenzan,Futagoyama,6,9
Ms1e,Tochinoiwa,Kasugano,5,2
Ms1w,Hokutohikari,Hakkaku,5,2
Ms2e,Wakanoyama,Musashigawa,5,2
Ms2w,Futatsukuba,Tatsunami,4,3
Ms3e,Tominagayama,Musashigawa,3,4
Ms3w,Tochifudo,Kasugano,3,4
Ms4e,Kaigatake,Tatsutagawa,3,4
Ms4w,Wakakosho,Matsugane,2,5
Ms5e,Kasuganishiki,Kasugano,3,4
Ms5w,Komahikari,Hanaregoma,0,6
Ms6e,Yachi,Kasugano,5,2
Ms6w,Takeuchi,Musashigawa,7,0
Ms7e,Hoshiandesu,Michinoku,4,3
Ms7w,Saito,Oitekaze,4,3
Ms8e,Daihisho,Asahiyama,4,3
Ms8w,Daikiyama,Mihogaseki,5,2
Ms9e,Wakakinryu,Oshiogawa,2,5
Ms9w,Hokutoriki,Hakkaku,3,4
Ms10e,Tsuchihashi,Tokitsukaze,2,5
Ms10w,Tamarikido,Kataonami,5,2
Ms11e,Kobo,Miyagino,6,1
Ms11w,Tatsuhikari,Tatsunami,1,5
Ms12e,Nakao,Matsugane,2,5
Ms12w,Kaishinzan,Tomozuna,4,3
Ms13e,Tamanonada,Kataonami,5,2
Ms13w,Ishizaki,Oshiogawa,2,5
Ms14e,Kotoiwakuni,Sadogatake,3,4
Ms14w,Dewanofuji,Dewanoumi,3,4
